Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,27.00,27.00,24.05,25.10,25.10,19129600
2020-11-23,25.23,28.87,25.16,27.95,27.95,6536700
2020-11-24,28.26,29.00,26.82,27.00,27.00,3123500
2020-11-25,26.54,27.92,26.12,26.76,26.76,1693300
2020-11-27,26.74,28.65,26.72,27.97,27.97,3429300
2020-11-30,28.10,28.34,26.89,27.06,27.06,932900
2020-12-01,27.18,27.63,26.71,27.40,27.40,417700
2020-12-02,27.44,28.40,26.99,28.00,28.00,1139600
2020-12-03,27.92,28.49,27.56,27.95,27.95,498300
2020-12-04,28.01,28.25,27.51,27.70,27.70,803900
2020-12-07,27.44,27.49,26.53,26.99,26.99,747100
2020-12-08,26.76,26.95,25.86,26.18,26.18,380000
2020-12-09,26.19,26.30,25.39,25.56,25.56,973000
2020-12-10,25.30,25.80,25.12,25.60,25.60,453500
2020-12-11,25.60,25.73,24.95,25.41,25.41,426700
2020-12-14,25.41,25.87,24.56,25.47,25.47,877500
2020-12-15,25.87,26.50,24.98,25.44,25.44,1776000
2020-12-16,25.72,26.03,25.45,26.00,26.00,824400
2020-12-17,26.35,27.13,25.75,27.00,27.00,830100
2020-12-18,27.43,27.68,26.55,26.96,26.96,1524200
2020-12-21,26.64,27.33,25.58,26.49,26.49,1483600
2020-12-22,26.49,27.50,25.80,27.36,27.36,1351100
2020-12-23,27.62,27.62,26.27,26.99,26.99,1297500
2020-12-24,26.94,27.16,26.56,26.94,26.94,971800
2020-12-28,27.28,27.75,26.17,27.58,27.58,926900
2020-12-29,27.70,28.24,27.17,27.51,27.51,295900
2020-12-30,27.58,28.07,27.01,27.80,27.80,353200
2020-12-31,27.89,28.19,27.33,27.44,27.44,359500
2021-01-04,27.55,27.89,26.84,27.02,27.02,725100
2021-01-05,26.91,27.34,25.69,26.41,26.41,466600
2021-01-06,26.04,26.61,24.61,25.81,25.81,1217000
2021-01-07,25.97,26.44,25.01,25.30,25.30,701200
2021-01-08,25.35,25.58,24.39,25.01,25.01,2400700
2021-01-11,25.05,25.70,24.64,25.55,25.55,2420000
2021-01-12,25.48,25.89,25.15,25.21,25.21,1078800
2021-01-13,25.26,25.52,24.48,25.02,25.02,1762000
2021-01-14,25.51,26.47,25.25,25.87,25.87,1224100
2021-01-15,25.99,26.09,24.36,25.49,25.49,647500
2021-01-19,25.51,25.95,24.89,25.15,25.15,765200
2021-01-20,25.26,26.95,25.26,26.30,26.30,1063100
2021-01-21,26.38,26.79,25.81,26.07,26.07,495000
2021-01-22,26.04,27.19,25.73,26.80,26.80,394400
2021-01-25,26.86,27.61,26.59,27.08,27.08,560600
2021-01-26,27.19,27.61,26.43,26.44,26.44,519300
2021-01-27,26.36,26.48,24.62,25.15,25.15,943500
2021-01-28,25.05,26.23,25.05,25.74,25.74,902400
2021-01-29,25.71,26.30,25.27,26.09,26.09,550400
2021-02-01,25.76,26.73,25.68,26.52,26.52,616900
2021-02-02,26.79,27.13,26.39,26.57,26.57,577400
2021-02-03,26.65,27.00,25.60,26.33,26.33,506300
2021-02-04,26.22,27.48,25.86,27.00,27.00,392600
2021-02-05,27.10,27.75,27.02,27.60,27.60,304200
2021-02-08,27.75,28.15,27.32,28.00,28.00,336700
2021-02-09,27.87,28.06,27.30,27.96,27.96,270400
2021-02-10,28.12,28.41,27.87,27.94,27.94,456900
2021-02-11,27.97,28.46,27.54,27.59,27.59,449700
2021-02-12,27.50,28.00,27.18,27.82,27.82,611700
2021-02-16,28.10,28.62,27.83,27.99,27.99,487000
2021-02-17,27.88,28.00,27.43,27.72,27.72,285100
2021-02-18,27.59,28.55,27.45,28.06,28.06,444900
2021-02-19,28.24,28.49,27.83,27.99,27.99,189700
2021-02-22,27.80,27.90,27.08,27.29,27.29,349900
2021-02-23,27.01,27.37,26.14,26.42,26.42,405300
2021-02-24,26.49,27.20,26.17,26.65,26.65,962600
2021-02-25,26.63,26.70,25.89,26.21,26.21,227600
2021-02-26,26.29,26.48,25.75,26.15,26.15,778400
2021-03-01,26.40,27.69,26.10,27.60,27.60,934100
2021-03-02,27.71,28.11,26.27,26.56,26.56,451200
2021-03-03,27.00,27.25,26.27,26.37,26.37,538500
2021-03-04,26.23,26.34,24.92,25.51,25.51,595100
2021-03-05,25.82,26.79,24.83,26.68,26.68,853100
2021-03-08,26.81,26.81,25.10,25.50,25.50,1587400
2021-03-09,25.75,27.98,25.75,27.21,27.21,1810600
2021-03-10,27.69,28.69,27.24,27.77,27.77,3752700
2021-03-11,28.20,28.84,27.78,28.32,28.32,1513500
2021-03-12,28.09,29.32,27.73,28.98,28.98,1445200
2021-03-15,29.42,30.38,28.43,28.52,28.52,1506400
2021-03-16,27.22,27.51,24.64,27.00,27.00,3668500
2021-03-17,26.72,27.96,26.20,27.74,27.74,1684100
2021-03-18,27.29,27.37,25.32,25.62,25.62,10493000
2021-03-19,25.75,26.41,25.12,25.77,25.77,8184600
2021-03-22,25.84,26.74,25.73,25.82,25.82,3744600
2021-03-23,25.76,26.00,25.14,25.23,25.23,1937100
2021-03-24,25.34,26.01,24.67,24.68,24.68,2710300
2021-03-25,24.41,25.25,24.10,24.84,24.84,2675600
2021-03-26,24.98,25.51,24.49,24.57,24.57,2757700
2021-03-29,24.58,24.81,23.84,24.03,24.03,2079700
2021-03-30,24.00,24.84,23.87,24.80,24.80,1426900
2021-03-31,24.89,25.41,24.78,24.96,24.96,1346500
2021-04-01,25.21,25.52,24.83,25.03,25.03,1066000
2021-04-05,25.22,25.60,24.71,25.53,25.53,982300
2021-04-06,25.62,26.01,25.18,25.87,25.87,1237900
2021-04-07,25.91,26.10,25.46,25.95,25.95,1371400
2021-04-08,26.26,26.42,25.82,25.86,25.86,1055500
2021-04-09,25.58,26.07,25.58,25.84,25.84,876400
2021-04-12,25.73,26.32,25.54,26.10,26.10,1096800
2021-04-13,26.35,26.35,25.75,25.84,25.84,1154900
2021-04-14,25.80,26.31,25.67,25.93,25.93,1399700
2021-04-15,26.10,26.40,25.79,25.81,25.81,1205400
2021-04-16,25.81,26.49,25.73,26.29,26.29,991200
2021-04-19,26.13,26.26,25.83,26.08,26.08,545600
2021-04-20,26.04,26.27,25.61,25.71,25.71,804500
2021-04-21,25.59,25.73,24.73,25.29,25.29,884500
2021-04-22,25.33,25.47,24.69,24.94,24.94,920700
2021-04-23,25.03,25.90,24.99,25.73,25.73,1590900
2021-04-26,25.77,26.49,25.75,26.21,26.21,1142900
2021-04-27,26.33,26.34,25.76,26.19,26.19,587700
2021-04-28,26.01,26.01,25.39,25.48,25.48,737800
2021-04-29,25.68,25.91,25.16,25.66,25.66,887000
2021-04-30,25.43,25.91,25.25,25.76,25.76,862600
2021-05-03,25.87,25.87,25.20,25.31,25.31,990100
2021-05-04,25.10,25.15,24.51,24.72,24.72,1175900
2021-05-05,24.81,24.99,23.33,23.43,23.43,867900
2021-05-06,23.42,23.68,22.91,23.54,23.54,888600
2021-05-07,23.65,24.69,23.49,24.61,24.61,880400
2021-05-10,24.50,24.92,23.93,24.03,24.03,887400
2021-05-11,23.53,24.75,23.19,24.67,24.67,538800
2021-05-12,24.36,24.59,23.68,23.79,23.79,828600
2021-05-13,23.87,24.40,21.21,21.60,21.60,2704700
2021-05-14,21.92,23.12,21.77,22.50,22.50,2072000
2021-05-17,22.11,22.75,21.79,22.00,22.00,1160000
2021-05-18,22.10,23.25,22.06,22.99,22.99,2173000
2021-05-19,22.75,23.29,22.24,23.03,23.03,1272400
