Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.30,0.28,0.28,0.15,1401600
1980-03-18,0.00,0.28,0.27,0.27,0.15,1459200
1980-03-19,0.00,0.28,0.28,0.28,0.15,1296000
1980-03-20,0.00,0.28,0.28,0.28,0.15,422400
1980-03-21,0.00,0.28,0.27,0.28,0.15,220800
1980-03-24,0.00,0.27,0.27,0.27,0.14,518400
1980-03-25,0.00,0.27,0.26,0.27,0.14,422400
1980-03-26,0.00,0.26,0.26,0.26,0.14,518400
1980-03-27,0.00,0.26,0.24,0.24,0.13,892800
1980-03-28,0.00,0.26,0.25,0.26,0.14,1152000
1980-03-31,0.00,0.28,0.27,0.28,0.15,1420800
1980-04-01,0.00,0.29,0.28,0.28,0.15,864000
1980-04-02,0.00,0.29,0.28,0.28,0.15,345600
1980-04-03,0.00,0.29,0.28,0.29,0.16,374400
1980-04-07,0.00,0.29,0.29,0.29,0.15,355200
1980-04-08,0.00,0.29,0.29,0.29,0.15,28800
1980-04-09,0.00,0.29,0.28,0.29,0.15,115200
1980-04-10,0.00,0.29,0.28,0.29,0.15,364800
1980-04-11,0.00,0.29,0.29,0.29,0.15,124800
1980-04-14,0.00,0.29,0.28,0.28,0.15,662400
1980-04-15,0.00,0.28,0.28,0.28,0.15,249600
1980-04-16,0.00,0.28,0.27,0.27,0.15,412800
1980-04-17,0.00,0.27,0.26,0.26,0.14,393600
1980-04-18,0.00,0.27,0.27,0.27,0.14,326400
1980-04-21,0.00,0.27,0.27,0.27,0.15,374400
1980-04-22,0.00,0.28,0.28,0.28,0.15,326400
1980-04-23,0.00,0.29,0.29,0.29,0.16,470400
1980-04-24,0.00,0.30,0.29,0.30,0.16,480000
1980-04-25,0.00,0.30,0.29,0.29,0.16,316800
1980-04-28,0.00,0.30,0.30,0.30,0.16,288000
1980-04-29,0.00,0.30,0.30,0.30,0.16,643200
1980-04-30,0.00,0.31,0.30,0.31,0.16,672000
1980-05-01,0.00,0.31,0.30,0.31,0.16,316800
1980-05-02,0.00,0.30,0.30,0.30,0.16,115200
1980-05-05,0.00,0.30,0.30,0.30,0.16,163200
1980-05-06,0.00,0.31,0.30,0.30,0.16,288000
1980-05-07,0.00,0.30,0.29,0.29,0.16,192000
1980-05-08,0.00,0.29,0.29,0.29,0.16,374400
1980-05-09,0.00,0.29,0.28,0.28,0.15,307200
1980-05-12,0.00,0.29,0.28,0.29,0.15,355200
1980-05-13,0.00,0.29,0.29,0.29,0.15,326400
1980-05-14,0.00,0.28,0.28,0.28,0.15,374400
1980-05-15,0.00,0.29,0.29,0.29,0.15,192000
1980-05-16,0.00,0.29,0.29,0.29,0.16,412800
1980-05-19,0.00,0.29,0.28,0.29,0.15,355200
1980-05-20,0.00,0.29,0.28,0.29,0.15,230400
1980-05-21,0.00,0.29,0.29,0.29,0.15,124800
1980-05-22,0.00,0.29,0.29,0.29,0.16,412800
1980-05-23,0.00,0.29,0.29,0.29,0.16,1939200
1980-05-27,0.00,0.29,0.29,0.29,0.16,451200
1980-05-28,0.00,0.29,0.29,0.29,0.16,998400
1980-05-29,0.00,0.29,0.29,0.29,0.15,576000
1980-05-30,0.00,0.29,0.29,0.29,0.15,393600
1980-06-02,0.00,0.29,0.29,0.29,0.16,355200
1980-06-03,0.00,0.29,0.29,0.29,0.15,220800
1980-06-04,0.00,0.29,0.28,0.28,0.15,163200
1980-06-05,0.00,0.30,0.29,0.30,0.16,1603200
1980-06-06,0.00,0.30,0.30,0.30,0.16,268800
1980-06-09,0.00,0.30,0.30,0.30,0.16,249600
1980-06-10,0.00,0.30,0.30,0.30,0.16,393600
1980-06-11,0.00,0.31,0.30,0.31,0.16,211200
1980-06-12,0.00,0.31,0.30,0.30,0.16,1113600
