Date,Open,High,Low,Close,Adj Close,Volume
1994-09-13,4.50,4.88,4.50,4.62,4.34,74000
1994-09-14,4.50,4.75,3.62,4.38,4.11,335100
1994-09-15,4.50,4.55,4.38,4.55,4.27,43600
1994-09-16,4.38,4.75,4.25,4.75,4.46,171900
1994-09-19,4.88,4.88,4.88,4.88,4.58,2100
1994-09-20,4.50,4.55,4.25,4.38,4.11,81000
1994-09-21,4.12,4.17,4.12,4.17,3.92,8000
1994-09-22,4.38,4.38,4.38,4.38,4.11,6100
1994-09-23,4.38,4.38,4.12,4.12,3.87,6700
1994-09-26,4.38,4.38,4.12,4.25,3.99,6600
1994-09-27,4.25,4.25,3.75,4.00,3.76,205500
1994-09-28,4.12,4.12,4.12,4.12,3.87,11600
1994-09-29,3.75,4.12,3.75,4.12,3.87,9600
1994-09-30,4.12,4.12,4.12,4.12,3.87,1000
1994-10-03,3.88,3.88,3.88,3.88,3.64,9000
1994-10-04,4.00,4.00,3.62,3.62,3.40,18300
1994-10-05,3.75,3.88,3.69,3.69,3.46,21100
1994-10-06,3.88,3.88,3.62,3.88,3.64,4000
1994-10-07,3.62,3.62,3.62,3.62,3.40,1600
1994-10-10,3.62,3.62,3.62,3.62,3.40,0
1994-10-11,3.62,3.62,3.62,3.62,3.40,0
1994-10-12,3.75,3.75,3.69,3.75,3.52,7000
1994-10-13,3.88,3.88,3.62,3.62,3.40,14200
1994-10-14,3.88,3.88,3.62,3.62,3.40,8500
1994-10-17,3.62,3.62,3.62,3.62,3.40,200
1994-10-18,3.62,3.88,3.62,3.88,3.64,6800
1994-10-19,3.88,3.88,3.62,3.62,3.40,5200
1994-10-20,3.62,3.62,3.62,3.62,3.40,900
1994-10-21,3.88,3.88,3.88,3.88,3.64,2000
1994-10-24,3.88,4.12,3.88,4.12,3.87,27300
1994-10-25,4.00,4.00,4.00,4.00,3.76,1200
1994-10-26,4.12,4.12,4.12,4.12,3.87,100
1994-10-27,4.12,4.12,4.12,4.12,3.87,12500
1994-10-28,4.12,4.12,4.12,4.12,3.87,1500
1994-10-31,3.75,3.75,3.75,3.75,3.52,400
1994-11-01,3.88,3.88,3.88,3.88,3.64,2000
1994-11-02,4.00,4.00,3.75,3.75,3.52,1300
1994-11-03,3.75,3.75,3.75,3.75,3.52,3600
1994-11-04,3.75,3.75,3.75,3.75,3.52,0
1994-11-07,4.00,4.00,3.75,3.75,3.52,8000
1994-11-08,3.75,3.75,3.75,3.75,3.52,4000
1994-11-09,3.62,3.62,3.62,3.62,3.40,12000
1994-11-10,3.88,3.88,3.62,3.62,3.40,20100
1994-11-11,3.62,3.62,3.62,3.62,3.40,0
1994-11-14,3.62,3.62,3.62,3.62,3.40,0
1994-11-15,3.50,3.88,3.50,3.50,3.29,31400
1994-11-16,3.88,3.88,3.50,3.50,3.29,3800
1994-11-17,3.50,3.62,3.50,3.62,3.40,2000
1994-11-18,3.50,3.50,3.50,3.50,3.29,9000
1994-11-21,3.50,3.50,3.50,3.50,3.29,500
1994-11-22,3.38,3.38,2.75,2.75,2.58,16300
1994-11-23,2.50,2.75,2.50,2.75,2.58,3600
1994-11-25,2.50,2.50,2.12,2.50,2.35,12500
1994-11-28,2.50,2.62,2.38,2.38,2.23,40500
1994-11-29,2.75,2.88,2.50,2.50,2.35,17200
1994-11-30,2.88,2.88,2.50,2.75,2.58,7000
1994-12-01,2.88,2.88,2.50,2.50,2.35,8500
1994-12-02,2.50,2.75,2.50,2.75,2.58,5500
1994-12-05,2.38,2.38,2.25,2.25,2.11,5900
1994-12-06,2.25,2.50,2.25,2.25,2.11,4700
1994-12-07,2.25,2.25,2.25,2.25,2.11,2600
1994-12-08,2.12,2.38,2.00,2.00,1.88,4300
1994-12-09,2.00,2.25,1.88,1.88,1.76,27400
1994-12-12,2.25,2.25,2.00,2.25,2.11,4100
1994-12-13,2.12,2.12,1.88,1.88,1.76,7000
1994-12-14,1.88,1.88,1.62,1.69,1.58,8300
1994-12-15,1.62,1.88,1.62,1.75,1.64,38200
1994-12-16,1.81,1.81,1.69,1.69,1.58,11600
1994-12-19,1.81,1.81,1.69,1.75,1.64,18000
