Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,13.94,14.00,13.88,13.97,5.43,449200
1982-01-04,13.75,13.97,13.50,13.69,5.32,630400
1982-01-05,13.25,13.47,13.00,13.00,5.05,1076800
1982-01-06,12.88,12.97,12.75,12.88,5.00,1560400
1982-01-07,12.72,12.94,12.50,12.62,4.90,1303600
1982-01-08,12.81,12.91,12.69,12.78,4.96,991200
1982-01-11,12.59,12.94,12.25,12.31,4.78,1479600
1982-01-12,12.50,12.69,12.28,12.66,4.92,1089600
1982-01-13,12.66,13.06,12.22,12.38,4.81,1231200
1982-01-14,12.53,12.66,12.38,12.66,4.92,1068400
1982-01-15,12.69,12.75,12.59,12.69,4.93,724400
1982-01-18,12.59,12.78,12.41,12.78,4.96,897600
1982-01-19,12.59,12.78,12.41,12.41,4.82,722000
1982-01-20,12.22,12.44,11.97,12.19,4.73,1852800
1982-01-21,12.12,12.31,11.94,12.06,4.69,1187200
1982-01-22,12.00,12.16,11.81,11.81,4.59,868000
1982-01-25,12.09,12.47,11.69,12.47,4.84,1900800
1982-01-26,12.38,12.53,12.19,12.19,4.73,1143200
1982-01-27,12.47,12.69,12.25,12.53,4.87,1310800
1982-01-28,12.88,13.09,12.62,13.06,5.07,1169200
1982-01-29,13.44,13.59,13.28,13.50,5.24,2861600
1982-02-01,12.94,13.22,12.66,12.72,4.94,1345200
1982-02-02,12.78,12.91,12.62,12.75,4.95,1434400
1982-02-03,12.50,12.88,12.12,12.22,4.75,1294800
1982-02-04,12.31,12.50,12.12,12.50,4.86,1818000
1982-02-05,12.66,12.88,12.41,12.62,4.90,1472000
1982-02-08,12.22,12.44,12.00,12.03,4.67,1396400
1982-02-09,12.09,12.31,11.88,12.16,4.72,1279200
1982-02-10,12.38,12.56,12.16,12.25,4.76,1146000
1982-02-11,12.09,12.31,11.88,11.94,4.64,1359200
1982-02-12,12.03,12.12,11.91,12.00,4.66,1182800
1982-02-16,12.09,12.44,11.75,12.44,4.83,1678400
1982-02-17,12.34,12.44,12.22,12.25,4.76,1125200
1982-02-18,12.31,12.44,12.19,12.34,4.79,765200
1982-02-19,12.28,12.41,12.12,12.22,4.75,774800
1982-02-22,12.03,12.41,11.66,11.69,4.54,1422000
1982-02-23,11.69,11.91,11.44,11.75,4.56,1600800
1982-02-24,12.06,12.34,11.78,12.28,4.77,1030000
1982-02-25,12.09,12.28,11.88,12.09,4.70,789200
1982-02-26,12.03,12.12,11.91,11.97,4.65,640000
1982-03-01,11.81,12.03,11.56,11.75,4.56,977600
1982-03-02,11.44,11.84,11.03,11.06,4.30,1373200
1982-03-03,10.69,10.81,10.56,10.75,4.18,2811200
1982-03-04,10.69,10.94,10.44,10.75,4.18,4486800
1982-03-05,10.69,10.84,10.53,10.78,4.19,2571200
1982-03-08,10.50,10.97,10.00,10.06,3.91,2307600
1982-03-09,10.56,11.00,10.09,10.59,4.14,2858800
1982-03-10,10.81,11.12,10.50,10.88,4.25,1601600
1982-03-11,10.81,10.97,10.62,10.81,4.22,1247200
1982-03-12,10.72,10.84,10.59,10.66,4.16,1305600
1982-03-15,10.84,11.03,10.62,11.00,4.29,1224400
1982-03-16,10.97,11.12,10.81,10.84,4.23,1113200
1982-03-17,10.81,10.97,10.62,10.66,4.16,759600
1982-03-18,10.81,10.97,10.66,10.88,4.25,1245200
1982-03-19,10.88,10.94,10.66,10.72,4.18,1400800
1982-03-22,10.94,11.06,10.78,11.06,4.32,1125600
1982-03-23,11.00,11.12,10.84,11.06,4.32,1092800
1982-03-24,11.12,11.25,10.97,11.12,4.34,1596800
1982-03-25,11.12,11.31,10.94,11.00,4.29,1070400
1982-03-26,10.75,10.97,10.53,10.62,4.15,1150400
1982-03-29,10.62,10.75,10.47,10.75,4.20,644800
1982-03-30,10.66,10.72,10.56,10.66,4.16,793200
1982-03-31,10.69,10.78,10.59,10.66,4.16,1119200
1982-04-01,10.81,11.06,10.56,11.06,4.32,1167600
1982-04-02,11.31,11.53,11.09,11.44,4.46,1537200
1982-04-05,11.25,11.44,11.06,11.19,4.37,699600
1982-04-06,11.31,11.44,11.19,11.41,4.45,776000
1982-04-07,11.53,11.62,11.41,11.53,4.50,1457600
1982-04-08,11.72,11.88,11.53,11.69,4.56,1549600
1982-04-12,11.62,11.72,11.50,11.53,4.50,884800
1982-04-13,11.53,11.66,11.41,11.44,4.46,804400
1982-04-14,11.34,11.44,11.25,11.41,4.45,692800
1982-04-15,11.31,11.38,11.22,11.31,4.42,452800
1982-04-16,11.31,11.56,11.28,11.38,4.44,768800
1982-04-19,11.31,11.41,11.19,11.22,4.38,713600
1982-04-20,10.97,11.19,10.75,10.84,4.23,1103600
1982-04-21,10.53,10.72,10.34,10.56,4.12,2250800
1982-04-22,10.97,11.22,10.69,11.22,4.38,2845600
1982-04-23,11.62,11.81,11.44,11.75,4.59,2343200
1982-04-26,11.97,12.22,11.69,12.00,4.68,2468000
1982-04-27,11.78,12.00,11.53,11.62,4.54,1718400
1982-04-28,11.59,11.75,11.44,11.66,4.55,1735600
1982-04-29,11.62,11.75,11.50,11.53,4.50,1164800
1982-04-30,11.59,11.69,11.50,11.50,4.49,911200
1982-05-03,11.56,11.69,11.44,11.66,4.55,1023200
1982-05-04,11.84,11.97,11.69,11.94,4.66,1966800
1982-05-05,11.88,12.03,11.69,11.84,4.62,1378800
1982-05-06,11.97,12.06,11.88,12.00,4.68,1312000
