Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,18.40,19.70,18.06,19.50,19.50,9194700
2018-04-30,19.51,19.51,18.80,19.30,19.30,640500
2018-05-01,19.05,20.00,19.00,19.85,19.85,656200
2018-05-02,19.95,19.96,19.40,19.51,19.51,313600
2018-05-03,19.55,19.65,19.06,19.44,19.44,401600
2018-05-04,19.47,19.47,18.86,18.88,18.88,362700
2018-05-07,18.89,19.84,18.80,19.60,19.60,187700
2018-05-08,19.79,20.98,19.25,20.73,20.73,209600
2018-05-09,20.76,21.70,20.76,21.35,21.35,434400
2018-05-10,21.63,21.68,20.22,20.75,20.75,276700
2018-05-11,20.91,20.91,20.24,20.51,20.51,83400
2018-05-14,20.79,20.89,20.30,20.74,20.74,73500
2018-05-15,20.74,20.81,20.43,20.60,20.60,66000
2018-05-16,20.66,20.73,19.90,20.00,20.00,108600
2018-05-17,20.01,20.28,19.12,19.46,19.46,82000
2018-05-18,19.43,19.96,19.22,19.89,19.89,170900
2018-05-21,20.27,20.27,19.47,20.03,20.03,110200
2018-05-22,20.28,20.76,20.24,20.25,20.25,328900
2018-05-23,20.45,20.45,20.16,20.26,20.26,159900
2018-05-24,20.30,22.63,20.26,22.23,22.23,496300
2018-05-25,22.35,23.66,22.33,22.53,22.53,266800
2018-05-29,22.66,23.37,22.60,22.78,22.78,344300
2018-05-30,23.10,23.79,22.56,22.87,22.87,358400
2018-05-31,23.07,25.37,23.07,24.92,24.92,457200
2018-06-01,25.09,26.93,25.04,26.27,26.27,436800
2018-06-04,26.88,28.66,26.41,26.54,26.54,919800
2018-06-05,30.15,32.79,27.95,28.95,28.95,2857800
2018-06-06,29.16,29.40,28.11,28.75,28.75,547600
2018-06-07,28.88,29.16,28.34,28.45,28.45,447500
2018-06-08,28.33,28.69,27.54,27.65,27.65,508200
2018-06-11,27.80,27.99,26.58,27.11,27.11,434300
2018-06-12,27.15,28.26,26.27,26.48,26.48,392000
2018-06-13,26.64,27.50,26.60,27.11,27.11,356800
2018-06-14,27.61,29.41,27.61,28.43,28.43,662200
2018-06-15,28.31,30.14,27.62,30.13,30.13,1181500
2018-06-18,30.11,32.49,29.65,32.21,32.21,711000
2018-06-19,31.80,31.80,27.06,28.91,28.91,870900
