Date,Open,High,Low,Close,Adj Close,Volume
2006-11-28,28.39,28.39,28.15,28.31,27.71,1080600
2006-11-29,28.31,29.25,28.31,29.02,28.40,1164400
2006-11-30,29.15,29.30,28.66,29.15,28.53,835500
2006-12-01,29.25,29.44,29.00,29.15,28.53,928800
2006-12-04,29.50,29.89,29.35,29.80,29.17,867500
2006-12-05,29.90,30.44,29.80,30.26,29.62,740600
2006-12-06,30.25,31.06,30.17,30.55,29.90,1034900
2006-12-07,30.50,30.90,30.05,30.88,30.23,431900
2006-12-08,30.95,31.64,30.88,31.03,30.37,511800
2006-12-11,31.28,31.49,31.10,31.26,30.60,900600
2006-12-12,31.50,31.70,30.85,31.05,30.39,351600
2006-12-13,31.02,31.20,30.85,30.96,30.30,1169800
2006-12-14,30.98,31.05,30.61,30.65,30.00,905800
2006-12-15,30.55,30.75,29.50,30.70,30.05,2771500
2006-12-18,30.70,31.75,30.58,30.79,30.14,913600
2006-12-19,30.70,31.09,30.69,30.98,30.32,712700
2006-12-20,30.90,31.45,30.88,31.26,30.60,339300
2006-12-21,31.21,31.29,31.05,31.21,30.55,404900
2006-12-22,31.15,31.38,31.01,31.33,30.67,379600
2006-12-26,31.26,31.35,31.02,31.20,30.54,195500
2006-12-27,31.20,31.73,31.17,31.50,30.83,202000
2006-12-28,31.41,32.63,31.31,32.16,31.48,459300
2006-12-29,32.25,33.65,32.07,33.47,32.76,946300
2007-01-03,32.00,32.00,30.82,31.26,30.60,2457200
2007-01-04,31.06,31.25,29.87,30.50,29.85,1144500
2007-01-05,30.50,30.50,29.69,30.00,29.36,738400
2007-01-08,29.90,30.50,29.24,29.98,29.34,1424100
2007-01-09,29.90,30.20,29.88,30.05,29.41,837900
2007-01-10,30.14,30.30,29.91,30.07,29.43,290700
2007-01-11,30.32,31.05,30.15,30.63,29.98,412700
2007-01-12,30.93,32.48,30.93,31.23,30.57,534200
2007-01-16,31.30,31.54,30.50,30.84,30.19,582100
2007-01-17,31.00,31.43,30.40,30.88,30.23,459900
2007-01-18,30.81,31.00,30.05,30.30,29.66,320400
2007-01-19,30.20,30.73,30.04,30.25,29.61,571600
2007-01-22,30.23,30.45,29.35,29.68,29.05,421500
2007-01-23,29.55,30.14,29.47,30.08,29.44,378200
2007-01-24,30.30,30.45,29.76,30.02,29.38,477000
2007-01-25,30.15,30.44,29.23,29.33,28.71,839800
2007-01-26,29.30,29.33,28.30,29.01,28.39,1043900
2007-01-29,28.95,29.25,28.55,29.06,28.44,396400
2007-01-30,29.00,29.46,28.75,29.22,28.60,260500
2007-01-31,30.05,32.00,30.05,30.63,29.98,1469200
2007-02-01,30.63,30.67,30.13,30.35,29.71,587000
2007-02-02,30.35,30.85,30.35,30.67,30.02,253900
2007-02-05,30.80,31.08,30.26,30.88,30.23,420500
2007-02-06,30.88,31.65,30.75,31.16,30.50,389700
2007-02-07,31.30,31.47,30.96,30.99,30.33,389700
2007-02-08,31.24,32.00,31.12,31.21,30.55,858500
2007-02-09,31.25,31.59,31.00,31.45,30.78,609200
2007-02-12,31.95,32.00,30.88,31.00,30.34,468400
2007-02-13,30.70,31.30,30.20,30.28,29.64,431800
2007-02-14,30.39,30.50,30.00,30.20,29.56,374300
2007-02-15,30.50,30.70,29.82,30.35,29.71,930200
2007-02-16,30.50,30.50,29.93,30.17,29.53,436300
2007-02-20,30.10,30.24,30.03,30.07,29.43,722200
2007-02-21,29.53,30.24,29.50,30.02,29.38,823600
2007-02-22,29.80,30.56,29.80,30.05,29.41,1031800
2007-02-23,30.05,30.31,29.93,30.10,29.46,363300
2007-02-26,30.28,30.30,29.80,30.09,29.45,450600
2007-02-27,29.85,30.10,29.33,29.46,28.84,730400
2007-02-28,29.51,29.65,29.40,29.51,28.88,462200
2007-03-01,28.75,29.59,28.75,29.14,28.52,642100
2007-03-02,29.14,29.15,27.45,28.00,27.41,777900
2007-03-05,27.60,28.30,27.60,27.98,27.39,659900
2007-03-06,29.95,30.80,28.50,28.72,28.11,1728200
2007-03-07,28.65,28.93,28.33,28.67,28.06,2146400
2007-03-08,29.00,29.62,28.86,29.06,28.44,1189200
2007-03-09,29.20,29.43,29.00,29.26,28.64,404600
2007-03-12,29.45,29.95,29.38,29.51,28.88,230700
2007-03-13,29.76,29.93,29.23,29.52,28.89,350700
2007-03-14,29.65,29.65,28.45,29.15,28.53,376800
2007-03-15,29.15,31.24,28.20,31.05,30.39,3086100
2007-03-16,30.65,31.42,30.60,30.97,30.31,814700
2007-03-19,30.26,32.02,30.26,31.85,31.17,1314800
2007-03-20,31.70,31.90,31.50,31.84,31.16,656900
2007-03-21,31.76,32.01,31.45,31.77,31.10,977500
2007-03-22,31.51,31.98,31.50,31.77,31.10,953500
2007-03-23,31.77,32.49,31.75,32.37,31.68,579600
2007-03-26,31.95,32.37,31.89,32.07,31.39,444200
2007-03-27,31.56,32.08,31.22,32.03,31.35,442100
2007-03-28,31.65,32.00,31.45,31.53,30.86,568500
2007-03-29,32.00,32.61,31.95,32.53,31.84,961300
2007-03-30,32.45,32.80,31.75,31.85,31.17,1534800
2007-04-02,31.70,31.85,31.17,31.32,30.66,790800
2007-04-03,31.50,32.06,31.50,31.85,31.17,941700
2007-04-04,31.75,32.12,31.66,31.97,31.29,503400
2007-04-05,31.80,31.93,31.51,31.72,31.05,132100
2007-04-09,31.55,32.43,31.52,32.29,31.61,883600
2007-04-10,32.20,32.50,32.10,32.19,31.51,652900
2007-04-11,32.35,32.35,31.75,31.85,31.17,526400
2007-04-12,31.85,31.86,31.25,31.55,30.88,667600
2007-04-13,31.60,32.03,31.16,31.48,30.81,552300
2007-04-16,31.40,31.85,31.23,31.80,31.13,317200
2007-04-17,31.60,32.19,31.60,31.85,31.17,474000
2007-04-18,31.65,33.34,31.40,32.40,31.71,1473000
2007-04-19,32.25,32.45,31.50,31.85,31.17,1037800
2007-04-20,32.05,32.45,31.45,31.90,31.22,649100
2007-04-23,31.95,32.25,31.95,32.15,31.47,502900
2007-04-24,32.15,32.52,31.90,31.98,31.30,352500
2007-04-25,31.99,32.48,31.72,32.20,31.52,833600
2007-04-26,32.20,33.31,32.20,32.40,31.71,2547500
2007-04-27,32.01,32.24,31.24,31.81,31.14,579700
2007-04-30,32.01,32.24,31.60,31.63,30.96,604000
2007-05-01,31.63,32.05,31.43,31.83,31.16,509600
2007-05-02,31.89,32.36,31.72,32.20,31.52,914800
2007-05-03,32.20,32.64,32.03,32.36,31.67,506600
2007-05-04,32.30,32.52,32.13,32.35,31.66,391000
2007-05-07,32.35,32.75,32.28,32.34,31.65,363400
2007-05-08,32.09,33.50,31.96,33.17,32.47,1274400
2007-05-09,33.42,33.70,33.10,33.30,32.59,574400
2007-05-10,33.17,33.79,33.15,33.31,32.60,397800
2007-05-11,33.25,34.79,33.25,34.58,33.85,1027600
2007-05-14,34.49,34.84,33.56,33.85,33.13,539000
2007-05-15,33.65,33.65,32.91,33.44,32.73,276100
2007-05-16,33.44,34.37,33.44,34.27,33.54,446300
2007-05-17,34.27,35.30,34.00,34.43,33.70,1910300
2007-05-18,34.60,35.71,34.32,34.55,33.82,964800
2007-05-21,34.43,34.68,33.75,33.94,33.22,1402600
2007-05-22,33.45,33.99,33.25,33.50,32.79,9569300
2007-05-23,33.50,33.63,33.00,33.00,32.30,2009000
2007-05-24,33.01,33.58,33.01,33.02,32.32,1578200
2007-05-25,33.02,33.90,33.02,33.80,33.08,955300
