Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.97,43.97,43.75,43.94,25.63,1003200
1993-02-01,43.97,44.25,43.97,44.25,25.81,480500
1993-02-02,44.22,44.38,44.12,44.34,25.86,201300
1993-02-03,44.41,44.84,44.38,44.81,26.14,529400
1993-02-04,44.97,45.09,44.47,45.00,26.25,531500
1993-02-05,44.97,45.06,44.72,44.97,26.23,492100
1993-02-08,44.97,45.12,44.91,44.97,26.23,596100
1993-02-09,44.81,44.81,44.56,44.66,26.05,122100
1993-02-10,44.66,44.75,44.53,44.72,26.08,379600
1993-02-11,44.78,45.12,44.78,44.94,26.21,19500
1993-02-12,44.88,44.88,44.59,44.59,26.01,42500
1993-02-16,44.47,44.47,43.41,43.47,25.35,374800
1993-02-17,43.47,43.53,43.28,43.44,25.34,210900
1993-02-18,43.94,43.94,42.81,43.41,25.32,378100
1993-02-19,43.41,43.56,43.34,43.56,25.41,34900
1993-02-22,43.69,43.78,43.56,43.72,25.50,513600
1993-02-23,43.84,43.88,43.47,43.69,25.48,373700
1993-02-24,43.72,44.25,43.72,44.25,25.81,26300
1993-02-25,44.22,44.38,44.12,44.34,25.86,44500
1993-02-26,44.44,44.44,44.19,44.41,25.90,66200
1993-03-01,44.56,44.56,44.22,44.28,25.83,66500
1993-03-02,44.31,44.94,44.25,44.94,26.21,182400
1993-03-03,45.00,45.16,44.94,45.12,26.32,280100
1993-03-04,45.19,45.19,44.88,44.88,26.17,89500
1993-03-05,44.94,45.12,44.72,44.75,26.10,40000
1993-03-08,44.84,45.75,44.84,45.75,26.68,50800
1993-03-09,45.66,45.69,45.50,45.59,26.59,169300
1993-03-10,45.59,45.69,45.41,45.69,26.65,194400
1993-03-11,45.72,45.84,45.50,45.56,26.58,70900
1993-03-12,45.19,45.22,44.81,45.09,26.30,643600
1993-03-15,45.06,45.31,45.06,45.31,26.43,310800
1993-03-16,45.31,45.44,45.31,45.31,26.43,30800
1993-03-17,45.25,45.25,44.97,45.03,26.27,21800
1993-03-18,45.22,45.50,45.22,45.31,26.43,59300
1993-03-19,45.28,45.28,45.03,45.03,26.39,66900
1993-03-22,44.59,44.88,44.56,44.78,26.24,183400
1993-03-23,44.91,44.94,44.81,44.88,26.30,55200
1993-03-24,44.81,45.06,44.59,44.88,26.30,37200
1993-03-25,44.91,45.25,44.84,45.16,26.46,110100
1993-03-26,45.12,45.16,44.88,44.91,26.32,101500
1993-03-29,44.94,45.31,44.94,45.09,26.43,87100
1993-03-30,45.16,45.22,45.09,45.22,26.50,56000
1993-03-31,45.34,45.47,45.19,45.19,26.48,111600
1993-04-01,45.25,45.25,44.94,45.03,26.39,129500
1993-04-02,44.66,44.66,44.09,44.09,25.84,59400
1993-04-05,44.44,44.44,44.19,44.31,25.97,172200
1993-04-06,44.41,44.41,44.06,44.19,25.89,129700
1993-04-07,44.25,44.34,44.16,44.34,25.99,28000
1993-04-08,44.53,44.53,44.09,44.28,25.95,180800
1993-04-12,44.72,44.94,44.66,44.91,26.32,348500
1993-04-13,44.88,45.16,44.84,45.00,26.37,146100
1993-04-14,45.03,45.06,44.91,44.94,26.33,119600
1993-04-15,44.91,45.03,44.75,44.94,26.33,148600
1993-04-16,44.97,45.03,44.88,44.94,26.33,47900
1993-04-19,44.94,45.06,44.72,44.75,26.22,157000
1993-04-20,44.69,44.75,44.25,44.53,26.10,279500
1993-04-21,44.62,44.62,44.38,44.50,26.08,67900
1993-04-22,44.31,44.69,43.94,43.94,25.75,97700
1993-04-23,43.84,43.97,43.69,43.75,25.64,106000
1993-04-26,43.78,43.94,43.28,43.41,25.44,62600
1993-04-27,43.34,43.88,43.34,43.88,25.71,156800
1993-04-28,43.81,43.91,43.72,43.78,25.66,85900
1993-04-29,43.88,43.97,43.62,43.97,25.77,85000
1993-04-30,44.12,44.28,44.03,44.03,25.80,88500
1993-05-03,44.09,44.31,43.91,44.31,25.97,80500
1993-05-04,44.41,44.62,44.34,44.47,26.06,149100
1993-05-05,44.47,44.75,44.47,44.59,26.13,109000
1993-05-06,44.53,44.56,44.41,44.44,26.04,54700
1993-05-07,44.47,44.47,44.28,44.34,25.99,68000
1993-05-10,44.41,44.69,44.41,44.44,26.04,113900
1993-05-11,44.44,44.62,44.31,44.62,26.15,42600
1993-05-12,44.44,44.59,44.44,44.56,26.11,31000
1993-05-13,44.38,44.38,44.00,44.03,25.80,129100
1993-05-14,44.03,44.16,43.97,44.00,25.79,63500
1993-05-17,44.12,44.16,43.94,44.16,25.88,34000
1993-05-18,44.19,44.22,43.97,44.12,25.86,105200
1993-05-19,44.12,45.03,43.84,45.03,26.39,50200
1993-05-20,45.03,45.16,44.94,45.16,26.46,98200
1993-05-21,45.19,45.25,44.72,44.75,26.22,221400
1993-05-24,44.84,45.09,44.84,44.94,26.33,30500
1993-05-25,45.12,45.12,45.03,45.03,26.39,191800
1993-05-26,45.16,45.62,45.12,45.59,26.72,102400
1993-05-27,45.66,45.66,45.38,45.44,26.63,53800
1993-05-28,45.41,45.41,45.00,45.22,26.50,79100
1993-06-01,45.38,45.81,45.31,45.66,26.76,28300
1993-06-02,45.53,45.75,45.34,45.59,26.72,20300
1993-06-03,45.50,45.50,45.34,45.44,26.63,21600
1993-06-04,45.31,45.31,45.09,45.28,26.54,32000
1993-06-07,45.38,45.38,45.12,45.12,26.44,121400
1993-06-08,45.00,45.00,44.72,44.72,26.21,104500
1993-06-09,44.88,45.06,44.81,44.88,26.30,43300
1993-06-10,44.84,44.94,44.75,44.91,26.32,17900
1993-06-11,45.06,45.16,44.91,45.09,26.43,647400
1993-06-14,45.16,45.19,45.03,45.03,26.39,64200
1993-06-15,45.09,45.12,44.94,44.94,26.33,142400
1993-06-16,44.94,45.03,44.81,45.03,26.39,330900
1993-06-17,45.12,45.19,45.03,45.19,26.48,37400
1993-06-18,44.84,44.84,44.50,44.50,26.26,58500
1993-06-21,44.62,44.62,44.53,44.59,26.32,29300
1993-06-22,44.66,44.66,44.56,44.62,26.34,137500
1993-06-23,44.62,44.62,44.22,44.22,26.10,227600
1993-06-24,44.34,44.81,44.34,44.81,26.45,243700
1993-06-25,44.78,44.91,44.75,44.78,26.43,44800
1993-06-28,45.00,45.28,44.94,45.28,26.72,439900
1993-06-29,45.22,45.22,45.00,45.06,26.59,207500
1993-06-30,45.12,45.22,45.00,45.06,26.59,437600
1993-07-01,45.12,45.12,44.88,44.94,26.52,605700
1993-07-02,44.78,44.81,44.53,44.69,26.37,285400
1993-07-06,44.62,44.75,44.16,44.22,26.10,246400
1993-07-07,44.19,44.41,44.19,44.34,26.17,343700
1993-07-08,44.38,44.94,44.31,44.84,26.47,248200
1993-07-09,44.84,44.97,44.75,44.97,26.54,378200
1993-07-12,44.91,44.97,44.84,44.94,26.52,373700
1993-07-13,44.97,45.09,44.66,44.91,26.50,389600
1993-07-14,44.94,45.19,44.91,45.06,26.59,617300
1993-07-15,45.03,45.03,44.78,44.88,26.48,443800
1993-07-16,44.91,44.94,44.69,44.75,26.41,216400
1993-07-19,44.75,44.75,44.59,44.72,26.39,188200
1993-07-20,44.69,44.84,44.47,44.84,26.47,68500
1993-07-21,44.78,44.81,44.66,44.81,26.45,142700
1993-07-22,44.75,44.81,44.50,44.50,26.26,632400
1993-07-23,44.59,44.72,44.56,44.72,26.39,286200
1993-07-26,44.84,45.06,44.84,44.97,26.54,121300
1993-07-27,45.00,45.03,44.78,44.94,26.52,92800
1993-07-28,44.84,44.94,44.78,44.84,26.47,30800
1993-07-29,44.94,45.22,44.88,45.09,26.61,331000
1993-07-30,45.09,45.09,44.78,44.84,26.47,75300
1993-08-02,44.91,45.12,44.91,44.97,26.54,41300
1993-08-03,45.06,45.19,44.84,45.00,26.56,81600
1993-08-04,45.00,45.09,44.88,45.00,26.56,434000
1993-08-05,45.00,45.00,44.84,44.91,26.50,36800
1993-08-06,45.03,45.06,44.91,44.97,26.54,402300
1993-08-09,45.09,45.34,45.00,45.22,26.69,828200
1993-08-10,45.19,45.22,45.12,45.19,26.67,604900
1993-08-11,45.16,45.31,45.16,45.19,26.67,542200
1993-08-12,45.31,45.31,44.91,45.06,26.59,303700
1993-08-13,45.09,45.16,45.09,45.12,26.63,103500
1993-08-16,45.16,45.50,45.16,45.38,26.78,241800
1993-08-17,45.34,45.53,45.34,45.53,26.87,369300
1993-08-18,45.69,45.88,45.66,45.78,27.02,414300
1993-08-19,45.81,45.81,45.72,45.78,27.02,28500
1993-08-20,45.69,45.81,45.66,45.81,27.04,80700
1993-08-23,45.62,45.75,45.62,45.72,26.98,15600
1993-08-24,45.72,46.22,45.72,46.22,27.28,273400
1993-08-25,46.22,46.44,46.16,46.25,27.30,242300
1993-08-26,46.28,46.53,46.09,46.28,27.31,120000
1993-08-27,46.16,46.25,46.16,46.25,27.30,25700
1993-08-30,46.28,46.50,46.28,46.44,27.41,183500
1993-08-31,46.41,46.56,46.34,46.56,27.48,66500
1993-09-01,46.41,46.59,46.41,46.50,27.44,136500
1993-09-02,46.53,46.59,46.31,46.34,27.35,472400
1993-09-03,46.31,46.44,46.25,46.38,27.37,630500
1993-09-07,46.38,46.44,46.00,46.06,27.18,196400
1993-09-08,46.06,46.06,45.59,45.91,27.09,269900
1993-09-09,45.72,46.03,45.72,46.00,27.15,239200
1993-09-10,46.12,46.44,46.06,46.41,27.39,106500
1993-09-13,46.56,46.56,46.44,46.44,27.41,66900
1993-09-14,46.31,46.31,46.09,46.25,27.30,184500
1993-09-15,46.06,46.41,45.91,46.38,27.37,101000
1993-09-16,46.31,46.34,46.16,46.19,27.26,54300
1993-09-17,45.88,45.91,45.75,45.81,27.21,200900
1993-09-20,45.88,45.97,45.44,45.44,26.98,57800
1993-09-21,45.50,45.56,44.81,45.28,26.89,318200
1993-09-22,45.44,45.72,45.38,45.66,27.11,439700
1993-09-23,45.78,45.94,45.72,45.91,27.26,88500
1993-09-24,45.84,45.88,45.72,45.78,27.19,53500
1993-09-27,46.12,46.28,46.12,46.28,27.48,274600
1993-09-28,46.31,46.31,46.16,46.19,27.43,158300
1993-09-29,46.19,46.31,45.97,46.03,27.34,221000
1993-09-30,46.03,46.12,45.84,45.94,27.28,99300
1993-10-01,45.88,46.22,45.81,46.16,27.41,22700
1993-10-04,46.22,46.22,46.09,46.22,27.45,1038500
1993-10-05,46.31,46.31,46.00,46.16,27.41,436500
1993-10-06,46.19,46.38,46.12,46.12,27.39,209200
1993-10-07,46.19,46.19,45.97,46.00,27.32,59400
1993-10-08,46.12,46.16,45.72,46.06,27.35,54400
1993-10-11,46.16,46.25,46.16,46.16,27.41,467100
1993-10-12,46.22,46.25,46.19,46.22,27.45,26200
1993-10-13,46.25,46.25,46.16,46.22,27.45,139100
1993-10-14,46.41,46.81,46.28,46.81,27.80,108100
1993-10-15,47.03,47.16,46.91,47.06,27.95,1502500
1993-10-18,47.03,47.03,46.88,46.94,27.87,722400
1993-10-19,46.88,46.97,46.59,46.59,27.67,880100
1993-10-20,46.75,46.75,46.56,46.66,27.71,230400
1993-10-21,46.69,46.69,46.53,46.59,27.67,56200
1993-10-22,46.66,46.84,46.38,46.38,27.54,390700
1993-10-25,46.41,46.56,46.28,46.50,27.61,114500
1993-10-26,46.47,46.50,46.31,46.47,27.60,186200
1993-10-27,46.41,46.53,46.41,46.50,27.61,118400
1993-10-28,46.56,46.97,46.56,46.84,27.82,129600
1993-10-29,46.81,46.88,46.78,46.84,27.82,80700
1993-11-01,46.78,47.00,46.78,46.97,27.89,36400
1993-11-02,46.91,47.00,46.66,46.94,27.87,262100
1993-11-03,46.91,46.91,46.12,46.34,27.52,479100
1993-11-04,46.34,46.34,45.81,45.84,27.22,130400
1993-11-05,45.72,46.06,45.53,46.06,27.35,363200
1993-11-08,46.09,46.25,45.97,46.12,27.39,367600
1993-11-09,46.44,46.47,46.12,46.16,27.41,246900
