Date,Open,High,Low,Close,Adj Close,Volume
2015-11-19,11.20,14.78,9.00,13.07,13.07,47466100
2015-11-20,13.92,14.05,12.50,12.85,12.85,16550300
2015-11-23,13.00,13.15,12.10,12.12,12.12,5172200
2015-11-24,12.00,12.23,11.52,12.02,12.02,4714700
2015-11-25,12.12,12.40,11.85,11.90,11.90,3583400
2015-11-27,12.05,12.31,11.90,12.05,12.05,942300
2015-11-30,12.28,12.35,11.90,12.04,12.04,1997100
2015-12-01,12.12,12.18,11.89,11.91,11.91,1256100
2015-12-02,11.97,12.15,11.90,11.93,11.93,1708100
2015-12-03,12.04,12.25,11.91,11.92,11.92,1431400
2015-12-04,11.95,12.04,11.80,12.04,12.04,1331600
2015-12-07,12.14,12.60,12.10,12.36,12.36,2660400
2015-12-08,12.36,12.44,12.03,12.12,12.12,1047700
2015-12-09,12.00,12.24,11.90,11.99,11.99,1075700
2015-12-10,12.00,12.13,11.91,12.05,12.05,711300
2015-12-11,12.00,12.02,11.90,11.95,11.95,882500
2015-12-14,12.20,12.40,11.87,12.33,12.33,2163700
2015-12-15,12.50,12.70,12.31,12.47,12.47,1258000
2015-12-16,12.55,12.80,12.13,12.27,12.27,1592900
2015-12-17,12.30,12.50,12.26,12.32,12.32,618900
2015-12-18,12.40,12.58,12.10,12.34,12.34,1608900
2015-12-21,12.37,12.48,12.02,12.24,12.24,703900
2015-12-22,12.32,12.46,12.12,12.46,12.46,502400
2015-12-23,12.41,12.66,12.31,12.50,12.50,512300
2015-12-24,12.59,12.60,12.45,12.60,12.60,318500
2015-12-28,12.60,12.84,12.49,12.83,12.83,1622700
2015-12-29,12.83,12.83,12.50,12.74,12.74,852200
2015-12-30,12.66,12.83,12.53,12.78,12.78,939300
2015-12-31,12.70,13.50,12.65,13.09,13.09,2462300
2016-01-04,12.75,12.90,12.05,12.16,12.16,2751500
2016-01-05,12.20,12.34,11.50,11.51,11.51,2352800
2016-01-06,11.50,11.64,11.02,11.52,11.52,1850600
2016-01-07,11.13,11.37,11.00,11.16,11.16,1636000
2016-01-08,11.25,11.54,11.20,11.31,11.31,587300
2016-01-11,11.43,11.87,11.40,11.84,11.84,1676900
2016-01-12,11.94,12.23,11.71,12.09,12.09,2136100
2016-01-13,12.06,12.17,11.08,11.61,11.61,2095200
2016-01-14,11.51,11.65,10.79,10.82,10.82,1604900
2016-01-15,10.62,10.80,10.10,10.27,10.27,1203700
2016-01-19,10.33,10.47,9.05,9.47,9.47,2741500
2016-01-20,9.19,9.57,8.27,9.49,9.49,3751100
2016-01-21,9.57,10.18,9.43,10.02,10.02,1384500
2016-01-22,10.35,10.65,9.75,9.85,9.85,1128900
2016-01-25,9.87,10.08,9.70,9.81,9.81,737500
2016-01-26,9.78,9.90,9.54,9.54,9.54,756500
2016-01-27,9.41,9.50,8.88,9.05,9.05,1347300
2016-01-28,9.13,9.26,8.65,8.74,8.74,1202200
2016-01-29,8.70,9.01,8.58,8.77,8.77,1986800
2016-02-01,8.79,8.86,8.60,8.76,8.76,865300
2016-02-02,8.67,8.73,8.45,8.47,8.47,663100
2016-02-03,8.40,8.60,8.06,8.43,8.43,1235400
2016-02-04,8.43,8.98,8.33,8.90,8.90,1042800
2016-02-05,8.95,9.00,8.56,8.63,8.63,1872000
2016-02-08,8.50,8.61,8.34,8.37,8.37,1142300
2016-02-09,8.27,8.72,8.22,8.62,8.62,1799400
2016-02-10,8.76,9.06,8.63,8.88,8.88,1411900
2016-02-11,8.40,8.81,8.32,8.62,8.62,1102800
2016-02-12,9.70,9.84,8.71,9.30,9.30,8306900
2016-02-16,9.75,10.25,9.52,9.93,9.93,3491800
2016-02-17,10.05,10.14,9.69,9.84,9.84,2046700
2016-02-18,9.81,10.10,9.81,9.98,9.98,954300
2016-02-19,10.11,10.11,9.75,9.97,9.97,1039400
2016-02-22,10.15,10.50,10.07,10.38,10.38,1224100
2016-02-23,10.39,10.40,9.46,9.71,9.71,1004100
2016-02-24,9.58,9.94,9.32,9.89,9.89,622500
2016-02-25,9.85,10.30,9.63,10.26,10.26,861000
2016-02-26,10.25,10.55,10.15,10.32,10.32,1081800
2016-02-29,10.36,10.88,10.31,10.44,10.44,1071100
2016-03-01,10.60,10.85,10.24,10.72,10.72,905100
