Date,Open,High,Low,Close,Adj Close,Volume
1997-06-04,42.75,42.75,38.25,39.00,39.00,54633
1997-06-05,39.75,40.50,39.00,39.38,39.38,28717
1997-06-06,40.12,40.12,37.50,39.00,39.00,14450
1997-06-09,39.00,39.75,37.50,38.25,38.25,15417
1997-06-10,38.62,39.38,37.50,39.38,39.38,9417
1997-06-11,39.38,39.38,37.88,37.88,37.88,6833
1997-06-12,39.00,39.00,37.88,38.62,38.62,8083
1997-06-13,38.25,38.62,37.50,37.50,37.50,8383
1997-06-16,38.25,38.25,36.75,36.75,36.75,7367
1997-06-17,36.00,36.75,34.50,36.38,36.38,18633
1997-06-18,36.38,37.88,35.25,36.75,36.75,9433
1997-06-19,37.50,38.25,36.75,37.50,37.50,8683
1997-06-20,37.88,38.25,36.75,37.50,37.50,9517
1997-06-23,37.50,37.88,36.75,36.75,36.75,3367
1997-06-24,36.75,37.88,36.75,37.88,37.88,4450
1997-06-25,37.88,38.62,37.12,37.12,37.12,12133
1997-06-26,37.88,37.88,36.75,37.50,37.50,4467
1997-06-27,37.50,40.88,37.50,40.88,40.88,18400
1997-06-30,40.88,43.50,39.75,42.75,42.75,15583
1997-07-01,43.50,46.50,42.75,45.00,45.00,20967
1997-07-02,45.75,45.75,42.00,43.50,43.50,13017
1997-07-03,44.25,45.00,43.12,43.12,43.12,8450
1997-07-07,44.25,44.25,42.38,43.50,43.50,6517
1997-07-08,43.50,43.50,42.00,42.00,42.00,9600
1997-07-09,42.75,42.75,39.00,39.00,39.00,5500
1997-07-10,40.12,40.12,40.12,40.12,40.12,283
1997-07-11,40.12,40.12,39.00,39.00,39.00,650
1997-07-14,40.50,40.50,39.00,39.00,39.00,5033
1997-07-15,39.00,39.38,38.25,39.00,39.00,2850
1997-07-16,39.75,40.88,39.00,40.69,40.69,3883
1997-07-17,41.62,43.50,40.88,42.00,42.00,5400
1997-07-18,43.50,43.50,42.00,42.00,42.00,3900
1997-07-21,42.00,43.12,40.50,40.50,40.50,5733
1997-07-22,40.50,41.62,40.12,40.12,40.12,4083
1997-07-23,41.25,41.25,38.25,38.62,38.62,4333
1997-07-24,39.00,40.50,39.00,39.75,39.75,8967
1997-07-25,40.50,40.50,39.00,39.00,39.00,3167
1997-07-28,39.00,39.75,39.00,39.38,39.38,4850
1997-07-29,40.12,40.12,39.00,40.12,40.12,4183
1997-07-30,40.12,40.50,39.00,39.38,39.38,5133
1997-07-31,39.38,40.50,39.38,40.12,40.12,10050
1997-08-01,40.50,40.50,39.75,40.12,40.12,2100
1997-08-04,40.12,40.50,39.00,39.00,39.00,1483
1997-08-05,39.00,39.38,38.62,38.62,38.62,1333
1997-08-06,39.38,40.12,38.62,39.75,39.75,3300
1997-08-07,39.75,41.25,39.00,41.25,41.25,16750
1997-08-08,40.88,41.62,40.88,41.25,41.25,1383
1997-08-11,41.62,42.75,40.88,42.00,42.00,10200
1997-08-12,42.75,45.00,42.75,44.62,44.62,14400
1997-08-13,45.00,45.00,42.38,42.38,42.38,3900
1997-08-14,43.88,44.25,42.38,44.25,44.25,9350
1997-08-15,45.00,45.00,42.75,42.75,42.75,2450
1997-08-18,43.50,43.50,39.75,40.12,40.12,4600
1997-08-19,40.69,41.25,40.50,40.50,40.50,4133
1997-08-20,40.50,40.88,40.12,40.12,40.12,4367
1997-08-21,40.12,42.00,39.75,41.25,41.25,5700
1997-08-22,42.00,42.00,41.25,41.25,41.25,11033
1997-08-25,41.62,42.38,40.88,41.62,41.62,7300
1997-08-26,42.00,42.00,40.88,42.00,42.00,6367
1997-08-27,42.00,42.00,40.12,40.12,40.12,7267
1997-08-28,40.12,41.62,39.75,39.75,39.75,3633
1997-08-29,39.75,40.50,39.38,39.38,39.38,3683
1997-09-02,40.50,40.88,39.38,39.75,39.75,1300
1997-09-03,39.00,41.25,38.25,40.88,40.88,18633
1997-09-04,41.25,41.62,39.75,41.25,41.25,13800
1997-09-05,41.25,41.25,40.12,40.31,40.31,3517
1997-09-08,40.50,41.25,40.50,40.88,40.88,5217
1997-09-09,41.25,41.25,40.50,41.25,41.25,4800
1997-09-10,41.25,41.25,40.12,41.25,41.25,5800
1997-09-11,40.12,41.25,40.12,40.31,40.31,5100
1997-09-12,40.12,40.88,39.75,39.75,39.75,7850
1997-09-15,40.88,41.25,39.75,41.25,41.25,1250
1997-09-16,41.25,41.25,39.75,40.31,40.31,11833
1997-09-17,40.12,42.00,40.12,41.62,41.62,4817
1997-09-18,42.00,42.00,41.25,41.25,41.25,15567
1997-09-19,41.25,42.38,41.25,41.62,41.62,3850
1997-09-22,42.38,42.38,41.62,41.62,41.62,5850
1997-09-23,42.00,42.00,41.25,41.25,41.25,5300
1997-09-24,42.00,42.00,41.25,41.25,41.25,4117
1997-09-25,41.25,45.00,41.25,45.00,45.00,17683
1997-09-26,46.50,46.50,44.25,45.00,45.00,17617
1997-09-29,45.00,45.00,44.25,44.25,44.25,3233
1997-09-30,45.00,45.00,42.38,43.12,43.12,8533
1997-10-01,42.38,44.62,42.00,44.62,44.62,5233
1997-10-02,45.00,45.75,44.25,44.62,44.62,14200
1997-10-03,45.00,51.00,44.62,49.50,49.50,19600
1997-10-06,51.75,55.12,50.25,53.62,53.62,46233
1997-10-07,54.75,59.25,53.62,57.00,57.00,52350
1997-10-08,57.38,57.75,52.88,55.50,55.50,30633
1997-10-09,56.25,56.25,52.50,53.25,53.25,25617
1997-10-10,53.62,56.25,52.88,54.75,54.75,12750
1997-10-13,54.75,55.50,54.00,54.75,54.75,10033
1997-10-14,54.38,54.38,51.00,52.50,52.50,5033
1997-10-15,52.50,54.75,52.50,54.00,54.00,3283
1997-10-16,54.75,54.75,52.50,53.62,53.62,7667
1997-10-17,53.62,53.62,51.38,51.75,51.75,9333
1997-10-20,53.25,53.62,51.75,52.50,52.50,7417
1997-10-21,52.50,54.75,52.50,54.00,54.00,9283
1997-10-22,54.00,56.25,53.25,55.50,55.50,13183
1997-10-23,53.25,54.00,51.00,52.50,52.50,8217
1997-10-24,52.50,54.00,51.75,51.75,51.75,7683
1997-10-27,51.00,51.00,45.00,45.38,45.38,7333
1997-10-28,44.25,46.50,40.78,46.50,46.50,13217
1997-10-29,47.25,50.25,47.25,50.25,50.25,7800
1997-10-30,48.00,49.88,47.62,49.88,49.88,3467
1997-10-31,50.06,50.25,48.00,49.50,49.50,3583
1997-11-03,48.00,50.25,48.00,49.50,49.50,3450
1997-11-04,48.00,53.25,48.00,53.25,53.25,6350
1997-11-05,56.25,59.25,54.00,55.88,55.88,47867
1997-11-06,57.00,57.00,54.00,54.75,54.75,13350
1997-11-07,52.50,52.50,49.50,52.50,52.50,6600
1997-11-10,52.50,52.50,51.00,52.50,52.50,3017
1997-11-11,52.50,57.00,51.75,52.50,52.50,8117
1997-11-12,52.88,54.00,51.00,51.00,51.00,15350
1997-11-13,52.50,53.25,48.00,48.75,48.75,5583
1997-11-14,48.75,49.50,48.75,48.75,48.75,3017
1997-11-17,50.25,51.75,48.75,49.12,49.12,4850
1997-11-18,50.25,50.25,48.75,48.75,48.75,3850
1997-11-19,49.50,52.50,49.50,50.62,50.62,7367
1997-11-20,51.75,52.50,50.25,51.00,51.00,5817
1997-11-21,50.25,51.00,49.50,50.25,50.25,3800
1997-11-24,49.50,51.00,48.75,49.50,49.50,10300
1997-11-25,49.12,50.62,48.38,48.38,48.38,3467
1997-11-26,48.00,49.88,48.00,48.38,48.38,2150
1997-11-28,48.38,48.38,48.00,48.28,48.28,2317
1997-12-01,48.00,50.25,47.25,48.00,48.00,4567
1997-12-02,50.25,50.25,46.50,46.50,46.50,4500
1997-12-03,47.25,47.25,45.00,46.12,46.12,5650
1997-12-04,46.50,46.50,42.75,43.12,43.12,9167
1997-12-05,42.38,43.50,39.75,42.75,42.75,13133
1997-12-08,43.50,46.88,42.75,45.75,45.75,5650
1997-12-09,45.00,47.25,42.75,43.12,43.12,8150
1997-12-10,42.75,45.00,42.75,42.75,42.75,2450
1997-12-11,42.00,43.50,42.00,42.75,42.75,5467
1997-12-12,42.75,43.50,42.38,42.38,42.38,1000
1997-12-15,42.75,43.50,40.88,41.62,41.62,5800
1997-12-16,40.88,42.38,40.12,42.38,42.38,7183
1997-12-17,42.75,43.50,42.00,42.38,42.38,11000
1997-12-18,42.75,43.88,41.25,43.12,43.12,15200
1997-12-19,42.00,43.88,41.62,42.38,42.38,4417
1997-12-22,42.75,43.12,42.00,42.75,42.75,1983
1997-12-23,43.50,45.00,42.38,45.00,45.00,4167
1997-12-24,42.00,42.38,42.00,42.00,42.00,1967
1997-12-26,41.62,42.38,40.50,40.50,40.50,3567
1997-12-29,41.62,41.62,40.50,41.62,41.62,2717
1997-12-30,41.62,41.62,40.12,40.12,40.12,2133
1997-12-31,40.12,42.00,40.12,40.88,40.88,4583
1998-01-02,40.88,42.00,40.88,40.88,40.88,617
1998-01-05,40.88,42.75,39.00,42.75,42.75,5667
1998-01-06,41.25,43.50,41.25,42.75,42.75,2683
1998-01-07,44.25,44.25,42.75,42.75,42.75,1450
1998-01-08,42.75,42.75,37.88,39.38,39.38,13383
1998-01-09,38.62,41.62,38.62,41.62,41.62,5433
1998-01-12,41.25,41.25,39.00,41.25,41.25,5317
1998-01-13,39.38,41.25,39.38,39.38,39.38,1367
1998-01-14,39.75,41.25,39.38,40.12,40.12,4633
1998-01-15,40.88,40.88,39.75,39.75,39.75,2900
1998-01-16,39.75,40.50,39.75,40.12,40.12,1800
1998-01-20,38.62,40.50,38.62,40.50,40.50,3550
1998-01-21,39.75,41.62,39.75,41.25,41.25,4767
1998-01-22,41.25,44.25,41.25,43.50,43.50,4517
1998-01-23,42.00,43.50,40.50,42.75,42.75,7067
1998-01-26,40.88,42.75,40.88,41.25,41.25,3017
1998-01-27,42.00,42.75,42.00,42.75,42.75,2300
1998-01-28,42.00,42.00,40.50,41.62,41.62,1500
1998-01-29,40.88,41.62,39.00,39.84,39.84,2550
1998-01-30,39.75,40.50,39.00,39.75,39.75,4433
1998-02-02,39.75,41.25,39.38,40.50,40.50,7517
1998-02-03,40.50,40.50,39.75,39.75,39.75,1017
