Date,Open,High,Low,Close,Adj Close,Volume
1992-06-01,1.81,2.06,1.81,2.06,1.56,3012000
1992-06-02,2.06,2.12,2.00,2.09,1.58,1220800
1992-06-03,2.12,2.44,2.06,2.44,1.84,1423200
1992-06-04,2.56,2.56,2.38,2.44,1.84,883200
1992-06-05,2.44,2.44,2.12,2.31,1.74,413600
1992-06-08,2.31,2.31,2.19,2.31,1.74,307200
1992-06-09,2.31,2.31,1.94,2.00,1.51,175200
1992-06-10,2.00,2.19,2.00,2.19,1.65,70400
1992-06-11,2.19,2.19,2.06,2.19,1.65,120800
1992-06-12,2.25,2.31,2.19,2.31,1.74,151600
1992-06-15,2.31,2.38,2.25,2.38,1.79,238800
1992-06-16,2.38,2.38,2.22,2.31,1.74,165200
1992-06-17,2.12,2.25,1.94,2.00,1.51,322800
1992-06-18,2.06,2.12,1.94,1.97,1.48,112000
1992-06-19,2.06,2.12,2.06,2.12,1.60,26800
1992-06-22,2.12,2.12,1.94,2.00,1.51,94800
1992-06-23,2.12,2.12,2.06,2.12,1.60,63200
1992-06-24,2.12,2.12,2.00,2.00,1.51,549600
1992-06-25,2.19,2.19,2.06,2.12,1.60,110800
1992-06-26,2.19,2.19,2.06,2.19,1.65,20000
1992-06-29,2.19,2.31,2.12,2.31,1.74,59600
1992-06-30,2.31,2.31,2.22,2.31,1.74,26800
1992-07-01,2.31,2.44,2.25,2.31,1.74,644800
1992-07-02,2.44,2.44,1.97,2.06,1.56,1184400
1992-07-06,2.12,2.12,2.00,2.12,1.60,66400
1992-07-07,2.12,2.12,1.94,1.94,1.46,70000
1992-07-08,2.00,2.00,1.88,2.00,1.51,523200
1992-07-09,2.06,2.06,2.00,2.06,1.56,15600
1992-07-10,2.06,2.19,2.06,2.19,1.65,27200
1992-07-13,2.19,2.19,2.12,2.19,1.65,42000
1992-07-14,2.12,2.19,2.06,2.19,1.65,122000
1992-07-15,2.19,2.38,2.12,2.19,1.65,91200
1992-07-16,2.38,2.38,2.19,2.19,1.65,23600
1992-07-17,2.19,2.38,2.19,2.31,1.74,44000
1992-07-20,2.25,2.31,2.19,2.31,1.74,47200
1992-07-21,2.38,2.50,2.25,2.44,1.84,382800
1992-07-22,2.44,2.44,2.25,2.25,1.70,113200
1992-07-23,2.19,2.31,2.19,2.22,1.67,56400
1992-07-24,2.25,2.25,2.12,2.25,1.70,82000
1992-07-27,2.25,2.31,2.19,2.19,1.65,38800
1992-07-28,2.25,2.44,2.25,2.44,1.84,144000
1992-07-29,2.44,2.56,2.31,2.50,1.88,251200
1992-07-30,2.56,2.62,2.38,2.56,1.93,152000
1992-07-31,2.62,2.62,2.50,2.56,1.93,216800
1992-08-03,2.56,2.62,2.50,2.62,1.98,206400
1992-08-04,2.50,2.62,2.50,2.50,1.88,29600
1992-08-05,2.50,2.75,2.50,2.69,2.03,188000
1992-08-06,2.69,2.69,2.62,2.62,1.98,86000
1992-08-07,2.69,2.75,2.56,2.66,2.00,72400
1992-08-10,2.69,2.69,2.69,2.69,2.03,10400
1992-08-11,2.69,2.75,2.56,2.62,1.98,67600
1992-08-12,2.69,2.69,2.56,2.56,1.93,65200
1992-08-13,2.56,2.62,2.56,2.62,1.98,36400
1992-08-14,2.62,2.62,2.56,2.56,1.93,6400
1992-08-17,2.62,2.69,2.56,2.69,2.03,48400
1992-08-18,2.69,2.75,2.62,2.75,2.07,44800
1992-08-19,2.75,2.75,2.62,2.75,2.07,198800
1992-08-20,2.81,2.81,2.69,2.69,2.03,78800
1992-08-21,2.75,2.75,2.50,2.62,1.98,215600
1992-08-24,2.56,2.56,2.50,2.56,1.93,26400
1992-08-25,2.56,2.62,2.53,2.62,1.98,46800
1992-08-26,2.62,2.62,2.38,2.50,1.88,207200
1992-08-27,2.56,2.69,2.50,2.62,1.98,242800
1992-08-28,2.69,2.81,2.56,2.81,2.12,282800
1992-08-31,2.81,2.88,2.75,2.81,2.12,62800
1992-09-01,2.81,2.88,2.75,2.88,2.17,192800
1992-09-02,2.88,2.88,2.75,2.81,2.12,119200
1992-09-03,2.94,3.12,2.81,3.00,2.26,586800
1992-09-04,3.00,3.25,2.94,3.25,2.45,208800
1992-09-08,3.25,3.31,3.12,3.19,2.40,592400
1992-09-09,2.81,3.12,2.81,3.12,2.36,194000
1992-09-10,3.06,3.06,2.94,3.00,2.26,271200
1992-09-11,3.00,3.06,3.00,3.00,2.26,93200
1992-09-14,3.00,3.19,3.00,3.06,2.31,172000
1992-09-15,3.12,3.25,3.00,3.12,2.36,107600
1992-09-16,3.06,3.56,3.06,3.25,2.45,346000
1992-09-17,3.25,3.44,3.25,3.44,2.59,313600
1992-09-18,3.44,3.44,3.19,3.19,2.40,362000
1992-09-21,3.31,3.38,3.19,3.38,2.54,486400
1992-09-22,3.38,3.38,3.19,3.25,2.45,216000
1992-09-23,3.31,3.31,3.06,3.12,2.36,957600
1992-09-24,3.19,3.25,3.12,3.22,2.43,179600
1992-09-25,3.25,3.25,3.06,3.19,2.40,196000
1992-09-28,3.00,3.12,3.00,3.09,2.33,206000
1992-09-29,3.06,3.12,3.00,3.06,2.31,124800
1992-09-30,3.06,3.06,2.91,2.94,2.21,369200
1992-10-01,2.94,3.00,2.75,2.81,2.12,472800
1992-10-02,2.88,2.88,2.69,2.75,2.07,407200
1992-10-05,2.81,2.81,2.44,2.69,2.03,348400
1992-10-06,2.56,2.81,2.56,2.81,2.12,96800
1992-10-07,2.81,2.94,2.69,2.94,2.21,157600
1992-10-08,2.94,3.12,2.94,3.06,2.31,240000
1992-10-09,3.06,3.19,3.06,3.12,2.36,87600
1992-10-12,3.06,3.12,3.06,3.12,2.36,31600
1992-10-13,3.06,3.19,3.06,3.06,2.31,51200
1992-10-14,3.19,3.19,3.06,3.06,2.31,196800
1992-10-15,3.19,3.28,3.12,3.25,2.45,95200
1992-10-16,3.31,3.31,3.19,3.25,2.45,382400
1992-10-19,3.31,3.38,3.19,3.38,2.54,63600
1992-10-20,3.38,3.44,3.25,3.31,2.50,1140800
1992-10-21,3.50,3.50,3.31,3.50,2.64,90800
1992-10-22,3.38,3.56,3.38,3.44,2.59,158000
1992-10-23,3.62,3.75,3.56,3.69,2.78,204800
1992-10-26,3.69,3.69,3.56,3.56,2.69,45200
1992-10-27,3.62,3.69,3.44,3.44,2.59,225600
1992-10-28,3.44,3.56,3.44,3.56,2.69,489200
1992-10-29,3.56,3.75,3.44,3.56,2.69,227600
1992-10-30,3.75,3.75,3.56,3.75,2.83,110800
1992-11-02,3.75,3.81,3.62,3.69,2.78,118400
1992-11-03,3.81,3.81,3.62,3.62,2.73,220800
1992-11-04,3.69,3.69,3.56,3.62,2.73,224400
1992-11-05,3.56,3.75,3.56,3.72,2.80,168000
1992-11-06,3.75,3.75,3.62,3.75,2.83,78000
1992-11-09,3.81,3.81,3.62,3.69,2.78,124400
1992-11-10,3.69,3.81,3.69,3.78,2.85,106400
1992-11-11,3.69,3.81,3.50,3.56,2.69,343600
1992-11-12,3.62,3.75,3.50,3.62,2.73,2137200
1992-11-13,3.69,3.69,3.50,3.56,2.69,46000
1992-11-16,3.62,3.62,3.50,3.62,2.73,54400
1992-11-17,3.62,3.62,3.50,3.50,2.64,24000
1992-11-18,3.50,3.75,3.50,3.69,2.78,310400
1992-11-19,3.69,3.88,3.62,3.88,2.92,200800
1992-11-20,3.81,4.06,3.81,4.06,3.06,209200
1992-11-23,4.06,4.31,3.94,4.25,3.20,400400
1992-11-24,4.31,4.44,4.19,4.31,3.25,228000
1992-11-25,4.31,4.44,4.06,4.06,3.06,259600
1992-11-27,4.19,4.19,4.00,4.00,3.02,72400
1992-11-30,4.06,4.06,3.81,3.91,2.95,724000
1992-12-01,4.00,4.00,3.88,3.94,2.97,178800
1992-12-02,3.88,4.12,3.88,4.00,3.02,1240800
1992-12-03,4.12,4.12,4.00,4.03,3.04,144400
1992-12-04,4.06,4.06,3.88,4.00,3.02,260400
1992-12-07,3.94,4.31,3.94,4.31,3.25,1020000
1992-12-08,4.28,4.44,4.25,4.44,3.35,911600
1992-12-09,4.38,4.38,4.25,4.31,3.25,895600
1992-12-10,4.31,4.31,4.19,4.31,3.25,429200
1992-12-11,4.31,4.31,4.12,4.19,3.16,344400
1992-12-14,4.31,4.31,4.12,4.19,3.16,219600
1992-12-15,4.19,4.19,3.81,3.94,2.97,540800
1992-12-16,3.94,3.94,3.81,3.94,2.97,221600
1992-12-17,3.94,4.00,3.81,3.91,2.95,998000
1992-12-18,4.00,4.06,3.88,4.06,3.06,346000
1992-12-21,3.94,4.06,3.94,4.06,3.06,217600
1992-12-22,4.12,4.12,3.94,4.06,3.06,96400
1992-12-23,4.06,4.06,3.94,4.00,3.02,132400
1992-12-24,4.00,4.00,3.94,4.00,3.02,38400
1992-12-28,4.00,4.00,3.94,4.00,3.02,55200
1992-12-29,4.12,4.19,4.06,4.06,3.06,222400
1992-12-30,4.25,4.31,4.12,4.31,3.25,194000
