Date,Open,High,Low,Close,Adj Close,Volume
1996-11-22,4.38,4.66,4.22,4.66,3.14,16753600
1996-11-25,4.53,4.62,4.25,4.47,3.01,3246400
1996-11-26,4.53,4.53,4.34,4.41,2.97,1731600
1996-11-27,4.50,4.50,4.38,4.38,2.95,626400
1996-11-29,4.50,4.56,4.38,4.56,3.07,374000
1996-12-02,4.56,4.56,4.38,4.41,2.97,490400
1996-12-03,4.50,4.50,4.38,4.50,3.03,803200
1996-12-04,4.44,4.50,4.31,4.50,3.03,299200
1996-12-05,4.56,4.56,4.38,4.44,2.99,568000
1996-12-06,4.31,4.47,4.19,4.47,3.01,551600
1996-12-09,4.38,4.50,4.38,4.38,2.95,886800
1996-12-10,4.38,4.56,4.38,4.41,2.97,971200
1996-12-11,4.53,4.53,4.38,4.50,3.03,202800
1996-12-12,4.38,4.50,4.38,4.47,3.01,398000
1996-12-13,4.38,4.50,4.38,4.47,3.01,465200
1996-12-16,4.41,4.56,4.38,4.38,2.95,862000
1996-12-17,4.34,4.53,4.34,4.44,2.99,696800
1996-12-18,4.56,4.66,4.47,4.66,3.14,224000
1996-12-19,4.69,5.25,4.56,4.88,3.28,1774800
1996-12-20,5.00,5.00,4.81,4.94,3.33,679600
1996-12-23,4.94,4.94,4.81,4.91,3.30,422800
1996-12-24,4.91,4.91,4.75,4.81,3.24,64400
1996-12-26,4.81,4.81,4.69,4.75,3.20,166400
1996-12-27,4.75,4.88,4.75,4.78,3.22,346000
1996-12-30,4.75,4.84,4.75,4.84,3.26,136400
1996-12-31,4.84,4.84,4.69,4.78,3.22,77200
1997-01-02,4.78,4.78,4.69,4.75,3.20,267200
1997-01-03,4.75,4.94,4.75,4.88,3.28,223600
1997-01-06,4.91,5.09,4.84,5.06,3.41,296800
1997-01-07,5.06,5.66,5.03,5.44,3.66,1013600
1997-01-08,5.50,5.50,5.22,5.44,3.66,1590800
1997-01-09,5.34,5.62,5.34,5.53,3.72,778800
1997-01-10,5.62,5.97,5.50,5.94,4.00,946000
1997-01-13,5.88,6.03,5.84,5.97,4.02,761200
1997-01-14,6.00,6.00,5.81,5.88,3.96,253200
1997-01-15,5.88,5.88,5.62,5.69,3.83,448000
1997-01-16,5.78,5.78,5.69,5.78,3.89,556400
1997-01-17,5.78,5.84,5.72,5.84,3.94,83200
1997-01-20,5.88,6.12,5.75,6.09,4.10,396000
1997-01-21,6.19,6.34,6.06,6.16,4.15,768400
1997-01-22,6.19,6.19,5.62,5.81,3.91,508000
1997-01-23,5.69,5.81,5.31,5.41,3.64,603200
1997-01-24,5.44,5.44,5.19,5.44,3.66,884800
1997-01-27,5.50,5.56,5.41,5.56,3.75,192000
1997-01-28,5.56,5.56,5.44,5.56,3.75,149200
1997-01-29,5.44,5.56,5.44,5.56,3.75,127200
1997-01-30,5.50,5.56,5.41,5.50,3.70,50800
1997-01-31,5.56,5.81,5.44,5.81,3.91,1196400
1997-02-03,5.78,5.81,5.56,5.66,3.81,522800
1997-02-04,5.66,5.66,5.44,5.50,3.70,152400
1997-02-05,5.53,5.56,5.44,5.47,3.68,47600
1997-02-06,5.56,5.75,5.50,5.66,3.81,218800
1997-02-07,5.62,5.75,5.62,5.69,3.83,336800
1997-02-10,5.69,5.69,5.38,5.44,3.66,195200
1997-02-11,5.50,5.50,5.19,5.38,3.62,484000
1997-02-12,5.38,5.62,5.31,5.50,3.70,170400
1997-02-13,5.50,5.50,5.00,5.03,3.39,955600
1997-02-14,5.16,5.16,4.98,4.98,3.36,491200
1997-02-18,5.00,5.09,4.94,5.06,3.41,577200
1997-02-19,5.06,5.06,4.88,5.00,3.37,516800
1997-02-20,5.00,5.00,4.88,4.98,3.36,1075200
1997-02-21,4.91,5.12,4.91,5.00,3.37,331200
1997-02-24,5.12,5.12,4.91,5.00,3.37,334800
1997-02-25,4.91,5.03,4.91,5.03,3.39,153600
1997-02-26,5.03,5.06,4.91,5.06,3.41,631200
1997-02-27,5.06,5.06,5.00,5.06,3.41,97600
1997-02-28,5.06,5.06,5.00,5.00,3.37,172000
1997-03-03,5.06,5.06,5.00,5.02,3.38,102000
1997-03-04,5.06,5.06,4.88,4.94,3.33,335200
1997-03-05,5.00,5.06,4.88,4.97,3.35,384800
1997-03-06,4.94,5.06,4.88,4.88,3.28,284400
1997-03-07,5.00,5.00,4.75,4.84,3.26,187200
1997-03-10,4.88,4.94,4.78,4.88,3.28,244400
1997-03-11,4.84,4.91,4.69,4.81,3.24,620000
1997-03-12,4.81,4.81,4.72,4.81,3.24,248400
1997-03-13,4.81,4.81,4.72,4.72,3.18,81600
1997-03-14,4.81,4.81,4.72,4.73,3.19,290000
1997-03-17,4.81,4.81,4.69,4.69,3.16,270800
1997-03-18,4.78,4.78,4.72,4.75,3.20,164800
1997-03-19,4.78,4.78,4.59,4.66,3.14,334400
1997-03-20,4.66,4.66,4.56,4.66,3.14,84800
1997-03-21,4.66,4.66,4.56,4.66,3.14,150400
1997-03-24,4.66,4.66,4.50,4.50,3.03,382400
1997-03-25,4.53,4.53,4.38,4.41,2.97,578800
1997-03-26,4.41,4.50,4.34,4.38,2.95,1470400
1997-03-27,4.41,4.47,4.41,4.41,2.97,322000
1997-03-31,4.47,4.47,4.38,4.38,2.95,289600
1997-04-01,4.38,4.47,4.12,4.34,2.93,3528000
1997-04-02,4.28,4.34,4.22,4.34,2.93,301600
1997-04-03,4.34,4.34,4.22,4.25,2.86,107600
1997-04-04,4.22,4.38,4.22,4.38,2.95,141600
1997-04-07,4.38,4.44,4.28,4.44,2.99,163200
1997-04-08,4.72,5.06,4.56,5.00,3.37,412400
1997-04-09,5.00,5.22,4.94,5.06,3.41,1164400
1997-04-10,5.16,5.16,5.03,5.06,3.41,592400
1997-04-11,5.09,5.09,4.84,4.97,3.35,214000
1997-04-14,5.00,5.00,4.84,4.91,3.31,109600
1997-04-15,4.84,4.94,4.56,4.69,3.16,260000
1997-04-16,4.69,4.75,4.56,4.66,3.14,112800
1997-04-17,4.66,4.78,4.47,4.47,3.01,159200
1997-04-18,4.56,4.66,4.47,4.59,3.09,469200
1997-04-21,4.66,4.78,4.56,4.75,3.20,120400
1997-04-22,4.78,4.78,4.66,4.69,3.16,138800
1997-04-23,4.75,4.78,4.66,4.75,3.20,85600
1997-04-24,4.75,4.81,4.69,4.75,3.20,162000
1997-04-25,4.75,4.75,4.62,4.72,3.18,222400
1997-04-28,4.69,4.75,4.62,4.75,3.20,62400
1997-04-29,4.81,4.84,4.69,4.84,3.26,132800
1997-04-30,4.75,5.00,4.75,4.88,3.28,231600
1997-05-01,5.00,5.06,4.88,4.98,3.36,438800
1997-05-02,5.00,5.09,4.94,5.00,3.37,311600
1997-05-05,5.19,5.28,5.09,5.25,3.54,310800
1997-05-06,5.25,5.41,5.12,5.25,3.54,287600
1997-05-07,5.25,5.38,5.22,5.38,3.62,455600
1997-05-08,5.31,5.81,5.31,5.66,3.81,451200
1997-05-09,5.62,6.00,5.56,5.97,4.02,536800
1997-05-12,5.84,6.00,5.75,5.81,3.91,162000
1997-05-13,5.84,5.84,5.62,5.62,3.79,264000
1997-05-14,5.62,5.75,5.50,5.50,3.70,297200
1997-05-15,5.50,5.62,5.16,5.22,3.51,302000
1997-05-16,5.22,5.22,4.81,5.06,3.41,432400
1997-05-19,5.03,5.16,5.03,5.12,3.45,727600
1997-05-20,5.16,5.16,5.09,5.16,3.47,424400
1997-05-21,5.16,5.16,5.09,5.16,3.47,224800
1997-05-22,5.16,5.53,5.12,5.50,3.70,228400
1997-05-23,5.56,5.72,5.50,5.66,3.81,264400
1997-05-27,5.75,5.75,5.62,5.66,3.81,782800
1997-05-28,5.72,5.72,5.56,5.59,3.77,223600
1997-05-29,5.56,5.66,5.56,5.66,3.81,152000
1997-05-30,5.50,5.66,5.50,5.62,3.79,180400
1997-06-02,5.66,5.66,5.62,5.62,3.79,246400
1997-06-03,5.66,5.66,5.62,5.66,3.81,108800
1997-06-04,5.62,5.75,5.56,5.72,3.85,674400
1997-06-05,5.75,5.78,5.69,5.78,3.89,159600
1997-06-06,5.78,5.78,5.72,5.78,3.89,201200
1997-06-09,5.78,5.94,5.75,5.84,3.94,101600
1997-06-10,5.88,6.00,5.88,5.88,3.96,1351600
1997-06-11,5.81,6.00,5.81,5.94,4.00,104400
1997-06-12,5.81,5.81,5.62,5.75,3.87,279200
1997-06-13,5.75,5.81,5.59,5.81,3.91,52000
1997-06-16,5.75,5.81,5.66,5.69,3.83,169200
1997-06-17,5.62,5.75,5.25,5.44,3.66,1166800
1997-06-18,5.47,5.53,5.47,5.50,3.70,219200
1997-06-19,5.56,5.59,5.53,5.59,3.77,360800
1997-06-20,5.59,5.69,5.53,5.69,3.83,207600
1997-06-23,5.78,5.78,5.62,5.62,3.79,120400
1997-06-24,5.62,6.06,5.62,6.00,4.04,350400
1997-06-25,6.00,6.12,5.97,6.06,4.08,435200
1997-06-26,6.12,6.12,6.03,6.12,4.12,179200
1997-06-27,6.12,6.38,6.06,6.31,4.25,448400
1997-06-30,6.38,6.59,5.94,6.25,4.21,1558800
1997-07-01,6.16,6.34,6.16,6.22,4.19,339600
1997-07-02,6.34,6.50,6.19,6.50,4.38,438400
1997-07-03,6.38,6.44,6.38,6.41,4.31,398000
1997-07-07,6.38,6.44,6.19,6.44,4.34,978400
1997-07-08,6.44,6.88,6.38,6.66,4.48,1238400
1997-07-09,6.72,6.94,6.59,6.94,4.67,556800
1997-07-10,6.94,7.19,6.84,6.91,4.65,963600
1997-07-11,7.00,7.03,6.91,6.97,4.69,906400
1997-07-14,6.84,6.97,6.69,6.72,4.52,246800
1997-07-15,6.72,6.72,6.31,6.38,4.29,337200
1997-07-16,6.31,6.59,6.31,6.56,4.42,646000
1997-07-17,6.59,6.66,6.50,6.59,4.44,131600
1997-07-18,6.56,6.56,6.44,6.44,4.34,114400
1997-07-21,6.44,6.58,6.44,6.56,4.42,230800
1997-07-22,6.50,6.50,6.19,6.44,4.34,587600
1997-07-23,6.44,6.44,6.31,6.34,4.27,273200
1997-07-24,6.33,6.44,6.33,6.41,4.31,124400
1997-07-25,6.38,6.44,6.31,6.41,4.31,100000
1997-07-28,6.38,6.44,6.31,6.34,4.27,182800
1997-07-29,6.36,6.44,6.31,6.41,4.31,202800
1997-07-30,6.31,6.44,6.25,6.44,4.34,89200
1997-07-31,6.44,6.62,6.31,6.62,4.46,495200
1997-08-01,6.62,6.62,6.25,6.44,4.34,356000
1997-08-04,6.44,6.44,5.81,5.94,4.00,693200
1997-08-05,5.94,6.25,5.91,6.19,4.17,287200
1997-08-06,6.12,6.38,6.12,6.38,4.29,218000
1997-08-07,6.38,6.62,6.34,6.62,4.46,598000
1997-08-08,6.59,6.62,6.48,6.62,4.46,269600
1997-08-11,6.62,6.66,6.50,6.59,4.44,570800
1997-08-12,6.59,6.59,6.38,6.42,4.32,341200
1997-08-13,6.42,6.47,6.25,6.38,4.29,285600
1997-08-14,6.25,6.31,6.22,6.25,4.21,14028000
1997-08-15,6.27,6.28,6.25,6.25,4.21,2082400
1997-08-18,6.19,6.27,5.88,6.25,4.21,1601200
1997-08-19,6.25,6.31,6.12,6.25,4.21,774400
1997-08-20,6.25,6.39,6.19,6.34,4.27,611600
