Date,Open,High,Low,Close,Adj Close,Volume
2018-10-25,32.00,32.19,30.00,31.35,31.35,22912000
2018-10-26,30.70,31.21,29.75,31.09,31.09,5137200
2018-10-29,32.24,32.50,29.00,29.06,29.06,2144900
2018-10-30,29.00,29.40,27.59,28.68,28.68,2613400
2018-10-31,29.13,29.90,28.50,28.69,28.69,1985000
2018-11-01,28.98,29.88,28.50,29.42,29.42,1491700
2018-11-02,29.86,30.62,29.60,30.13,30.13,872700
2018-11-05,30.35,31.72,29.96,30.75,30.75,693800
2018-11-06,30.69,30.94,29.51,30.47,30.47,462700
2018-11-07,30.50,30.75,29.35,29.40,29.40,622500
2018-11-08,27.70,28.23,26.25,27.70,27.70,4920800
2018-11-09,28.55,28.59,27.00,27.37,27.37,2456900
2018-11-12,27.52,27.67,24.16,25.01,25.01,2864400
2018-11-13,25.09,25.89,24.75,24.80,24.80,620600
2018-11-14,25.00,25.30,23.37,23.44,23.44,2032200
2018-11-15,23.50,24.82,23.12,24.64,24.64,1079200
2018-11-16,24.64,25.90,24.52,25.31,25.31,1486700
2018-11-19,24.74,25.00,21.80,22.00,22.00,3321500
2018-11-20,21.40,21.75,20.05,21.22,21.22,2460800
2018-11-21,21.60,22.72,21.60,22.34,22.34,1143800
2018-11-23,22.25,22.25,21.09,21.84,21.84,723000
2018-11-26,21.90,22.29,21.27,21.70,21.70,1261300
2018-11-27,22.68,25.75,22.25,22.78,22.78,4637000
2018-11-28,23.06,24.48,22.70,24.03,24.03,2246500
2018-11-29,24.04,24.37,23.47,23.85,23.85,1895100
2018-11-30,23.51,24.04,22.37,23.57,23.57,1549500
2018-12-03,24.33,24.50,22.48,22.53,22.53,1777300
2018-12-04,22.42,23.00,21.70,22.09,22.09,1182100
2018-12-06,21.52,22.02,21.25,21.67,21.67,1556100
2018-12-07,21.86,22.41,20.30,20.76,20.76,1346300
2018-12-10,20.73,21.04,19.65,19.87,19.87,1518900
2018-12-11,20.20,21.05,20.20,20.59,20.59,2185300
2018-12-12,20.84,20.95,19.85,19.86,19.86,1578900
2018-12-13,20.05,20.15,18.21,18.54,18.54,1584400
2018-12-14,18.40,18.89,17.61,17.71,17.71,989200
2018-12-17,17.62,18.61,17.01,17.63,17.63,2990200
2018-12-18,17.75,18.66,17.71,18.45,18.45,991400
2018-12-19,18.44,18.94,17.90,18.12,18.12,1168600
2018-12-20,18.14,18.39,17.67,17.78,17.78,2110400
2018-12-21,18.00,18.07,16.43,16.99,16.99,1363400
2018-12-24,16.78,16.81,16.14,16.71,16.71,367600
2018-12-26,16.77,17.63,16.76,17.46,17.46,626800
2018-12-27,17.28,17.50,16.65,17.21,17.21,932400
2018-12-28,17.30,17.73,17.30,17.60,17.60,1162200
2018-12-31,17.82,18.68,17.60,18.44,18.44,914900
2019-01-02,18.29,19.22,17.99,19.07,19.07,1310500
2019-01-03,18.97,19.18,18.03,18.56,18.56,1291900
2019-01-04,18.86,20.15,18.75,19.99,19.99,1101500
2019-01-07,20.06,20.74,19.82,20.69,20.69,884100
2019-01-08,20.93,21.49,20.59,21.12,21.12,814700
2019-01-09,21.27,21.39,20.44,21.03,21.03,838300
2019-01-10,21.03,21.72,20.80,21.43,21.43,681100
2019-01-11,21.31,21.51,20.68,21.10,21.10,498100
2019-01-14,20.94,20.98,20.43,20.79,20.79,317600
2019-01-15,21.25,21.80,20.53,20.71,20.71,960600
2019-01-16,20.75,21.49,20.67,20.69,20.69,564500
2019-01-17,20.68,20.98,20.46,20.66,20.66,223600
2019-01-18,21.06,22.68,20.79,22.19,22.19,1281500
2019-01-22,22.20,23.41,22.20,22.86,22.86,1121400
2019-01-23,22.88,23.16,21.51,22.12,22.12,637500
2019-01-24,22.21,23.04,22.00,22.90,22.90,645800
2019-01-25,23.00,23.34,22.61,23.09,23.09,729200
2019-01-28,22.81,22.99,22.00,22.19,22.19,596400
2019-01-29,22.29,22.42,21.70,21.89,21.89,264100
2019-01-30,22.00,22.40,21.30,21.46,21.46,922900
2019-01-31,21.46,22.20,21.10,22.12,22.12,610800
2019-02-01,21.98,22.81,21.98,22.81,22.81,473500
2019-02-04,22.80,23.85,22.48,23.46,23.46,436900
2019-02-05,23.52,23.68,22.31,22.76,22.76,1218500
2019-02-06,22.76,23.03,21.20,21.38,21.38,1288700
2019-02-07,21.63,21.81,21.05,21.27,21.27,620700
2019-02-08,21.21,21.39,20.67,21.11,21.11,743600
2019-02-11,21.21,21.87,21.11,21.15,21.15,539500
2019-02-12,21.31,21.87,20.89,21.42,21.42,553500
2019-02-13,21.48,21.80,21.26,21.37,21.37,442000
2019-02-14,21.31,21.75,20.94,21.27,21.27,913800
2019-02-15,22.38,22.50,21.27,22.07,22.07,1241700
2019-02-19,22.48,23.59,22.23,23.46,23.46,1494500
2019-02-20,23.73,25.28,23.61,25.12,25.12,2361100
2019-02-21,25.18,25.72,24.22,24.43,24.43,1485200
2019-02-22,24.80,26.95,24.80,26.26,26.26,2732100
2019-02-25,27.05,29.44,26.83,29.35,29.35,2526000
2019-02-26,29.24,29.82,27.64,29.58,29.58,2804800
2019-02-27,29.59,32.25,29.59,32.20,32.20,3275700
2019-02-28,31.93,32.31,29.82,30.41,30.41,2737100
2019-03-01,30.90,31.68,30.81,31.13,31.13,1530500
2019-03-04,31.88,34.50,31.53,32.00,32.00,4216200
2019-03-05,32.48,33.23,31.51,32.19,32.19,2437400
2019-03-06,32.35,32.94,30.94,31.00,31.00,1615200
2019-03-07,30.79,31.10,28.25,29.03,29.03,2227200
2019-03-08,28.07,30.27,27.76,29.92,29.92,1993800
2019-03-11,30.65,32.71,30.18,31.97,31.97,3512500
2019-03-12,32.60,33.19,30.86,31.71,31.71,1912100
2019-03-13,31.76,32.50,30.51,30.76,30.76,1520300
2019-03-14,30.87,32.00,30.15,30.34,30.34,1041300
2019-03-15,31.27,32.91,30.57,32.51,32.51,3463800
2019-03-18,33.00,36.88,32.93,34.60,34.60,7019200
2019-03-19,42.61,43.91,39.51,40.97,40.97,15736000
2019-03-20,41.17,42.09,37.77,37.80,37.80,4246400
2019-03-21,39.22,44.21,39.10,42.95,42.95,5487400
2019-03-22,42.28,43.16,41.11,41.82,41.82,2694100
2019-03-25,41.53,41.93,39.70,40.44,40.44,2356200
2019-03-26,41.67,44.50,41.05,43.56,43.56,4332400
2019-03-27,43.50,44.11,39.82,41.43,41.43,4369300
2019-03-28,41.53,42.02,40.17,41.05,41.05,1902900
2019-03-29,41.51,42.18,40.40,41.11,41.11,1602000
2019-04-01,41.00,43.84,38.26,42.93,42.93,6356800
2019-04-02,42.79,45.62,41.86,42.15,42.15,6411400
2019-04-03,40.51,40.70,38.49,38.50,38.50,16545900
2019-04-04,38.96,39.39,36.50,37.43,37.43,7956000
2019-04-05,35.93,37.33,35.45,35.90,35.90,9723200
2019-04-08,35.65,38.33,35.24,37.77,37.77,6795800
2019-04-09,38.28,39.00,37.45,37.48,37.48,4343800
2019-04-10,37.97,38.30,36.15,36.88,36.88,3074100
2019-04-11,36.92,37.12,35.41,35.66,35.66,2378200
2019-04-12,35.92,36.15,34.75,35.25,35.25,3412800
2019-04-15,35.16,36.30,34.84,35.95,35.95,2012600
2019-04-16,36.10,36.47,35.10,36.23,36.23,1812100
2019-04-17,36.62,36.65,33.96,34.74,34.74,2903000
