Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.10,0.10,0.10,0.08,372600
1980-03-18,0.00,0.10,0.10,0.10,0.08,113400
1980-03-19,0.00,0.10,0.10,0.10,0.08,291600
1980-03-20,0.00,0.10,0.10,0.10,0.08,48600
1980-03-21,0.00,0.10,0.10,0.10,0.08,16200
1980-03-24,0.00,0.10,0.10,0.10,0.08,469800
1980-03-25,0.00,0.10,0.09,0.09,0.08,874800
1980-03-26,0.00,0.10,0.09,0.09,0.08,469800
1980-03-27,0.00,0.09,0.08,0.08,0.07,1733400
1980-03-28,0.00,0.09,0.09,0.09,0.07,761400
1980-03-31,0.00,0.10,0.09,0.09,0.08,1166400
1980-04-01,0.00,0.10,0.09,0.09,0.08,226800
1980-04-02,0.00,0.10,0.10,0.10,0.08,437400
1980-04-03,0.00,0.10,0.10,0.10,0.08,891000
1980-04-07,0.00,0.10,0.10,0.10,0.08,194400
1980-04-08,0.00,0.10,0.10,0.10,0.08,162000
1980-04-09,0.00,0.11,0.11,0.11,0.09,2025000
1980-04-10,0.00,0.11,0.11,0.11,0.09,988200
1980-04-11,0.00,0.11,0.11,0.11,0.09,259200
1980-04-14,0.00,0.11,0.11,0.11,0.09,210600
1980-04-15,0.00,0.11,0.11,0.11,0.09,1684800
1980-04-16,0.00,0.11,0.11,0.11,0.09,793800
1980-04-17,0.00,0.11,0.11,0.11,0.09,1409400
1980-04-18,0.00,0.11,0.11,0.11,0.09,437400
1980-04-21,0.00,0.11,0.10,0.10,0.08,874800
1980-04-22,0.00,0.11,0.11,0.11,0.09,858600
1980-04-23,0.00,0.11,0.11,0.11,0.09,113400
1980-04-24,0.00,0.11,0.11,0.11,0.09,259200
1980-04-25,0.00,0.11,0.11,0.11,0.09,259200
1980-04-28,0.00,0.11,0.11,0.11,0.09,48600
1980-04-29,0.00,0.11,0.11,0.11,0.09,453600
1980-04-30,0.00,0.11,0.11,0.11,0.09,340200
1980-05-01,0.00,0.11,0.11,0.11,0.09,469800
1980-05-02,0.00,0.11,0.11,0.11,0.09,1117800
1980-05-05,0.00,0.11,0.11,0.11,0.09,372600
1980-05-06,0.00,0.11,0.11,0.11,0.09,583200
1980-05-07,0.00,0.11,0.11,0.11,0.09,2008800
1980-05-08,0.00,0.11,0.11,0.11,0.09,307800
1980-05-09,0.00,0.11,0.11,0.11,0.09,437400
1980-05-12,0.00,0.11,0.11,0.11,0.09,210600
1980-05-13,0.00,0.11,0.11,0.11,0.09,226800
1980-05-14,0.00,0.11,0.11,0.11,0.09,324000
1980-05-15,0.00,0.11,0.11,0.11,0.09,437400
1980-05-16,0.00,0.11,0.11,0.11,0.09,567000
1980-05-19,0.00,0.11,0.11,0.11,0.09,64800
1980-05-20,0.00,0.11,0.11,0.11,0.09,858600
1980-05-21,0.00,0.11,0.11,0.11,0.09,599400
1980-05-22,0.00,0.11,0.11,0.11,0.09,1296000
1980-05-23,0.00,0.11,0.11,0.11,0.09,631800
1980-05-27,0.00,0.11,0.11,0.11,0.09,988200
1980-05-28,0.00,0.11,0.11,0.11,0.09,226800
1980-05-29,0.00,0.11,0.11,0.11,0.09,275400
1980-05-30,0.00,0.11,0.11,0.11,0.09,437400
1980-06-02,0.00,0.11,0.11,0.11,0.09,226800
1980-06-03,0.00,0.11,0.11,0.11,0.09,1652400
1980-06-04,0.00,0.11,0.11,0.11,0.09,1636200
1980-06-05,0.00,0.11,0.11,0.11,0.09,1247400
1980-06-06,0.00,0.11,0.11,0.11,0.09,615600
1980-06-09,0.00,0.12,0.11,0.11,0.09,1684800
1980-06-10,0.00,0.12,0.11,0.11,0.09,1911600
1980-06-11,0.00,0.12,0.11,0.11,0.09,696600
1980-06-12,0.00,0.12,0.11,0.11,0.09,1895400
1980-06-13,0.00,0.12,0.11,0.11,0.09,243000
1980-06-16,0.00,0.12,0.11,0.11,0.09,405000
1980-06-17,0.00,0.12,0.11,0.11,0.09,664200
1980-06-18,0.00,0.11,0.11,0.11,0.09,842400
1980-06-19,0.00,0.11,0.11,0.11,0.09,1117800
1980-06-20,0.00,0.11,0.11,0.11,0.09,550800
1980-06-23,0.00,0.11,0.11,0.11,0.09,129600
1980-06-24,0.00,0.11,0.11,0.11,0.09,356400
1980-06-25,0.00,0.11,0.11,0.11,0.09,437400
1980-06-26,0.00,0.11,0.11,0.11,0.09,356400
1980-06-27,0.00,0.11,0.11,0.11,0.09,405000
1980-06-30,0.00,0.11,0.11,0.11,0.09,567000
1980-07-01,0.00,0.11,0.11,0.11,0.09,469800
1980-07-02,0.00,0.11,0.11,0.11,0.09,534600
1980-07-03,0.00,0.11,0.11,0.11,0.09,518400
1980-07-07,0.00,0.11,0.11,0.11,0.09,145800
1980-07-08,0.00,0.11,0.11,0.11,0.09,324000
1980-07-09,0.00,0.12,0.12,0.12,0.10,3871800
1980-07-10,0.00,0.12,0.11,0.11,0.09,1441800
1980-07-11,0.00,0.12,0.11,0.11,0.09,226800
1980-07-14,0.00,0.13,0.12,0.12,0.10,3936600
1980-07-15,0.00,0.13,0.13,0.13,0.10,4147200
1980-07-16,0.00,0.13,0.13,0.13,0.10,1425600
1980-07-17,0.00,0.13,0.13,0.13,0.10,1782000
1980-07-18,0.00,0.13,0.13,0.13,0.10,1004400
1980-07-21,0.00,0.13,0.13,0.13,0.10,648000
1980-07-22,0.00,0.13,0.13,0.13,0.10,2980800
1980-07-23,0.00,0.13,0.13,0.13,0.11,1944000
1980-07-24,0.00,0.14,0.13,0.13,0.11,1085400
1980-07-25,0.00,0.14,0.13,0.13,0.11,777600
1980-07-28,0.00,0.14,0.13,0.13,0.11,599400
1980-07-29,0.00,0.14,0.13,0.13,0.11,324000
1980-07-30,0.00,0.14,0.13,0.13,0.11,1198800
1980-07-31,0.00,0.14,0.13,0.13,0.11,275400
1980-08-01,0.00,0.14,0.13,0.13,0.11,826200
1980-08-04,0.00,0.14,0.14,0.14,0.11,486000
1980-08-05,0.00,0.14,0.14,0.14,0.11,631800
1980-08-06,0.00,0.14,0.14,0.14,0.11,307800
1980-08-07,0.00,0.14,0.14,0.14,0.11,1425600
1980-08-08,0.00,0.14,0.14,0.14,0.12,1522800
1980-08-11,0.00,0.15,0.15,0.15,0.12,2203200
1980-08-12,0.00,0.15,0.15,0.15,0.12,1474200
1980-08-13,0.00,0.14,0.14,0.14,0.12,1539000
1980-08-14,0.00,0.14,0.14,0.14,0.12,453600
1980-08-15,0.00,0.14,0.14,0.14,0.12,1004400
1980-08-18,0.00,0.14,0.14,0.14,0.12,534600
1980-08-19,0.00,0.14,0.14,0.14,0.12,567000
1980-08-20,0.00,0.14,0.14,0.14,0.12,745200
1980-08-21,0.00,0.14,0.14,0.14,0.12,534600
1980-08-22,0.00,0.14,0.14,0.14,0.12,243000
1980-08-25,0.00,0.14,0.14,0.14,0.12,550800
1980-08-26,0.00,0.14,0.14,0.14,0.12,307800
1980-08-27,0.00,0.13,0.13,0.13,0.11,2316600
1980-08-28,0.00,0.13,0.13,0.13,0.11,2705400
1980-08-29,0.00,0.13,0.13,0.13,0.11,891000
1980-09-02,0.00,0.13,0.13,0.13,0.11,162000
1980-09-03,0.00,0.13,0.13,0.13,0.11,210600
1980-09-04,0.00,0.14,0.14,0.14,0.11,1652400
1980-09-05,0.00,0.14,0.14,0.14,0.11,1134000
1980-09-08,0.00,0.14,0.13,0.13,0.11,307800
1980-09-09,0.00,0.14,0.13,0.13,0.11,194400
1980-09-10,0.00,0.14,0.13,0.13,0.11,113400
1980-09-11,0.00,0.14,0.14,0.14,0.11,1506600
1980-09-12,0.00,0.14,0.14,0.14,0.11,988200
1980-09-15,0.00,0.14,0.14,0.14,0.11,486000
1980-09-16,0.00,0.14,0.14,0.14,0.11,405000
1980-09-17,0.00,0.15,0.15,0.15,0.12,1911600
1980-09-18,0.00,0.15,0.15,0.15,0.12,453600
1980-09-19,0.00,0.15,0.15,0.15,0.12,1198800
1980-09-22,0.00,0.16,0.16,0.16,0.13,1830600
1980-09-23,0.00,0.17,0.16,0.16,0.13,1717200
1980-09-24,0.00,0.17,0.17,0.17,0.14,1636200
1980-09-25,0.00,0.17,0.16,0.16,0.13,2251800
1980-09-26,0.00,0.16,0.16,0.16,0.13,1636200
1980-09-29,0.00,0.16,0.16,0.16,0.13,388800
1980-09-30,0.00,0.16,0.16,0.16,0.13,1555200
1980-10-01,0.00,0.16,0.16,0.16,0.13,777600
1980-10-02,0.00,0.16,0.16,0.16,0.13,372600
1980-10-03,0.00,0.16,0.16,0.16,0.13,1328400
1980-10-06,0.00,0.17,0.17,0.17,0.14,1409400
1980-10-07,0.00,0.18,0.18,0.18,0.15,2770200
1980-10-08,0.00,0.19,0.19,0.19,0.15,2073600
1980-10-09,0.00,0.19,0.19,0.19,0.15,1441800
1980-10-10,0.00,0.19,0.18,0.18,0.15,680400
1980-10-13,0.00,0.18,0.18,0.18,0.15,891000
1980-10-14,0.00,0.18,0.18,0.18,0.15,372600
1980-10-15,0.00,0.18,0.18,0.18,0.15,696600
1980-10-16,0.00,0.18,0.18,0.18,0.15,1506600
1980-10-17,0.00,0.18,0.18,0.18,0.14,1458000
1980-10-20,0.00,0.17,0.17,0.17,0.14,1944000
1980-10-21,0.00,0.17,0.17,0.17,0.14,3142800
1980-10-22,0.00,0.17,0.16,0.16,0.13,712800
1980-10-23,0.00,0.16,0.16,0.16,0.13,1069200
1980-10-24,0.00,0.16,0.16,0.16,0.13,243000
1980-10-27,0.00,0.16,0.16,0.16,0.13,1863000
1980-10-28,0.00,0.16,0.15,0.15,0.13,518400
1980-10-29,0.00,0.16,0.16,0.16,0.13,1312200
1980-10-30,0.00,0.16,0.15,0.15,0.13,1134000
1980-10-31,0.00,0.16,0.16,0.16,0.13,3013200
1980-11-03,0.00,0.16,0.16,0.16,0.13,291600
1980-11-05,0.00,0.16,0.16,0.16,0.13,1036800
1980-11-06,0.00,0.16,0.16,0.16,0.13,1944000
1980-11-07,0.00,0.17,0.17,0.17,0.14,1377000
1980-11-10,0.00,0.17,0.17,0.17,0.14,1441800
1980-11-11,0.00,0.18,0.18,0.18,0.15,2948400
1980-11-12,0.00,0.20,0.20,0.20,0.16,3121200
1980-11-13,0.00,0.21,0.20,0.20,0.17,2030400
1980-11-14,0.00,0.20,0.20,0.20,0.16,140400
1980-11-17,0.00,0.20,0.20,0.20,0.16,896400
1980-11-18,0.00,0.20,0.20,0.20,0.16,259200
1980-11-19,0.00,0.20,0.20,0.20,0.16,183600
1980-11-20,0.00,0.20,0.20,0.20,0.16,388800
1980-11-21,0.00,0.20,0.20,0.20,0.16,399600
1980-11-24,0.00,0.20,0.20,0.20,0.16,745200
1980-11-25,0.00,0.21,0.20,0.20,0.17,367200
1980-11-26,0.00,0.21,0.21,0.21,0.17,691200
1980-11-28,0.00,0.21,0.21,0.21,0.17,432000
1980-12-01,0.00,0.21,0.20,0.20,0.17,1857600
1980-12-02,0.00,0.20,0.20,0.20,0.17,669600
1980-12-03,0.00,0.21,0.20,0.20,0.17,205200
1980-12-04,0.00,0.21,0.20,0.20,0.17,129600
1980-12-05,0.00,0.20,0.20,0.20,0.16,540000
1980-12-08,0.00,0.18,0.18,0.18,0.14,1447200
1980-12-09,0.00,0.18,0.17,0.17,0.14,907200
1980-12-10,0.00,0.18,0.17,0.17,0.14,280800
1980-12-11,0.00,0.17,0.17,0.17,0.14,1425600
1980-12-12,0.00,0.17,0.17,0.17,0.14,108000
1980-12-15,0.00,0.17,0.17,0.17,0.14,550800
1980-12-16,0.00,0.17,0.17,0.17,0.14,475200
1980-12-17,0.00,0.19,0.19,0.19,0.15,1436400
1980-12-18,0.00,0.20,0.20,0.20,0.16,1123200
1980-12-19,0.00,0.21,0.20,0.20,0.17,637200
1980-12-22,0.00,0.22,0.21,0.21,0.17,658800
1980-12-23,0.00,0.22,0.22,0.22,0.18,939600
1980-12-24,0.00,0.22,0.22,0.22,0.18,540000
1980-12-26,0.00,0.22,0.22,0.22,0.18,248400
1980-12-29,0.00,0.22,0.22,0.22,0.18,626400
1980-12-30,0.00,0.22,0.22,0.22,0.18,993600
1980-12-31,0.00,0.22,0.22,0.22,0.18,64800
1981-01-02,0.00,0.22,0.22,0.22,0.18,86400
1981-01-05,0.00,0.23,0.23,0.23,0.19,1976400
1981-01-06,0.00,0.24,0.24,0.24,0.19,4114800
1981-01-07,0.00,0.23,0.22,0.22,0.18,1522800
1981-01-08,0.00,0.21,0.20,0.20,0.17,2030400
1981-01-09,0.00,0.21,0.21,0.21,0.17,1144800
1981-01-12,0.00,0.21,0.21,0.21,0.17,756000
1981-01-13,0.00,0.21,0.20,0.20,0.17,734400
1981-01-14,0.00,0.21,0.20,0.20,0.17,712800
1981-01-15,0.00,0.21,0.20,0.20,0.17,594000
1981-01-16,0.00,0.20,0.20,0.20,0.16,432000
1981-01-19,0.00,0.19,0.19,0.19,0.16,9342000
1981-01-20,0.00,0.20,0.19,0.19,0.16,8348400
1981-01-21,0.00,0.20,0.20,0.20,0.16,1533600
1981-01-22,0.00,0.20,0.20,0.20,0.17,637200
1981-01-23,0.00,0.20,0.20,0.20,0.16,162000
1981-01-26,0.00,0.20,0.19,0.19,0.16,550800
1981-01-27,0.00,0.20,0.19,0.19,0.16,345600
1981-01-28,0.00,0.20,0.19,0.19,0.16,183600
1981-01-29,0.00,0.20,0.19,0.19,0.16,151200
1981-01-30,0.00,0.20,0.20,0.20,0.16,421200
1981-02-02,0.00,0.19,0.19,0.19,0.16,928800
1981-02-03,0.00,0.19,0.18,0.18,0.15,1188000
1981-02-04,0.00,0.19,0.18,0.18,0.15,259200
1981-02-05,0.00,0.19,0.19,0.19,0.15,226800
1981-02-06,0.00,0.19,0.19,0.19,0.15,561600
1981-02-09,0.00,0.19,0.18,0.18,0.15,680400
1981-02-10,0.00,0.19,0.18,0.18,0.15,54000
1981-02-11,0.00,0.19,0.18,0.18,0.15,313200
1981-02-12,0.00,0.19,0.18,0.18,0.15,32400
1981-02-13,0.00,0.19,0.18,0.18,0.15,140400
1981-02-17,0.00,0.19,0.18,0.18,0.15,216000
1981-02-18,0.00,0.19,0.18,0.18,0.15,291600
1981-02-19,0.00,0.19,0.18,0.18,0.15,583200
1981-02-20,0.00,0.19,0.18,0.18,0.15,172800
1981-02-23,0.00,0.19,0.19,0.19,0.15,129600
1981-02-24,0.00,0.19,0.18,0.18,0.15,799200
1981-02-25,0.00,0.19,0.18,0.18,0.15,75600
1981-02-26,0.00,0.19,0.18,0.18,0.15,162000
1981-02-27,0.00,0.18,0.18,0.18,0.15,1026000
1981-03-02,0.00,0.18,0.18,0.18,0.15,64800
1981-03-03,0.00,0.18,0.18,0.18,0.15,140400
1981-03-04,0.00,0.18,0.18,0.18,0.15,302400
1981-03-05,0.00,0.18,0.18,0.18,0.15,2376000
1981-03-06,0.00,0.19,0.18,0.18,0.15,486000
1981-03-09,0.00,0.19,0.19,0.19,0.15,324000
1981-03-10,0.00,0.18,0.18,0.18,0.15,950400
1981-03-11,0.00,0.18,0.18,0.18,0.15,345600
1981-03-12,0.00,0.18,0.18,0.18,0.15,194400
1981-03-13,0.00,0.18,0.18,0.18,0.15,421200
1981-03-16,0.00,0.18,0.18,0.18,0.15,118800
1981-03-17,0.00,0.18,0.18,0.18,0.15,972000
1981-03-18,0.00,0.18,0.18,0.18,0.15,496800
1981-03-19,0.00,0.18,0.18,0.18,0.15,248400
1981-03-20,0.00,0.18,0.18,0.18,0.15,86400
1981-03-23,0.00,0.18,0.18,0.18,0.15,162000
1981-03-24,0.00,0.18,0.18,0.18,0.15,313200
1981-03-25,0.00,0.19,0.18,0.18,0.15,442800
1981-03-26,0.00,0.19,0.19,0.19,0.15,496800
1981-03-27,0.00,0.19,0.19,0.19,0.15,345600
1981-03-30,0.00,0.19,0.19,0.19,0.15,270000
1981-03-31,0.00,0.20,0.20,0.20,0.16,1566000
1981-04-01,0.00,0.22,0.22,0.22,0.18,2775600
1981-04-02,0.00,0.22,0.21,0.21,0.18,1371600
1981-04-03,0.00,0.21,0.21,0.21,0.17,766800
1981-04-06,0.00,0.21,0.20,0.20,0.17,1630800
1981-04-07,0.00,0.21,0.20,0.20,0.17,194400
1981-04-08,0.00,0.21,0.20,0.20,0.17,248400
1981-04-09,0.00,0.21,0.20,0.20,0.17,280800
1981-04-10,0.00,0.21,0.20,0.20,0.17,432000
1981-04-13,0.00,0.21,0.20,0.20,0.17,205200
1981-04-14,0.00,0.21,0.20,0.20,0.17,205200
1981-04-15,0.00,0.21,0.21,0.21,0.17,1814400
1981-04-16,0.00,0.22,0.22,0.22,0.18,604800
1981-04-20,0.00,0.23,0.23,0.23,0.19,1771200
1981-04-21,0.00,0.24,0.24,0.24,0.20,2592000
1981-04-22,0.00,0.24,0.24,0.24,0.20,1414800
1981-04-23,0.00,0.25,0.25,0.25,0.20,2160000
1981-04-24,0.00,0.25,0.25,0.25,0.20,442800
1981-04-27,0.00,0.24,0.24,0.24,0.20,1080000
1981-04-28,0.00,0.23,0.23,0.23,0.19,1177200
1981-04-29,0.00,0.22,0.22,0.22,0.18,745200
1981-04-30,0.00,0.22,0.22,0.22,0.18,1144800
1981-05-01,0.00,0.21,0.21,0.21,0.17,658800
1981-05-04,0.00,0.20,0.20,0.20,0.16,896400
1981-05-05,0.00,0.20,0.19,0.19,0.16,421200
1981-05-06,0.00,0.21,0.21,0.21,0.17,2106000
1981-05-07,0.00,0.22,0.21,0.21,0.18,874800
1981-05-08,0.00,0.22,0.21,0.21,0.18,194400
1981-05-11,0.00,0.22,0.21,0.21,0.18,453600
1981-05-12,0.00,0.21,0.21,0.21,0.17,853200
1981-05-13,0.00,0.21,0.21,0.21,0.17,32400
1981-05-14,0.00,0.22,0.22,0.22,0.18,788400
1981-05-15,0.00,0.22,0.22,0.22,0.18,410400
1981-05-18,0.00,0.22,0.22,0.22,0.18,129600
1981-05-19,0.00,0.22,0.21,0.21,0.17,194400
1981-05-20,0.00,0.22,0.21,0.21,0.17,108000
1981-05-21,0.00,0.21,0.21,0.21,0.17,388800
1981-05-22,0.00,0.21,0.21,0.21,0.17,97200
1981-05-26,0.00,0.21,0.21,0.21,0.17,302400
1981-05-27,0.00,0.21,0.21,0.21,0.17,399600
1981-05-28,0.00,0.22,0.21,0.21,0.17,280800
1981-05-29,0.00,0.21,0.21,0.21,0.17,108000
1981-06-01,0.00,0.21,0.21,0.21,0.17,734400
1981-06-02,0.00,0.21,0.21,0.21,0.17,982800
1981-06-03,0.00,0.21,0.21,0.21,0.17,1047600
1981-06-04,0.00,0.21,0.21,0.21,0.17,464400
1981-06-05,0.00,0.21,0.21,0.21,0.17,432000
1981-06-08,0.00,0.21,0.21,0.21,0.17,918000
1981-06-09,0.00,0.22,0.22,0.22,0.18,961200
1981-06-10,0.00,0.23,0.23,0.23,0.18,874800
1981-06-11,0.00,0.23,0.23,0.23,0.18,529200
1981-06-12,0.00,0.23,0.22,0.22,0.18,486000
1981-06-15,0.00,0.23,0.22,0.22,0.18,486000
