Date,Open,High,Low,Close,Adj Close,Volume
1973-05-08,0.16,0.16,0.16,0.16,0.08,28800
1973-05-09,0.16,0.16,0.16,0.16,0.08,28800
1973-05-10,0.17,0.18,0.17,0.18,0.09,172800
1973-05-11,0.18,0.18,0.18,0.18,0.09,331200
1973-05-14,0.18,0.18,0.18,0.18,0.09,0
1973-05-15,0.18,0.18,0.18,0.18,0.09,316800
1973-05-16,0.18,0.18,0.17,0.17,0.08,57600
1973-05-17,0.17,0.17,0.17,0.17,0.08,86400
1973-05-18,0.16,0.16,0.16,0.16,0.08,201600
1973-05-21,0.16,0.16,0.15,0.15,0.07,100800
1973-05-22,0.15,0.15,0.15,0.15,0.07,0
1973-05-23,0.15,0.15,0.15,0.15,0.07,0
1973-05-24,0.15,0.15,0.15,0.15,0.07,0
1973-05-25,0.15,0.15,0.15,0.15,0.07,0
1973-05-29,0.16,0.16,0.16,0.16,0.08,28800
1973-05-30,0.15,0.15,0.15,0.15,0.07,115200
1973-05-31,0.15,0.15,0.15,0.15,0.07,28800
1973-06-01,0.15,0.15,0.14,0.15,0.07,216000
1973-06-04,0.14,0.14,0.14,0.14,0.07,331200
1973-06-05,0.13,0.13,0.12,0.12,0.06,403200
1973-06-06,0.12,0.13,0.11,0.13,0.06,662400
1973-06-07,0.13,0.13,0.13,0.13,0.06,57600
1973-06-08,0.13,0.14,0.13,0.13,0.06,43200
1973-06-11,0.13,0.13,0.13,0.13,0.06,0
1973-06-12,0.14,0.14,0.14,0.14,0.07,0
1973-06-13,0.14,0.14,0.14,0.14,0.07,0
1973-06-14,0.14,0.14,0.13,0.13,0.06,115200
1973-06-15,0.13,0.13,0.13,0.13,0.06,172800
1973-06-18,0.12,0.12,0.12,0.12,0.06,331200
1973-06-19,0.12,0.12,0.12,0.12,0.06,0
1973-06-20,0.12,0.12,0.12,0.12,0.06,172800
1973-06-21,0.12,0.12,0.12,0.12,0.06,0
1973-06-22,0.12,0.12,0.12,0.12,0.06,0
1973-06-25,0.12,0.12,0.12,0.12,0.06,0
1973-06-26,0.12,0.12,0.12,0.12,0.06,0
1973-06-27,0.12,0.12,0.12,0.12,0.06,0
1973-06-28,0.12,0.12,0.12,0.12,0.06,0
1973-06-29,0.13,0.13,0.13,0.13,0.06,0
1973-07-02,0.13,0.13,0.13,0.13,0.06,288000
1973-07-03,0.13,0.13,0.13,0.13,0.06,432000
