Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,19.00,19.00,19.00,19.00,19.00,0
2015-07-01,29.90,31.90,27.82,28.50,28.50,10512900
2015-07-02,28.09,29.25,26.16,28.00,28.00,1199200
2015-07-06,26.11,27.81,26.01,26.69,26.69,512800
2015-07-07,26.93,27.85,25.66,27.01,27.01,700700
2015-07-08,26.80,27.25,26.00,26.25,26.25,403900
2015-07-09,26.61,27.08,26.50,26.66,26.66,334000
2015-07-10,27.10,31.00,26.70,29.28,29.28,1234600
2015-07-13,30.06,32.45,29.69,30.96,30.96,680800
2015-07-14,31.33,32.50,30.97,31.96,31.96,512500
2015-07-15,32.00,32.20,30.44,30.69,30.69,303000
2015-07-16,31.06,31.42,30.20,30.95,30.95,368200
2015-07-17,31.21,31.68,30.49,30.60,30.60,200000
2015-07-20,30.63,31.00,29.88,29.89,29.89,218800
2015-07-21,29.57,30.70,29.57,30.50,30.50,286000
2015-07-22,30.20,31.09,30.13,31.09,31.09,404200
2015-07-23,30.80,31.00,30.27,30.54,30.54,373900
2015-07-24,30.72,32.24,30.40,32.15,32.15,529300
2015-07-27,32.64,32.90,30.50,31.31,31.31,385500
2015-07-28,31.15,31.17,29.75,30.83,30.83,251600
2015-07-29,30.60,31.70,30.51,31.57,31.57,165900
2015-07-30,31.37,31.70,30.65,30.91,30.91,287400
2015-07-31,31.06,31.79,30.91,31.57,31.57,143300
2015-08-03,31.74,34.00,31.51,33.20,33.20,458500
2015-08-04,33.15,35.32,33.05,34.82,34.82,263700
2015-08-05,35.20,35.42,32.51,33.06,33.06,318200
2015-08-06,33.60,33.60,30.08,32.07,32.07,554300
2015-08-07,32.00,32.29,30.77,30.83,30.83,209200
2015-08-10,30.85,30.89,30.00,30.47,30.47,209600
2015-08-11,30.10,30.60,28.25,28.76,28.76,436200
2015-08-12,28.81,29.38,28.17,28.51,28.51,251600
2015-08-13,28.25,31.00,28.25,29.79,29.79,688900
2015-08-14,30.10,30.97,27.87,28.52,28.52,523900
2015-08-17,28.14,29.50,27.15,29.23,29.23,473000
2015-08-18,29.20,29.24,28.09,28.30,28.30,378100
2015-08-19,28.17,28.34,26.19,26.85,26.85,772500
2015-08-20,26.40,27.31,24.56,26.50,26.50,563900
2015-08-21,26.76,26.76,24.67,25.64,25.64,662300
2015-08-24,23.94,25.03,21.81,23.88,23.88,961400
2015-08-25,24.11,25.04,22.50,23.20,23.20,1178100
2015-08-26,24.72,25.63,22.75,25.28,25.28,1479900
2015-08-27,27.66,28.50,25.74,26.13,26.13,1596800
2015-08-28,26.28,27.79,25.91,27.72,27.72,662400
2015-08-31,28.05,28.05,25.72,25.74,25.74,564000
2015-09-01,25.15,25.30,22.69,22.85,22.85,1686700
2015-09-02,22.96,23.02,20.26,22.15,22.15,3360800
2015-09-03,22.35,23.40,21.56,22.41,22.41,2480200
2015-09-04,21.63,22.24,20.08,20.82,20.82,1714200
2015-09-08,22.00,22.00,20.25,20.53,20.53,1089100
2015-09-09,20.78,22.91,20.63,22.56,22.56,1114800
2015-09-10,22.07,23.39,21.10,22.98,22.98,614500
2015-09-11,23.28,23.77,21.60,23.50,23.50,594000
2015-09-14,24.23,24.75,22.50,23.07,23.07,665900
2015-09-15,23.56,23.94,22.53,22.99,22.99,524100
2015-09-16,22.69,22.92,21.72,22.06,22.06,670100
2015-09-17,22.29,23.00,21.77,22.15,22.15,324600
2015-09-18,21.82,22.29,21.10,21.96,21.96,912100
2015-09-21,22.30,23.19,22.15,22.24,22.24,494900
2015-09-22,22.05,24.50,21.73,24.50,24.50,496900
2015-09-23,23.47,24.55,22.29,24.46,24.46,701800
2015-09-24,24.38,24.69,23.84,24.33,24.33,310800
2015-09-25,24.21,24.50,21.89,22.35,22.35,852200
2015-09-28,22.32,22.39,19.45,20.63,20.63,711300
2015-09-29,21.13,23.25,20.55,21.00,21.00,938800
2015-09-30,21.41,22.81,21.03,22.29,22.29,3006400
2015-10-01,22.84,23.00,22.10,22.81,22.81,914200
2015-10-02,22.09,22.24,17.37,18.24,18.24,3063400
2015-10-05,18.64,18.65,15.63,17.49,17.49,2134300
2015-10-06,17.49,17.49,16.12,16.64,16.64,1389500
2015-10-07,16.77,16.91,15.62,16.23,16.23,578100
2015-10-08,16.05,16.85,15.95,16.80,16.80,367200
2015-10-09,16.57,17.42,16.48,17.25,17.25,557200
2015-10-12,16.91,18.37,16.85,18.03,18.03,468200
2015-10-13,17.59,18.30,17.51,18.00,18.00,283700
2015-10-14,17.92,18.55,17.92,18.08,18.08,308600
2015-10-15,17.65,18.46,17.65,18.12,18.12,218300
2015-10-16,18.25,18.30,17.99,18.00,18.00,162100
