Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,1.21,1.21,1.21,1.21,1.13,14400
1973-02-22,1.20,1.20,1.20,1.20,1.13,1600
1973-02-23,1.16,1.16,1.16,1.16,1.09,20800
1973-02-26,1.14,1.14,1.14,1.14,1.07,4800
1973-02-27,0.96,0.96,0.96,0.96,0.90,190400
1973-02-28,0.96,0.96,0.96,0.96,0.90,140800
1973-03-01,1.03,1.03,1.03,1.03,0.97,40000
1973-03-02,1.08,1.08,1.08,1.08,1.01,44800
1973-03-05,1.07,1.07,1.07,1.07,1.00,17600
1973-03-06,1.07,1.07,1.07,1.07,1.00,0
1973-03-07,1.10,1.10,1.10,1.10,1.03,12800
1973-03-08,1.09,1.09,1.09,1.09,1.02,1600
1973-03-09,1.09,1.09,1.09,1.09,1.02,0
1973-03-12,1.09,1.09,1.09,1.09,1.02,4800
1973-03-13,1.06,1.06,1.06,1.06,1.00,3200
1973-03-14,1.06,1.06,1.06,1.06,1.00,0
1973-03-15,1.06,1.06,1.06,1.06,1.00,0
1973-03-16,1.06,1.06,1.06,1.06,1.00,3200
1973-03-19,1.06,1.06,1.06,1.06,1.00,147200
1973-03-20,1.08,1.08,1.08,1.08,1.01,14400
1973-03-21,1.07,1.07,1.07,1.07,1.00,25600
1973-03-22,0.95,0.95,0.95,0.95,0.89,665600
1973-03-23,0.94,0.94,0.94,0.94,0.88,27200
1973-03-26,0.91,0.91,0.91,0.91,0.86,14400
1973-03-27,0.94,0.94,0.94,0.94,0.88,105600
1973-03-28,0.94,0.94,0.94,0.94,0.88,27200
1973-03-29,0.94,0.94,0.94,0.94,0.88,102400
1973-03-30,0.93,0.93,0.93,0.93,0.87,8000
1973-04-02,0.83,0.83,0.83,0.83,0.78,422400
1973-04-03,0.92,0.92,0.92,0.92,0.86,200000
1973-04-04,0.94,0.94,0.94,0.94,0.88,20800
1973-04-05,0.91,0.91,0.91,0.91,0.85,6400
1973-04-06,0.91,0.91,0.91,0.91,0.85,14400
1973-04-09,0.91,0.91,0.91,0.91,0.86,3200
1973-04-10,0.91,0.91,0.91,0.91,0.86,9600
1973-04-11,0.93,0.93,0.93,0.93,0.87,41600
1973-04-12,0.94,0.94,0.94,0.94,0.88,33600
1973-04-13,0.94,0.94,0.94,0.94,0.88,6400
1973-04-16,0.93,0.93,0.93,0.93,0.87,1600
1973-04-17,0.95,0.95,0.95,0.95,0.89,8000
1973-04-18,0.94,0.94,0.94,0.94,0.88,8000
1973-04-19,0.93,0.93,0.93,0.93,0.87,12800
1973-04-23,0.97,0.97,0.97,0.97,0.91,33600
1973-04-24,0.97,0.97,0.97,0.97,0.91,51200
1973-04-25,0.98,0.98,0.98,0.98,0.92,40000
1973-04-26,1.01,1.01,1.01,1.01,0.94,30400
1973-04-27,1.00,1.00,1.00,1.00,0.94,9600
1973-04-30,1.01,1.01,1.01,1.01,0.94,16000
1973-05-01,1.01,1.01,1.01,1.01,0.94,11200
1973-05-02,1.02,1.02,1.02,1.02,0.96,17600
1973-05-03,0.00,1.03,1.02,1.03,0.97,19200
1973-05-04,0.00,1.14,1.05,1.14,1.07,54400
1973-05-07,0.00,1.16,1.11,1.11,1.04,44800
1973-05-08,0.00,1.11,1.09,1.11,1.04,9600
1973-05-09,0.00,1.11,1.09,1.09,1.02,24000
1973-05-10,0.00,1.10,1.07,1.10,1.03,12800
