Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00,7.40,7.36,7.36,2.83,13970
1973-02-22,0.00,7.31,7.27,7.27,2.80,9500
1973-02-23,0.00,7.31,7.18,7.18,2.76,13970
1973-02-26,0.00,7.18,7.18,7.18,2.76,23470
1973-02-27,0.00,7.25,7.18,7.20,2.77,22911
1973-02-28,0.00,7.29,7.18,7.23,2.78,46939
1973-03-01,0.00,7.25,7.18,7.20,2.77,17323
1973-03-02,0.00,7.20,7.16,7.20,2.77,7823
1973-03-05,0.00,7.16,7.07,7.07,2.72,20117
1973-03-06,0.00,7.16,7.11,7.16,2.75,35204
1973-03-07,0.00,7.18,7.16,7.16,2.75,8382
1973-03-08,0.00,7.20,7.16,7.18,2.76,14529
1973-03-09,0.00,7.23,7.18,7.18,2.76,6706
1973-03-12,0.00,7.20,7.18,7.20,2.77,38557
1973-03-13,0.00,7.23,7.16,7.16,2.75,5029
1973-03-14,0.00,7.14,7.11,7.11,2.74,18999
1973-03-15,0.00,7.16,7.11,7.16,2.75,6147
1973-03-16,0.00,7.20,7.14,7.14,2.74,8382
1973-03-19,0.00,7.16,7.11,7.16,2.75,10617
1973-03-20,0.00,7.18,7.11,7.11,2.74,17323
1973-03-21,0.00,7.16,7.11,7.14,2.74,7264
1973-03-22,0.00,7.16,7.09,7.09,2.73,17323
1973-03-23,0.00,7.07,7.00,7.00,2.69,10058
1973-03-26,0.00,7.05,6.96,6.96,2.68,21234
1973-03-27,0.00,7.00,6.91,6.91,2.66,12294
1973-03-28,0.00,6.96,6.89,6.96,2.68,18999
1973-03-29,0.00,6.98,6.96,6.98,2.68,13411
1973-03-30,0.00,7.02,6.98,6.98,2.68,10617
1973-04-02,0.00,6.98,6.82,6.82,2.62,12294
1973-04-03,0.00,6.85,6.80,6.82,2.62,11735
1973-04-04,0.00,6.78,6.93,6.62,2.55,12852
1973-04-05,0.00,6.62,6.55,6.62,2.55,12294
1973-04-06,0.00,6.62,6.53,6.55,2.52,12294
1973-04-09,0.00,6.67,6.53,6.67,2.56,11735
1973-04-10,0.00,6.76,6.62,6.67,2.56,25705
1973-04-11,0.00,6.73,6.62,6.64,2.56,15088
1973-04-12,0.00,6.71,6.62,6.62,2.55,8941
1973-04-13,0.00,6.67,6.67,6.67,2.56,11735
1973-04-16,0.00,6.69,6.58,6.67,2.56,39675
1973-04-17,0.00,6.73,6.71,6.73,2.59,1676
1973-04-18,0.00,6.69,6.62,6.67,2.56,18999
1973-04-19,0.00,6.71,6.64,6.67,2.56,24587
1973-04-23,0.00,6.71,6.64,6.64,2.56,7823
1973-04-24,0.00,6.71,6.64,6.71,2.58,5588
1973-04-25,0.00,6.71,6.67,6.67,2.56,6706
1973-04-26,0.00,6.67,6.58,6.62,2.55,50292
1973-04-27,0.00,6.62,6.53,6.60,2.54,17323
1973-04-30,0.00,6.58,6.46,6.46,2.49,16205
1973-05-01,0.00,6.51,6.44,6.44,2.48,11176
1973-05-02,0.00,6.62,6.44,6.62,2.55,33528
1973-05-03,0.00,6.64,6.55,6.64,2.56,11735
1973-05-04,0.00,6.64,6.60,6.60,2.54,6147
1973-05-07,0.00,6.64,6.58,6.58,2.53,46380
1973-05-08,0.00,6.62,6.55,6.62,2.55,10058
1973-05-09,0.00,6.64,6.55,6.64,2.56,43028
1973-05-10,0.00,6.64,6.60,6.62,2.55,15646
1973-05-11,0.00,6.60,6.53,6.55,2.52,20117
1973-05-14,0.00,6.49,6.35,6.35,2.44,17882
1973-05-15,0.00,6.35,6.29,6.31,2.43,18999
1973-05-16,0.00,6.33,6.24,6.24,2.40,48057
1973-05-17,0.00,6.26,6.24,6.26,2.41,17323
1973-05-18,0.00,6.24,6.20,6.20,2.38,8941
1973-05-21,0.00,6.20,6.11,6.13,2.36,11735
1973-05-22,0.00,6.11,6.02,6.04,2.32,43028
1973-05-23,0.00,6.04,5.97,5.99,2.31,26264
1973-05-24,0.00,6.04,5.99,6.04,2.32,11176
1973-05-25,0.00,6.13,6.06,6.08,2.34,72085
1973-05-29,0.00,6.13,6.08,6.13,2.36,17323
1973-05-30,0.00,6.13,6.11,6.11,2.35,13411
1973-05-31,0.00,6.15,6.08,6.13,2.36,13411
1973-06-01,0.00,6.15,6.08,6.11,2.35,8941
1973-06-04,0.00,6.15,6.04,6.04,2.32,8382
1973-06-05,0.00,6.08,6.02,6.04,2.32,7823
1973-06-06,0.00,6.06,5.99,6.04,2.32,20117
1973-06-07,0.00,6.15,6.02,6.15,2.37,16764
1973-06-08,0.00,6.22,6.04,6.13,2.36,20676
1973-06-11,0.00,6.22,6.17,6.17,2.37,4470
1973-06-12,0.00,6.20,6.11,6.15,2.37,13970
1973-06-13,0.00,6.20,6.06,6.08,2.34,15646
1973-06-14,0.00,6.08,5.99,6.06,2.33,13970
1973-06-15,0.00,6.08,5.99,6.04,2.32,8941
1973-06-18,0.00,6.08,6.02,6.08,2.34,5588
1973-06-19,0.00,6.08,5.95,6.04,2.32,22352
1973-06-20,0.00,6.06,5.95,6.06,2.33,13970
1973-06-21,0.00,6.15,6.04,6.04,2.32,9500
1973-06-22,0.00,6.26,6.13,6.17,2.37,17323
1973-06-25,0.00,6.22,6.15,6.20,2.38,5029
1973-06-26,0.00,6.22,6.15,6.22,2.39,10058
1973-06-27,0.00,6.26,6.17,6.26,2.41,6706
1973-06-28,0.00,6.40,6.31,6.35,2.44,5029
1973-06-29,0.00,6.38,6.26,6.26,2.41,12294
1973-07-02,0.00,6.24,6.08,6.08,2.34,59233
1973-07-03,0.00,6.15,6.08,6.08,2.34,59233
1973-07-05,0.00,6.13,6.08,6.08,2.34,2235
1973-07-06,0.00,6.13,5.99,6.06,2.33,14529
1973-07-09,0.00,6.11,6.02,6.11,2.35,6706
1973-07-10,0.00,6.15,6.08,6.11,2.35,5029
1973-07-11,0.00,6.22,6.08,6.22,2.39,51410
1973-07-12,0.00,6.35,6.17,6.29,2.42,8382
1973-07-13,0.00,6.40,6.26,6.26,2.41,8382
1973-07-16,0.00,6.38,6.20,6.33,2.43,12852
1973-07-17,0.00,6.38,6.26,6.31,2.43,7264
1973-07-18,0.00,6.38,6.22,6.33,2.43,12294
1973-07-19,0.00,6.35,6.29,6.33,2.43,7823
1973-07-20,0.00,6.40,6.29,6.35,2.44,31293
1973-07-23,0.00,6.42,6.33,6.38,2.45,23470
1973-07-24,0.00,6.38,6.33,6.38,2.45,7264
1973-07-25,0.00,6.44,6.38,6.44,2.48,23470
1973-07-26,0.00,6.53,6.40,6.53,2.51,70968
1973-07-27,0.00,6.62,6.58,6.58,2.53,36881
1973-07-30,0.00,6.64,6.51,6.60,2.54,12852
1973-07-31,0.00,6.62,6.55,6.55,2.52,21234
1973-08-01,0.00,6.60,6.44,6.44,2.48,8941
1973-08-02,0.00,6.44,6.35,6.42,2.47,8382
1973-08-03,0.00,6.49,6.44,6.44,2.48,7823
1973-08-06,0.00,6.44,6.35,6.42,2.47,21234
1973-08-07,0.00,6.35,6.29,6.35,2.44,10058
1973-08-08,0.00,6.40,6.35,6.35,2.44,11176
1973-08-09,0.00,6.35,6.26,6.26,2.41,7823
1973-08-10,0.00,6.26,6.17,6.22,2.39,6147
1973-08-13,0.00,6.22,6.06,6.11,2.35,13411
1973-08-14,0.00,6.06,5.99,6.04,2.32,6706
1973-08-15,0.00,5.99,5.91,5.91,2.27,54204
1973-08-16,0.00,5.99,5.91,5.99,2.31,10617
1973-08-17,0.00,6.02,5.97,5.97,2.30,5588
1973-08-20,0.00,6.04,5.97,5.97,2.30,6706
1973-08-21,0.00,6.06,5.97,5.97,2.30,17882
1973-08-22,0.00,6.06,5.82,5.86,2.25,21234
1973-08-23,0.00,5.88,5.77,5.82,2.24,12852
1973-08-24,0.00,5.84,5.70,5.75,2.21,10058
1973-08-27,0.00,5.82,5.73,5.79,2.23,3353
1973-08-28,0.00,5.82,5.73,5.73,2.20,6706
1973-08-29,0.00,5.82,5.75,5.77,2.22,25705
1973-08-30,0.00,5.88,5.79,5.82,2.24,25146
1973-08-31,0.00,5.91,5.79,5.91,2.27,14529
1973-09-04,0.00,6.08,5.95,6.02,2.31,10617
1973-09-05,0.00,6.15,6.08,6.08,2.34,10617
1973-09-06,0.00,6.11,6.04,6.11,2.35,6706
1973-09-07,0.00,6.15,6.06,6.11,2.35,8382
1973-09-10,0.00,6.13,5.99,6.06,2.33,13970
1973-09-11,0.00,6.11,5.99,6.11,2.35,8382
1973-09-12,0.00,6.15,6.06,6.06,2.33,4470
1973-09-13,0.00,6.08,6.06,6.08,2.34,5029
1973-09-14,0.00,6.17,6.06,6.15,2.37,7823
1973-09-17,0.00,6.31,6.11,6.22,2.39,202286
1973-09-18,0.00,6.26,6.20,6.22,2.39,81026
1973-09-19,0.00,6.31,6.22,6.31,2.43,42469
1973-09-20,0.00,6.42,6.26,6.35,2.44,50851
1973-09-21,0.00,6.42,6.38,6.42,2.47,45822
1973-09-24,0.00,6.62,6.38,6.51,2.50,19558
1973-09-25,0.00,6.62,6.46,6.58,2.53,20117
1973-09-26,0.00,6.58,6.46,6.51,2.50,11735
1973-09-27,0.00,6.73,6.55,6.64,2.56,15646
1973-09-28,0.00,6.60,6.51,6.51,2.50,3912
1973-10-01,0.00,6.53,6.31,6.31,2.43,27381
1973-10-02,0.00,6.49,6.31,6.44,2.48,8382
1973-10-03,0.00,6.64,6.49,6.64,2.56,16764
1973-10-04,0.00,7.14,6.69,7.05,2.71,60350
1973-10-05,0.00,7.38,7.00,7.34,2.82,57556
1973-10-08,0.00,7.63,7.25,7.52,2.89,70968
1973-10-09,0.00,7.63,7.38,7.38,2.84,31852
1973-10-10,0.00,7.40,7.29,7.29,2.80,29058
1973-10-11,0.00,7.65,7.25,7.56,2.91,45263
1973-10-12,0.00,7.61,7.54,7.54,2.90,20117
1973-10-15,0.00,7.58,7.49,7.49,2.88,18999
1973-10-16,0.00,7.49,7.43,7.49,2.88,21793
1973-10-17,0.00,7.54,7.40,7.40,2.85,17323
1973-10-18,0.00,7.52,7.36,7.45,2.86,16205
1973-10-19,0.00,7.58,7.45,7.58,2.92,20117
1973-10-22,0.00,7.49,7.38,7.38,2.84,11735
