Date,Open,High,Low,Close,Adj Close,Volume
2014-06-26,11.69,12.11,11.44,12.02,12.02,19479470
2014-06-27,12.02,12.79,11.82,12.56,12.56,2567960
2014-06-30,12.42,13.23,12.20,12.21,12.21,1429548
2014-07-01,12.21,12.51,11.80,12.39,12.39,1004042
2014-07-02,12.33,12.76,12.23,12.33,12.33,807116
2014-07-03,12.50,12.63,12.33,12.52,12.52,318606
2014-07-07,12.62,12.95,12.43,12.86,12.86,831153
2014-07-08,12.77,12.89,12.00,12.40,12.40,951937
2014-07-09,12.41,12.89,12.30,12.89,12.89,533598
2014-07-10,12.43,13.03,12.43,12.87,12.87,322936
2014-07-11,12.71,12.97,12.64,12.83,12.83,276504
2014-07-14,12.79,13.06,12.68,12.97,12.97,335029
2014-07-15,12.91,12.99,12.79,12.84,12.84,226189
2014-07-16,12.80,12.97,12.76,12.96,12.96,126457
2014-07-17,12.87,13.05,12.73,13.01,13.01,640945
2014-07-18,12.82,13.05,12.73,13.02,13.02,166768
2014-07-21,12.87,13.00,12.73,12.85,12.85,142582
2014-07-22,12.80,13.05,12.80,13.00,13.00,472982
2014-07-23,12.88,13.17,12.87,12.96,12.96,485225
2014-07-24,12.83,13.30,12.70,13.11,13.11,573312
2014-07-25,12.97,13.66,12.87,13.36,13.36,513443
2014-07-28,13.24,13.24,12.86,12.99,12.99,407738
2014-07-29,12.97,13.15,12.69,12.95,12.95,583912
2014-07-30,12.95,12.95,12.27,12.44,12.44,518967
2014-07-31,12.20,12.46,11.73,11.77,11.77,1263974
2014-08-01,11.60,11.89,11.53,11.85,11.85,387881
2014-08-04,11.70,12.46,11.57,12.01,12.01,465069
2014-08-05,12.18,12.99,11.79,12.34,12.34,2853123
2014-08-06,12.40,12.76,11.78,11.83,11.83,1773983
2014-08-07,11.97,12.12,11.42,11.80,11.80,849218
2014-08-08,11.90,12.67,11.79,12.53,12.53,559278
2014-08-11,12.65,13.53,12.46,13.46,13.46,1706947
2014-08-12,13.40,13.92,13.40,13.65,13.65,1198879
2014-08-13,13.73,13.99,13.64,13.88,13.88,1148714
2014-08-14,13.88,14.03,13.80,13.89,13.89,296659
2014-08-15,13.99,14.41,13.70,14.31,14.31,1380577
2014-08-18,14.40,15.40,14.40,15.20,15.20,2220390
2014-08-19,15.06,15.41,14.90,15.12,15.12,1382817
2014-08-20,15.06,15.58,14.92,15.24,15.24,1401628
2014-08-21,15.22,15.30,15.01,15.10,15.10,433716
2014-08-22,15.14,15.48,15.11,15.28,15.28,713803
2014-08-25,15.36,15.85,15.11,15.64,15.64,955221
2014-08-26,15.80,16.08,15.59,16.08,16.08,2108564
