Date,Open,High,Low,Close,Adj Close,Volume
2006-07-19,14.67,15.27,14.65,14.67,10.25,1331437
2006-07-20,14.70,14.85,14.70,14.79,10.34,1616286
2006-07-21,14.82,14.94,14.78,14.85,10.38,1087122
2006-07-24,14.85,14.89,14.42,14.63,10.22,547105
2006-07-25,14.58,15.74,14.38,15.53,10.85,1441965
2006-07-26,15.24,15.24,14.33,14.56,10.17,558623
2006-07-27,14.54,14.63,14.09,14.23,9.94,1362225
2006-07-28,14.22,14.92,14.06,14.90,10.41,977258
2006-07-31,14.90,15.35,14.72,15.10,10.55,5699860
2006-08-01,15.10,15.10,14.05,14.38,10.05,8056398
2006-08-02,14.27,14.27,13.51,13.55,9.46,7586153
2006-08-03,13.54,13.70,13.30,13.31,9.30,4696465
2006-08-04,13.34,13.53,12.70,12.75,8.91,5450229
2006-08-07,12.66,12.67,11.50,12.19,8.52,10105495
2006-08-08,12.26,12.37,12.08,12.12,8.47,7185903
2006-08-09,12.21,12.28,11.60,11.77,8.22,7532550
2006-08-10,11.51,12.78,11.51,12.71,8.88,8360517
2006-08-11,12.69,13.26,12.69,12.98,9.06,3797174
2006-08-14,12.84,12.88,12.40,12.43,8.69,2943735
2006-08-15,12.73,12.89,12.69,12.87,8.99,2395966
2006-08-16,12.87,12.93,12.66,12.69,8.87,2640502
2006-08-17,12.64,12.73,12.43,12.47,8.71,2428526
2006-08-18,12.64,12.81,12.53,12.54,8.76,2570286
2006-08-21,12.23,12.37,12.20,12.21,8.53,1574865
2006-08-22,11.92,12.05,11.90,11.94,8.34,2258414
2006-08-23,11.83,12.05,11.83,11.91,8.32,1608533
2006-08-24,12.60,12.87,12.47,12.59,8.79,5189302
2006-08-25,12.59,13.05,12.57,13.03,9.11,3770151
2006-08-28,13.03,13.32,12.83,12.87,8.99,4768452
2006-08-29,12.93,13.16,12.93,13.01,9.09,2026282
2006-08-30,13.09,13.21,13.06,13.08,9.14,1803010
2006-08-31,13.12,13.26,13.10,13.21,9.23,1847088
2006-09-01,13.25,13.35,13.18,13.30,9.29,2396852
2006-09-05,13.18,13.32,13.13,13.29,9.28,2027168
2006-09-06,13.18,13.36,12.95,12.95,9.05,2999332
2006-09-07,12.98,13.02,12.84,12.91,9.02,1987076
2006-09-08,12.82,12.96,12.67,12.88,9.00,3636808
2006-09-11,12.87,13.16,12.83,13.04,9.11,1840222
2006-09-12,13.04,13.16,12.88,13.11,9.16,4740765
2006-09-13,13.07,13.25,13.04,13.12,9.16,2418337
2006-09-14,13.00,13.31,13.00,13.20,9.22,2505387
2006-09-15,13.20,13.20,12.95,13.06,9.12,3125365
2006-09-18,13.00,13.13,12.86,12.91,9.02,2754796
2006-09-19,12.89,12.89,12.71,12.79,8.93,2645596
2006-09-20,12.79,12.82,12.72,12.77,8.92,2810614
2006-09-21,12.77,12.79,12.46,12.48,8.72,2749258
2006-09-22,12.48,12.51,12.14,12.19,8.51,2774288
2006-09-25,12.23,12.60,12.17,12.47,8.71,2417230
2006-09-26,12.49,12.80,12.43,12.49,8.72,2482129
2006-09-27,12.46,12.78,12.35,12.63,8.82,2382454
2006-09-28,12.59,12.68,12.47,12.51,8.74,1738775
2006-09-29,12.46,12.70,12.46,12.63,8.82,2121084
2006-10-02,12.53,12.71,12.47,12.50,8.73,2268160
2006-10-03,12.45,12.66,12.42,12.60,8.80,2386220
2006-10-04,12.53,12.67,12.51,12.64,8.83,2581583
2006-10-05,12.55,12.97,12.53,12.76,8.91,4008485
2006-10-06,12.71,12.91,12.70,12.84,8.97,2406819
2006-10-09,12.76,13.12,12.69,13.09,9.15,1732352
2006-10-10,13.00,13.23,12.93,13.20,9.22,2672841
2006-10-11,13.09,13.11,12.73,12.91,9.02,3858530
2006-10-12,12.91,13.29,12.87,13.14,9.18,2548801
2006-10-13,13.05,13.32,13.05,13.31,9.30,2307366
2006-10-16,13.28,13.57,13.19,13.49,9.42,3159033
2006-10-17,13.41,13.52,13.26,13.44,9.39,1522813
