Date,Open,High,Low,Close,Adj Close,Volume
2003-12-18,3.50,3.91,3.50,3.88,3.72,30861600
2003-12-19,3.80,3.97,3.75,3.81,3.66,4060400
2003-12-22,3.80,3.88,3.79,3.84,3.69,932400
2003-12-23,3.83,3.86,3.78,3.81,3.66,953200
2003-12-24,3.75,3.75,3.61,3.72,3.58,585600
2003-12-26,3.72,3.73,3.67,3.68,3.54,964000
2003-12-29,3.67,3.72,3.66,3.69,3.54,994000
2003-12-30,3.69,3.79,3.69,3.77,3.63,1283200
2003-12-31,3.76,3.88,3.75,3.88,3.72,1769600
2004-01-02,3.85,4.00,3.85,3.94,3.78,720000
2004-01-05,4.00,4.06,3.95,4.04,3.88,1220000
2004-01-06,4.05,4.33,4.04,4.14,3.97,839200
2004-01-07,4.14,4.24,4.09,4.16,3.99,1077600
2004-01-08,4.17,4.25,4.16,4.19,4.03,384800
2004-01-09,4.14,4.32,4.10,4.22,4.06,3350400
2004-01-12,4.23,4.40,4.21,4.35,4.18,688000
2004-01-13,4.35,4.45,4.35,4.44,4.27,338000
2004-01-14,4.44,4.44,4.39,4.41,4.24,498800
2004-01-15,4.39,4.55,4.39,4.47,4.30,180000
2004-01-16,4.49,4.50,4.34,4.34,4.17,415600
2004-01-20,4.16,4.21,4.03,4.05,3.89,1892400
2004-01-21,3.90,4.08,3.90,4.00,3.84,1188800
2004-01-22,4.01,4.11,4.01,4.09,3.94,830000
2004-01-23,4.10,4.30,4.10,4.27,4.10,2196000
2004-01-26,4.24,4.33,4.23,4.33,4.16,544800
2004-01-27,4.33,4.35,4.28,4.31,4.15,1400400
2004-01-28,4.32,4.34,4.25,4.25,4.09,532000
2004-01-29,4.25,4.28,4.04,4.09,3.93,1028800
2004-01-30,4.07,4.08,3.94,4.05,3.89,1107600
2004-02-02,4.08,4.32,4.05,4.27,4.11,464000
2004-02-03,4.25,4.25,4.22,4.25,4.09,367200
2004-02-04,4.24,4.39,4.15,4.34,4.17,878000
2004-02-05,4.32,4.32,4.20,4.21,4.04,302800
2004-02-06,4.18,4.28,4.15,4.27,4.10,391600
2004-02-09,4.27,4.30,4.27,4.29,4.13,308800
2004-02-10,4.30,4.31,4.19,4.25,4.09,544000
2004-02-11,4.25,4.25,4.16,4.25,4.09,729200
2004-02-12,4.25,4.31,4.19,4.28,4.11,584000
2004-02-13,4.28,4.28,4.04,4.15,3.99,878400
2004-02-17,4.16,4.16,4.07,4.12,3.97,299600
2004-02-18,4.15,4.15,4.05,4.11,3.95,287600
2004-02-19,4.12,4.15,4.04,4.06,3.90,104400
2004-02-20,4.10,4.10,4.00,4.06,3.90,331200
2004-02-23,4.06,4.11,4.02,4.11,3.95,323600
2004-02-24,4.11,4.12,4.01,4.03,3.88,229600
