Date,Open,High,Low,Close,Adj Close,Volume
2011-12-07,27.50,27.76,24.00,27.45,24.41,1413600
2011-12-08,26.06,27.78,25.76,26.55,23.61,719600
2011-12-09,27.93,28.00,26.70,27.91,24.82,716200
2011-12-12,28.28,28.28,27.00,27.45,24.41,393300
2011-12-13,28.53,28.53,27.01,27.50,24.46,452500
2011-12-14,28.19,28.19,26.85,27.12,24.12,444400
2011-12-15,27.87,29.10,27.60,28.33,25.19,1417600
2011-12-16,29.92,29.92,28.00,28.46,25.31,966700
2011-12-19,28.69,29.46,28.41,28.97,25.76,1048500
2011-12-20,29.50,30.62,29.47,30.25,26.90,2017200
2011-12-21,30.00,30.00,27.51,27.67,24.61,2871800
2011-12-22,27.12,27.60,23.99,24.53,21.81,6294100
2011-12-23,24.71,27.14,24.50,26.02,23.14,2744200
2011-12-27,25.36,26.10,24.63,25.94,23.07,2887400
2011-12-28,25.25,25.98,24.94,25.77,22.92,2098600
2011-12-29,25.54,25.66,24.79,24.82,22.07,2247300
2011-12-30,24.97,25.55,24.64,25.21,22.42,1798400
2012-01-03,26.15,27.35,26.11,26.63,23.68,3721800
2012-01-04,25.82,26.09,25.41,25.68,22.84,1681000
2012-01-05,24.57,25.82,24.57,25.52,22.69,1534700
2012-01-06,25.52,26.02,25.17,25.57,22.74,1484800
2012-01-09,25.74,26.77,25.65,26.26,23.35,1965300
2012-01-10,26.73,28.24,26.59,27.75,24.68,4177500
2012-01-11,26.69,28.22,26.56,27.79,24.71,1803300
2012-01-12,27.87,29.17,27.80,28.46,25.31,2005600
2012-01-13,28.22,29.77,27.93,29.51,26.24,1993400
2012-01-17,29.58,29.80,28.91,28.99,25.78,3210100
2012-01-18,28.69,29.43,28.52,29.03,25.82,1205200
2012-01-19,29.10,30.89,29.02,30.33,26.97,2712900
2012-01-20,30.42,30.49,29.82,30.40,27.03,1307600
2012-01-23,30.54,30.79,30.23,30.38,27.02,2565400
2012-01-24,30.14,30.75,29.97,30.69,27.29,1299100
2012-01-25,30.55,32.33,30.55,31.49,28.00,2349300
2012-01-26,31.48,31.94,30.46,31.05,27.61,1881500
2012-01-27,30.39,31.46,30.35,31.24,27.78,1227500
2012-01-30,30.96,31.84,30.64,31.64,28.14,904500
2012-01-31,30.84,33.04,30.84,32.91,29.27,1261100
2012-02-01,33.11,35.17,33.08,35.06,31.18,3610100
2012-02-02,35.28,35.60,33.83,34.88,31.02,2447800
2012-02-03,35.07,35.93,35.07,35.38,31.46,2993500
2012-02-06,35.35,35.75,35.06,35.15,31.26,1968000
2012-02-07,35.28,35.48,34.82,34.84,30.98,2235900
2012-02-08,34.78,34.97,33.02,34.34,30.54,3220900
2012-02-09,28.28,29.85,27.99,29.34,26.09,12923400
2012-02-10,29.02,30.89,28.65,30.04,26.71,3623600
2012-02-13,30.07,30.13,28.50,28.59,25.42,2396400
2012-02-14,28.70,28.79,26.93,27.63,24.57,4072100
2012-02-15,27.80,30.10,27.52,29.28,26.04,4922800
2012-02-16,29.27,30.65,28.73,30.40,27.03,2583300
2012-02-17,30.50,30.94,29.95,30.70,27.30,1939900
2012-02-21,30.61,30.74,30.12,30.67,27.27,2462700
2012-02-22,30.95,30.95,29.85,30.00,26.68,3275500
2012-02-23,30.06,30.69,29.56,30.59,27.20,2041700
2012-02-24,30.19,32.00,30.19,31.80,28.28,1904100
2012-02-27,31.38,32.08,31.14,31.91,28.38,1438400
2012-02-28,32.09,33.49,32.00,32.31,28.73,2442000
2012-02-29,32.32,32.43,31.67,32.23,28.66,1356200
2012-03-01,31.89,32.88,31.09,32.62,29.01,2641400
2012-03-02,32.37,33.09,32.04,32.45,28.86,1640400
2012-03-05,32.29,32.41,31.81,31.97,28.43,648900
2012-03-06,31.50,31.80,30.80,31.42,27.94,1034800
2012-03-07,31.50,31.66,30.91,31.07,27.63,1478100
2012-03-08,31.20,31.79,31.14,31.26,27.80,1151700
2012-03-09,31.30,31.35,30.56,30.70,27.30,705500
2012-03-12,30.73,31.06,30.50,30.70,27.30,1490800
2012-03-13,30.92,30.99,30.25,30.48,27.11,2280100
2012-03-14,30.40,31.00,30.23,30.99,27.56,1230200
2012-03-15,31.14,32.54,30.93,32.47,28.87,2319000
2012-03-16,32.51,34.92,31.99,34.00,30.24,4298000
2012-03-19,33.80,34.15,33.80,34.00,30.24,855800
2012-03-20,33.46,34.29,33.46,34.09,30.32,1064500
2012-03-21,34.17,34.40,33.35,33.77,30.03,1316200
2012-03-22,33.51,33.76,33.02,33.25,29.57,1047200
2012-03-23,33.01,33.36,32.81,33.27,29.59,531200
2012-03-26,33.31,34.50,32.86,34.30,30.50,2182000
2012-03-27,34.30,36.05,33.90,35.29,31.38,2897800
2012-03-28,35.15,35.73,34.08,34.57,30.74,1842600
2012-03-29,34.25,35.18,33.92,35.16,31.27,1575000
2012-03-30,35.28,36.86,35.27,35.67,31.72,3047000
2012-04-02,35.62,37.78,35.04,37.37,33.23,3569600
2012-04-03,37.42,37.59,36.54,36.59,32.54,1833000
2012-04-04,36.41,36.80,35.80,36.25,32.24,1635000
2012-04-05,36.04,36.93,35.85,36.23,32.22,2259000
2012-04-09,35.56,35.83,35.16,35.50,31.57,1097200
2012-04-10,35.45,35.56,34.47,34.58,30.75,1154100
2012-04-11,35.01,35.41,34.74,34.79,30.94,1014600
2012-04-12,34.84,35.47,34.75,35.10,31.21,1290800
2012-04-13,35.06,35.36,34.39,34.50,30.68,559500
2012-04-16,34.63,34.84,33.74,33.83,30.08,918800
2012-04-17,34.16,35.18,33.98,35.00,31.12,1941400
2012-04-18,34.78,35.60,34.75,35.44,31.52,937400
2012-04-19,35.33,36.43,35.16,35.22,31.32,1065200
2012-04-20,35.35,35.66,34.94,35.02,31.14,1228300
2012-04-23,34.72,34.75,33.75,33.94,30.18,3340600
2012-04-24,33.79,34.20,33.23,33.38,29.68,927200
2012-04-25,33.73,34.10,33.53,33.69,29.96,1181900
2012-04-26,33.74,34.51,33.27,34.38,30.57,1977600
2012-04-27,36.24,37.85,35.88,36.87,32.79,5913200
2012-04-30,36.46,37.54,36.40,37.51,33.36,2465500
2012-05-01,36.38,37.89,36.07,36.53,32.49,4908600
2012-05-02,43.25,44.46,42.08,42.63,37.91,7645700
2012-05-03,42.63,43.50,40.24,40.90,36.37,3519600
2012-05-04,39.99,40.69,39.75,40.20,35.75,4765300
2012-05-07,39.80,40.98,39.80,40.97,36.43,3029100
2012-05-08,40.69,41.30,39.40,41.20,36.64,2288500
2012-05-09,40.54,41.08,40.10,40.68,36.18,1071200
2012-05-10,41.19,41.70,40.45,40.79,36.27,1546800
2012-05-11,40.57,42.05,40.50,41.73,37.11,1494900
2012-05-14,41.40,42.57,41.01,41.64,37.03,1306600
2012-05-15,41.81,43.09,41.47,42.65,37.93,2558300
2012-05-16,42.93,43.84,42.72,43.64,38.81,3112900
2012-05-17,43.69,43.73,40.73,41.03,36.49,2521900
2012-05-18,41.57,41.59,39.81,40.66,36.16,3278800
2012-05-21,40.87,42.63,40.33,42.17,37.50,2208700
2012-05-22,42.33,44.22,41.99,42.63,37.91,2271500
2012-05-23,42.21,45.82,41.91,45.15,40.15,3128000
2012-05-24,45.04,45.32,44.25,44.40,39.48,1650000
2012-05-25,44.53,45.23,44.52,45.00,40.02,2139200
2012-05-29,45.80,45.80,44.39,45.26,40.25,1567700
2012-05-30,44.88,44.88,42.71,43.16,38.38,2061700
2012-05-31,43.48,43.85,42.14,42.88,38.13,2499100
2012-06-01,41.61,41.80,39.92,41.02,36.48,2355900
2012-06-04,41.16,41.62,40.12,41.49,36.90,1525100
2012-06-05,41.21,42.21,40.44,41.09,36.54,1301600
2012-06-06,40.86,43.81,40.86,42.99,38.23,2165700
2012-06-07,44.00,44.00,41.59,41.67,37.06,1862200
2012-06-08,42.01,43.15,41.56,43.02,38.26,1976700
2012-06-11,44.46,44.86,42.53,42.94,38.19,2273900
2012-06-12,43.04,45.07,42.80,45.02,40.04,2116600
2012-06-13,44.49,45.31,43.31,43.43,38.62,1474300
2012-06-14,43.63,44.57,42.70,44.05,39.17,957000
2012-06-15,44.18,44.45,43.50,44.38,39.47,1995900
2012-06-18,44.14,45.41,43.77,44.91,39.94,1449000
2012-06-19,45.00,45.12,43.63,44.24,39.34,1842000
2012-06-20,44.10,44.10,42.74,43.29,38.50,1370100
2012-06-21,43.53,43.85,42.35,43.01,38.25,977800
2012-06-22,43.46,46.09,43.37,45.53,40.49,3595400
2012-06-25,44.76,45.39,43.98,44.07,39.19,1158500
2012-06-26,44.05,44.88,43.95,44.01,39.14,890600
2012-06-27,44.36,45.35,43.88,44.42,39.50,996800
2012-06-28,43.97,44.26,42.18,43.58,38.75,1209500
2012-06-29,44.74,46.30,44.13,44.69,39.74,1908900
2012-07-02,44.73,47.00,44.72,46.00,40.91,1814900
2012-07-03,46.02,46.17,44.70,46.05,40.95,562800
2012-07-05,46.09,47.44,45.71,46.27,41.15,1517900
2012-07-06,45.84,46.54,45.36,46.36,41.23,887100
2012-07-09,46.27,46.69,44.95,45.44,40.41,926100
2012-07-10,45.70,45.81,43.76,44.76,39.80,1248500
2012-07-11,44.96,45.47,43.98,44.28,39.38,923100
2012-07-12,43.79,44.54,43.26,43.88,39.02,1544400
2012-07-13,44.01,46.95,43.49,45.85,40.77,2290500
2012-07-16,45.91,46.24,44.44,46.15,41.04,1010600
2012-07-17,47.00,47.03,45.37,45.52,40.48,1760700
2012-07-18,45.28,46.07,45.28,45.42,40.39,815300
2012-07-19,45.42,47.81,44.75,45.10,40.11,2613600
2012-07-20,45.33,46.40,44.81,44.90,39.93,2210600
2012-07-23,44.15,46.01,43.06,45.61,40.56,2383600
2012-07-24,46.25,46.38,43.14,43.47,38.66,6151600
2012-07-25,36.13,37.45,35.01,36.18,32.17,9251500
2012-07-26,36.77,37.01,34.03,35.04,31.16,6637500
2012-07-27,35.57,36.63,35.12,35.41,31.49,3029600
2012-07-30,35.52,36.18,35.25,36.01,32.02,2592100
2012-07-31,36.17,37.60,35.99,37.41,33.27,3158500
2012-08-01,37.47,37.82,36.31,36.57,32.52,2856800
2012-08-02,36.20,37.50,35.58,36.21,32.20,1661900
2012-08-03,36.57,37.03,35.91,36.68,32.62,2291800
2012-08-06,36.67,38.39,36.50,38.01,33.80,1985700
2012-08-07,38.45,39.00,38.24,38.66,34.38,2066600
2012-08-08,37.08,37.69,36.10,36.77,32.70,4031900
2012-08-09,36.92,37.12,36.10,36.18,32.17,1646400
2012-08-10,36.26,36.54,35.05,35.10,31.21,3806700
2012-08-13,35.27,35.29,32.80,33.52,29.81,9384300
2012-08-14,33.76,33.93,32.28,33.16,29.49,5752700
2012-08-15,33.20,34.72,32.51,33.96,30.20,4098600
2012-08-16,33.89,34.30,33.14,33.85,30.10,1992300
2012-08-17,33.66,33.74,32.37,33.45,29.75,3050900
2012-08-20,33.27,33.95,32.76,33.84,30.09,1842900
2012-08-21,33.96,34.75,33.71,34.05,30.28,2442900
2012-08-22,33.84,34.27,33.51,33.94,30.18,1716500
2012-08-23,33.73,34.12,33.48,33.54,29.83,2111800
2012-08-24,34.50,34.70,33.29,34.05,30.28,5589400
2012-08-27,34.29,34.34,33.89,33.97,30.21,737100
2012-08-28,33.88,34.44,33.63,34.26,30.47,2563100
2012-08-29,34.13,34.38,33.34,34.21,30.42,1701900
2012-08-30,34.13,34.33,33.63,33.71,29.98,976400
2012-08-31,33.98,34.26,33.28,33.44,29.74,1273500
2012-09-04,33.50,34.66,33.19,34.65,30.81,2225000
2012-09-05,34.61,35.92,34.60,35.40,31.48,2694000
2012-09-06,35.39,36.25,35.33,35.45,31.52,2343700
2012-09-07,35.46,35.78,35.23,35.61,31.67,1156100
2012-09-10,35.53,35.96,35.25,35.29,31.38,913100
2012-09-11,35.16,35.82,34.99,35.38,31.46,1408700
2012-09-12,35.58,35.95,35.11,35.25,31.35,1176700
2012-09-13,35.35,36.70,35.05,36.34,32.32,1885000
2012-09-14,36.47,36.97,36.02,36.06,32.07,2209100
2012-09-17,36.07,36.29,35.64,35.81,31.84,1526000
2012-09-18,35.81,36.19,34.70,34.73,30.88,2077900
2012-09-19,34.96,35.19,34.00,34.90,31.04,1784000
2012-09-20,34.84,34.85,33.82,34.48,30.66,1981700
2012-09-21,34.31,35.07,34.15,34.53,30.71,4039400
2012-09-24,34.53,34.53,33.47,33.70,29.97,2424400
2012-09-25,33.75,34.44,33.70,33.74,30.00,2135900
2012-09-26,33.85,34.09,33.05,33.24,29.56,1886400
2012-09-27,32.39,34.07,31.71,33.42,29.72,3641000
2012-09-28,33.38,33.40,32.57,32.93,29.28,2988400
2012-10-01,33.23,33.27,31.70,31.94,28.40,3920200
2012-10-02,32.00,32.66,31.80,32.39,28.80,1951800
2012-10-03,32.41,32.77,31.99,32.12,28.56,2502900
2012-10-04,32.64,33.45,32.15,33.40,29.70,1924400
2012-10-05,33.51,34.18,33.33,33.49,29.78,2723000
2012-10-08,33.28,34.16,33.15,33.57,29.85,1463000
2012-10-09,33.36,33.44,32.45,32.52,28.92,2518400
2012-10-10,32.77,32.80,32.13,32.22,28.65,1935300
2012-10-11,32.68,32.68,30.97,31.15,27.70,3091000
2012-10-12,30.72,31.41,30.44,31.22,27.76,3370900
2012-10-15,31.28,31.58,31.23,31.49,28.00,1787000
2012-10-16,31.69,31.90,31.14,31.18,27.73,1981800
2012-10-17,31.13,31.13,30.55,31.09,27.65,3058100
2012-10-18,31.24,31.29,30.26,30.57,27.19,2785700
2012-10-19,30.40,30.48,29.06,29.93,26.62,3519600
2012-10-22,29.85,30.72,29.81,30.70,27.30,1389400
2012-10-23,30.14,31.84,30.13,31.50,28.01,2252900
2012-10-24,31.59,31.81,31.08,31.40,27.92,2110400
2012-10-25,31.61,31.65,30.45,30.78,27.37,2024700
2012-10-26,32.15,32.33,29.36,30.27,26.92,7092100
2012-10-31,30.73,30.99,29.70,30.29,26.94,5069300
2012-11-01,30.48,30.49,28.63,29.41,26.15,7728700
2012-11-02,35.01,35.95,34.64,35.12,31.23,12211100
2012-11-05,34.70,34.99,34.14,34.45,30.64,2430600
2012-11-06,34.43,34.50,33.70,33.83,30.08,2094800
2012-11-07,34.01,34.42,32.95,34.00,30.24,3693500
2012-11-08,33.89,34.47,33.71,34.17,30.39,2536900
2012-11-09,33.72,35.04,32.50,34.31,30.51,4891400
2012-11-12,35.48,35.89,34.88,34.98,31.11,2787300
2012-11-13,34.70,35.67,34.31,35.54,31.60,1738900
2012-11-14,35.09,36.35,35.09,35.64,31.69,2583300
2012-11-15,35.69,36.99,35.50,36.60,32.55,4309200
2012-11-16,36.54,38.70,36.51,38.03,33.82,4298900
2012-11-19,38.40,39.32,38.08,38.16,33.93,2747700
2012-11-20,38.09,38.39,37.05,37.28,33.15,2253600
2012-11-21,37.48,37.68,36.89,37.40,33.26,1836700
2012-11-23,37.64,38.00,36.96,38.00,33.79,581900
2012-11-26,38.00,38.09,37.46,37.91,33.71,767700
2012-11-27,38.03,38.04,37.39,37.77,33.59,702500
2012-11-28,37.63,37.97,37.16,37.90,33.70,990700
2012-11-29,37.96,38.21,37.55,37.87,33.68,1845200
2012-11-30,37.89,39.07,37.62,38.19,33.96,2961200
2012-12-03,38.24,38.38,37.50,37.70,33.53,3229000
2012-12-04,37.66,37.76,35.96,37.53,33.37,3610800
2012-12-05,37.35,38.96,37.35,38.37,34.12,2426400
2012-12-06,38.50,39.34,38.23,39.29,34.94,1858800
2012-12-07,39.10,39.69,38.35,38.59,34.32,1496700
2012-12-10,39.58,39.89,37.91,38.39,34.14,1933400
2012-12-11,47.00,47.00,40.64,40.91,36.38,12177200
2012-12-12,41.05,42.89,40.61,42.65,37.93,6426300
2012-12-13,42.91,43.15,42.02,42.71,37.98,3991100
2012-12-14,42.76,42.77,41.40,41.67,37.06,2446900
2012-12-17,41.86,43.65,41.31,43.45,38.64,4647900
2012-12-18,43.01,44.29,42.92,42.98,38.22,5502200
2012-12-19,43.10,44.29,42.85,43.41,38.60,1986500
2012-12-20,43.49,43.74,42.89,42.97,38.21,2640100
2012-12-21,42.79,42.79,41.48,41.97,37.32,2444900
2012-12-24,43.25,44.10,42.13,42.25,37.57,1264100
2012-12-26,42.30,42.45,41.55,41.80,37.17,793200
2012-12-27,41.85,42.04,41.29,41.93,37.29,785000
2012-12-28,41.73,41.98,41.29,41.34,36.76,653400
2012-12-31,41.34,42.27,40.88,41.92,37.28,2324700
2013-01-02,42.94,44.17,42.80,44.16,39.27,2106600
2013-01-03,44.09,44.50,43.45,43.91,39.05,1770400
2013-01-04,44.01,44.16,43.40,44.12,39.23,1052300
2013-01-07,44.03,45.33,43.75,45.12,40.12,1823800
2013-01-08,44.85,45.45,44.27,44.72,39.77,2192300
2013-01-09,44.77,45.20,44.29,44.33,39.42,1261400
2013-01-10,44.38,44.60,42.77,43.49,38.67,2677000
2013-01-11,43.65,44.00,43.50,43.98,39.11,990200
2013-01-14,43.89,44.33,43.46,44.15,39.26,957100
2013-01-15,44.14,44.30,43.36,44.15,39.26,959400
2013-01-16,44.05,44.20,43.49,43.97,39.10,1241700
2013-01-17,43.98,44.57,43.53,44.09,39.21,1399900
2013-01-18,44.16,44.17,43.17,43.68,38.84,1901400
2013-01-22,43.59,44.38,43.31,44.32,39.41,1148900
2013-01-23,44.41,44.95,44.20,44.84,39.88,1236500
2013-01-24,44.78,45.72,44.59,44.82,39.86,1029100
2013-01-25,44.94,46.05,44.76,45.96,40.87,1657100
2013-01-28,46.34,47.77,46.02,46.50,41.35,2428300
2013-01-29,46.42,46.55,45.65,45.90,40.82,1610000
2013-01-30,46.10,46.29,45.16,45.52,40.48,1364200
2013-01-31,45.43,46.34,45.07,46.28,41.16,1284700
2013-02-01,46.29,46.57,45.63,46.30,41.17,1772500
2013-02-04,46.09,46.78,45.56,45.64,40.59,1279400
2013-02-05,45.86,46.91,45.70,46.84,41.65,1237400
2013-02-06,47.05,49.35,46.82,47.00,41.80,4129900
2013-02-07,47.02,47.03,45.66,46.85,41.66,1991500
