Date,Open,High,Low,Close,Adj Close,Volume
1986-04-02,0.00,0.82,0.80,0.80,0.38,40921600
1986-04-03,0.00,0.95,0.80,0.91,0.43,20761600
1986-04-04,0.00,0.94,0.90,0.91,0.43,10419200
1986-04-07,0.00,0.91,0.88,0.89,0.42,6387200
1986-04-08,0.00,0.91,0.87,0.91,0.43,2768000
1986-04-09,0.00,0.93,0.91,0.92,0.44,2454400
1986-04-10,0.00,0.98,0.92,0.97,0.46,5267200
1986-04-11,0.00,1.00,0.98,1.00,0.47,2464000
1986-04-14,0.00,1.04,0.99,1.04,0.49,2601600
1986-04-15,0.00,1.05,1.02,1.05,0.49,1648000
1986-04-16,0.00,1.12,1.05,1.12,0.53,1993600
1986-04-17,0.00,1.13,1.11,1.13,0.54,1296000
1986-04-18,0.00,1.17,1.12,1.16,0.55,3625600
1986-04-21,0.00,1.29,1.16,1.27,0.60,4800000
1986-04-22,0.00,1.41,1.26,1.32,0.62,6912000
1986-04-23,0.00,1.34,1.28,1.32,0.62,3430400
1986-04-24,0.00,1.35,1.32,1.33,0.63,1353600
1986-04-25,0.00,1.34,1.31,1.34,0.63,1228800
1986-04-28,0.00,1.35,1.33,1.33,0.63,454400
1986-04-29,0.00,1.34,1.31,1.34,0.63,3337600
1986-04-30,0.00,1.34,1.20,1.20,0.57,4256000
1986-05-01,0.00,1.20,1.16,1.16,0.55,2880000
1986-05-02,0.00,1.18,1.16,1.17,0.55,838400
1986-05-05,0.00,1.18,1.16,1.17,0.55,886400
1986-05-06,0.00,1.18,1.16,1.17,0.55,1043200
1986-05-07,0.00,1.17,1.08,1.10,0.52,3372800
1986-05-08,0.00,1.11,1.04,1.09,0.51,3769600
1986-05-09,0.00,1.14,1.09,1.12,0.53,2182400
1986-05-12,0.00,1.12,1.08,1.09,0.51,889600
1986-05-13,0.00,1.09,1.00,1.02,0.48,1440000
1986-05-14,0.00,1.05,1.02,1.05,0.50,1078400
1986-05-15,0.00,1.05,1.05,1.05,0.49,304000
1986-05-16,0.00,1.05,1.02,1.03,0.49,1712000
1986-05-19,0.00,1.03,1.00,1.01,0.48,707200
1986-05-20,0.00,1.02,1.00,1.01,0.48,118400
1986-05-21,0.00,1.04,1.01,1.02,0.48,419200
1986-05-22,0.00,1.04,1.02,1.04,0.49,188800
1986-05-23,0.00,1.12,1.04,1.12,0.53,1968000
