Date,Open,High,Low,Close,Adj Close,Volume
2015-06-25,24.62,25.75,24.51,25.40,25.04,25922300
2015-06-26,25.49,25.89,24.75,24.85,24.50,3807900
2015-06-29,24.01,24.94,23.42,24.37,24.03,1871200
2015-06-30,24.85,25.74,24.50,25.10,24.75,840800
2015-07-01,25.01,25.30,24.52,24.95,24.60,780000
2015-07-02,25.03,25.10,24.60,25.00,24.65,450500
2015-07-06,24.31,25.10,24.31,24.77,24.42,131700
2015-07-07,24.98,24.98,24.50,24.59,24.24,519000
2015-07-08,24.75,24.86,24.21,24.42,24.08,658000
2015-07-09,24.55,24.73,24.18,24.33,23.99,538700
2015-07-10,24.45,24.57,24.19,24.45,24.10,774600
2015-07-13,24.56,25.30,24.56,25.26,24.90,377700
2015-07-14,25.33,25.39,24.90,25.05,24.70,302900
2015-07-15,24.94,25.17,24.50,24.75,24.40,196100
2015-07-16,25.00,25.20,24.74,24.78,24.43,446200
2015-07-17,24.79,25.06,24.53,24.92,24.57,542800
2015-07-20,24.85,24.90,24.71,24.72,24.37,125000
2015-07-21,24.70,25.00,24.61,24.87,24.52,187100
2015-07-22,24.90,25.02,24.77,24.89,24.54,616400
2015-07-23,24.87,25.25,24.87,25.25,24.89,320200
2015-07-24,24.99,25.35,24.76,24.85,24.50,175500
2015-07-27,24.51,24.95,24.02,24.39,24.05,389500
2015-07-28,24.51,24.80,24.34,24.60,24.25,310900
2015-07-29,24.35,25.35,24.35,25.18,24.82,815000
2015-07-30,24.94,25.26,24.69,25.11,24.76,277100
2015-07-31,25.04,25.27,24.90,25.10,24.75,221700
2015-08-03,25.02,25.33,24.90,25.27,24.91,313300
2015-08-04,24.80,25.85,24.66,25.74,25.38,409400
2015-08-05,25.70,27.01,25.59,26.65,26.27,1156400
2015-08-06,26.75,27.00,26.16,26.57,26.19,520800
2015-08-07,26.39,26.52,25.96,26.24,25.87,161600
2015-08-10,26.39,26.63,26.27,26.35,25.98,260500
2015-08-11,26.38,26.58,26.08,26.15,25.78,183900
2015-08-12,25.87,26.22,25.50,26.14,25.77,1426800
2015-08-13,25.93,26.19,25.41,26.00,25.63,301100
2015-08-14,26.00,27.02,25.52,26.85,26.47,318000
2015-08-17,27.00,27.00,26.37,26.75,26.37,777600
2015-08-18,26.25,26.50,25.64,25.73,25.37,749900
2015-08-19,25.86,26.41,25.66,26.23,25.86,539000
2015-08-20,26.08,26.44,25.89,25.94,25.57,192900
2015-08-21,25.89,26.01,25.17,25.41,25.05,375500
2015-08-24,24.02,24.97,23.30,24.13,23.79,778200
2015-08-25,24.99,25.25,23.83,24.29,23.95,657800
2015-08-26,24.81,25.19,24.12,24.99,24.64,349800
2015-08-27,25.45,26.18,25.14,25.52,25.16,265500
2015-08-28,25.39,26.00,25.25,25.76,25.40,200400
2015-08-31,25.69,26.07,25.38,25.86,25.49,434200
2015-09-01,25.17,25.89,24.81,24.93,24.58,236600
2015-09-02,25.05,25.68,24.93,25.50,25.14,410600
2015-09-03,25.43,25.98,25.37,25.90,25.53,377300
2015-09-04,25.35,25.94,25.24,25.37,25.01,893300
2015-09-08,25.63,26.35,25.53,25.78,25.42,709400
2015-09-09,25.90,26.35,25.68,25.72,25.36,702500
2015-09-10,25.53,25.65,25.20,25.61,25.25,318500
2015-09-11,25.35,25.73,25.35,25.64,25.28,195300
2015-09-14,25.57,25.75,25.24,25.35,24.99,270700
2015-09-15,25.24,25.81,25.17,25.78,25.42,274100
2015-09-16,25.86,26.11,25.52,25.91,25.54,422200
2015-09-17,25.93,26.34,25.76,25.94,25.57,452800
2015-09-18,25.46,26.07,24.68,24.70,24.35,2086900
2015-09-21,24.91,25.69,24.89,25.43,25.07,249200
2015-09-22,25.26,25.37,24.74,24.94,24.59,331100
2015-09-23,25.01,25.43,24.92,25.18,24.82,414100
2015-09-24,24.79,25.23,24.26,25.15,24.80,895700
2015-09-25,25.23,25.72,25.00,25.56,25.20,279900
2015-09-28,25.61,25.61,24.53,24.65,24.30,499400
2015-09-29,24.69,24.97,23.96,24.08,23.74,621300
2015-09-30,24.20,25.66,24.11,25.12,24.77,3047500
2015-10-01,25.13,25.82,24.19,24.54,24.19,850300
2015-10-02,24.24,24.67,23.66,24.66,24.31,452800
2015-10-05,24.77,25.09,24.57,24.62,24.27,225500
2015-10-06,24.47,24.98,24.17,24.53,24.18,347600
2015-10-07,24.60,25.01,24.36,25.01,24.66,263800
2015-10-08,24.93,25.07,24.37,24.95,24.60,299200
2015-10-09,24.97,25.59,24.86,25.00,24.65,279700
2015-10-12,24.95,25.02,24.58,24.85,24.50,211500
2015-10-13,24.69,25.11,24.47,24.81,24.46,321400
2015-10-14,24.75,24.86,23.87,24.34,24.00,513800
2015-10-15,24.42,24.62,24.11,24.34,24.00,728500
2015-10-16,24.25,24.81,24.06,24.40,24.06,253800
2015-10-19,24.34,24.63,24.00,24.10,23.76,202100
2015-10-20,24.04,24.71,23.90,24.54,24.19,727700
2015-10-21,24.57,24.75,23.93,24.08,23.74,208900
2015-10-22,24.12,24.36,23.12,23.19,22.86,525100
2015-10-23,23.34,24.11,23.15,23.71,23.38,561500
2015-10-26,23.67,24.16,23.66,24.11,23.77,285100
2015-10-27,24.12,24.29,23.90,24.27,23.93,485700
2015-10-28,24.87,25.46,24.47,25.27,24.91,734600
2015-10-29,25.05,25.54,24.85,25.52,25.16,184200
2015-10-30,25.35,25.90,25.35,25.71,25.35,447900
2015-11-02,25.69,26.19,25.44,25.91,25.54,308400
2015-11-03,25.94,26.09,25.46,25.95,25.58,429300
2015-11-04,25.99,26.07,25.69,25.96,25.59,227700
2015-11-05,26.01,26.02,25.43,25.72,25.36,126600
2015-11-06,25.81,26.01,25.52,25.87,25.50,201600
2015-11-09,25.82,25.87,25.26,25.65,25.29,85200
2015-11-10,25.64,25.83,25.25,25.66,25.30,150800
2015-11-11,25.75,25.88,25.45,25.59,25.23,107500
2015-11-12,25.37,25.87,25.37,25.76,25.40,208100
2015-11-13,25.64,25.94,25.41,25.70,25.34,340000
2015-11-16,25.58,25.97,25.31,25.92,25.55,197600
2015-11-17,25.85,26.04,25.62,25.86,25.49,185000
2015-11-18,25.89,26.06,25.67,26.02,25.65,273700
2015-11-19,25.96,26.16,25.35,25.64,25.28,289300
2015-11-20,25.77,25.93,25.39,25.75,25.39,231900
2015-11-23,25.65,26.08,25.46,25.63,25.27,153400
2015-11-24,25.17,25.71,25.15,25.70,25.34,158700
2015-11-25,25.70,25.92,25.39,25.63,25.27,151500
2015-11-27,25.58,25.90,25.24,25.35,24.99,74600
2015-11-30,25.43,26.18,25.17,25.57,25.21,516400
2015-12-01,25.71,26.78,25.67,26.39,26.02,353000
2015-12-02,26.27,26.69,26.19,26.52,26.15,270900
2015-12-03,26.59,27.00,25.99,26.26,25.89,291100
2015-12-04,26.19,26.66,25.91,26.34,25.97,344500
2015-12-07,26.17,26.32,25.76,26.24,25.87,181000
2015-12-08,26.14,26.37,25.90,26.29,25.92,179200
2015-12-09,26.19,26.61,25.97,26.49,26.12,223800
2015-12-10,26.40,26.67,26.20,26.51,26.14,317900
2015-12-11,26.20,26.39,25.87,25.91,25.54,389700
