Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,2.22,2.00,2.00,1.43,10800
1980-03-18,0.00,2.22,2.00,2.00,1.43,8100
1980-03-19,0.00,2.22,2.00,2.00,1.43,3150
1980-03-20,0.00,2.22,2.00,2.00,1.43,9900
1980-03-21,0.00,2.11,1.89,1.89,1.35,9900
1980-03-24,0.00,2.06,1.83,1.83,1.31,24300
1980-03-25,0.00,2.06,1.83,1.83,1.31,21150
1980-03-26,0.00,2.06,1.83,1.83,1.31,900
1980-03-27,0.00,1.94,1.72,1.72,1.24,22950
1980-03-28,0.00,2.00,1.78,1.78,1.28,6750
1980-03-31,0.00,2.00,1.78,1.78,1.28,7200
1980-04-01,0.00,2.00,1.78,1.78,1.28,1800
1980-04-02,0.00,2.00,1.78,1.78,1.28,5850
1980-04-03,0.00,2.00,1.78,1.78,1.28,6300
1980-04-07,0.00,1.94,1.72,1.72,1.24,5850
1980-04-08,0.00,1.89,1.67,1.67,1.20,18450
1980-04-09,0.00,1.89,1.67,1.67,1.20,14400
1980-04-10,0.00,2.00,1.78,1.78,1.28,13500
1980-04-11,0.00,2.11,1.89,1.89,1.35,16650
1980-04-14,0.00,2.00,1.78,1.78,1.28,10350
1980-04-15,0.00,1.89,1.67,1.67,1.20,4950
1980-04-16,0.00,1.89,1.67,1.67,1.20,6300
1980-04-17,1.67,1.67,1.67,1.67,1.20,0
1980-04-18,0.00,1.89,1.67,1.67,1.20,1350
1980-04-21,0.00,1.83,1.61,1.61,1.16,14400
1980-04-22,0.00,1.94,1.72,1.72,1.24,13500
1980-04-23,0.00,2.11,1.89,1.89,1.35,22050
1980-04-24,0.00,2.06,1.83,1.83,1.31,20250
1980-04-25,0.00,2.00,1.78,1.78,1.28,5400
1980-04-28,0.00,2.00,1.78,1.78,1.28,4500
1980-04-29,0.00,2.00,1.78,1.78,1.28,13050
1980-04-30,0.00,2.00,1.78,1.78,1.28,9900
1980-05-01,0.00,2.00,1.78,1.78,1.28,20700
1980-05-02,0.00,2.00,1.78,1.78,1.28,6750
1980-05-05,0.00,1.94,1.72,1.72,1.24,23850
1980-05-06,0.00,2.00,1.78,1.78,1.28,47700
1980-05-07,0.00,2.06,1.83,1.83,1.31,32400
1980-05-08,0.00,2.06,1.83,1.83,1.31,52650
1980-05-09,0.00,2.00,1.78,1.78,1.28,32850
1980-05-12,0.00,2.00,1.78,1.78,1.28,19800
1980-05-13,0.00,2.06,1.83,1.83,1.31,36000
1980-05-14,0.00,2.22,2.00,2.00,1.43,17100
1980-05-15,0.00,2.28,2.06,2.06,1.47,10800
1980-05-16,0.00,2.44,2.22,2.22,1.59,36900
1980-05-19,0.00,2.39,2.17,2.17,1.55,1350
1980-05-20,0.00,2.33,2.11,2.11,1.51,4950
1980-05-21,0.00,2.33,2.11,2.11,1.51,9000
1980-05-22,0.00,2.33,2.11,2.11,1.51,4500
1980-05-23,0.00,2.33,2.11,2.11,1.51,4500
1980-05-27,0.00,2.39,2.17,2.17,1.55,900
1980-05-28,0.00,2.39,2.17,2.17,1.55,3600
