Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.64,0.62,0.62,0.37,168000
1980-03-18,0.00,0.62,0.61,0.62,0.37,172800
1980-03-19,0.00,0.62,0.61,0.62,0.37,120000
1980-03-20,0.00,0.62,0.62,0.62,0.37,134400
1980-03-21,0.00,0.64,0.62,0.62,0.37,170400
1980-03-24,0.00,0.63,0.62,0.62,0.37,211200
1980-03-25,0.00,0.64,0.61,0.62,0.37,328800
1980-03-26,0.00,0.62,0.61,0.61,0.36,72000
1980-03-27,0.00,0.61,0.56,0.56,0.33,343200
1980-03-28,0.00,0.61,0.57,0.60,0.36,324000
1980-03-31,0.00,0.60,0.58,0.60,0.36,350400
1980-04-01,0.00,0.60,0.59,0.60,0.36,1276800
1980-04-02,0.00,0.59,0.57,0.59,0.35,108000
1980-04-03,0.00,0.59,0.58,0.59,0.35,98400
1980-04-07,0.00,0.58,0.57,0.58,0.34,74400
1980-04-08,0.00,0.58,0.57,0.57,0.34,160800
1980-04-09,0.00,0.57,0.56,0.57,0.34,74400
1980-04-10,0.00,0.58,0.56,0.57,0.34,172800
1980-04-11,0.00,0.58,0.56,0.57,0.34,194400
1980-04-14,0.00,0.58,0.57,0.57,0.34,64800
1980-04-15,0.00,0.58,0.57,0.57,0.34,69600
1980-04-16,0.00,0.57,0.57,0.57,0.34,547200
1980-04-17,0.00,0.57,0.55,0.55,0.33,139200
1980-04-18,0.00,0.56,0.55,0.56,0.33,40800
1980-04-21,0.00,0.56,0.54,0.54,0.32,115200
1980-04-22,0.00,0.55,0.54,0.54,0.32,96000
1980-04-23,0.00,0.57,0.54,0.54,0.32,266400
1980-04-24,0.00,0.56,0.55,0.55,0.33,163200
1980-04-25,0.00,0.56,0.55,0.56,0.33,45600
1980-04-28,0.00,0.56,0.55,0.56,0.33,381600
1980-04-29,0.00,0.57,0.54,0.55,0.33,1545600
1980-04-30,0.00,0.55,0.55,0.55,0.33,45600
1980-05-01,0.00,0.55,0.54,0.54,0.32,84000
1980-05-02,0.00,0.55,0.53,0.53,0.31,240000
1980-05-05,0.00,0.55,0.54,0.55,0.33,81600
1980-05-06,0.00,0.55,0.54,0.55,0.33,247200
1980-05-07,0.00,0.56,0.54,0.55,0.33,571200
1980-05-08,0.00,0.56,0.54,0.54,0.32,223200
1980-05-09,0.00,0.55,0.54,0.55,0.33,117600
1980-05-12,0.00,0.55,0.55,0.55,0.33,96000
1980-05-13,0.00,0.55,0.55,0.55,0.33,62400
1980-05-14,0.00,0.58,0.56,0.58,0.34,122400
1980-05-15,0.00,0.60,0.58,0.60,0.36,345600
1980-05-16,0.00,0.61,0.60,0.61,0.36,115200
1980-05-19,0.00,0.63,0.62,0.63,0.37,232800
1980-05-20,0.00,0.64,0.63,0.64,0.38,100800
1980-05-21,0.00,0.64,0.61,0.61,0.37,139200
1980-05-22,0.00,0.62,0.61,0.61,0.37,60000
1980-05-23,0.00,0.62,0.57,0.58,0.35,499200
1980-05-27,0.00,0.60,0.58,0.59,0.35,72000
1980-05-28,0.00,0.61,0.59,0.60,0.36,151200
1980-05-29,0.00,0.60,0.59,0.59,0.35,120000
1980-05-30,0.00,0.59,0.58,0.58,0.35,175200
1980-06-02,0.00,0.58,0.57,0.57,0.34,307200
1980-06-03,0.00,0.58,0.57,0.58,0.34,386400
1980-06-04,0.00,0.58,0.57,0.57,0.34,172800
1980-06-05,0.00,0.58,0.57,0.58,0.34,223200
1980-06-06,0.00,0.57,0.56,0.56,0.33,127200
1980-06-09,0.00,0.57,0.56,0.56,0.33,110400
1980-06-10,0.00,0.57,0.56,0.57,0.34,1212000
1980-06-11,0.00,0.59,0.58,0.58,0.35,321600
1980-06-12,0.00,0.59,0.57,0.59,0.35,758400
1980-06-13,0.00,0.59,0.58,0.59,0.35,76800
1980-06-16,0.00,0.59,0.58,0.58,0.35,189600
1980-06-17,0.00,0.59,0.58,0.58,0.35,134400
1980-06-18,0.00,0.59,0.58,0.58,0.34,153600
1980-06-19,0.00,0.58,0.57,0.57,0.34,189600
1980-06-20,0.00,0.57,0.56,0.57,0.34,93600
1980-06-23,0.00,0.58,0.54,0.56,0.33,232800
1980-06-24,0.00,0.57,0.55,0.57,0.34,158400
1980-06-25,0.00,0.56,0.55,0.56,0.33,69600
1980-06-26,0.00,0.56,0.55,0.55,0.33,249600
1980-06-27,0.00,0.56,0.54,0.54,0.32,288000
1980-06-30,0.00,0.54,0.53,0.54,0.32,225600
1980-07-01,0.00,0.55,0.54,0.55,0.33,180000
1980-07-02,0.00,0.56,0.54,0.56,0.33,300000
1980-07-03,0.00,0.58,0.56,0.58,0.34,696000
1980-07-07,0.00,0.61,0.57,0.61,0.36,1130400
1980-07-08,0.00,0.61,0.58,0.59,0.35,508800
1980-07-09,0.00,0.59,0.57,0.59,0.35,506400
1980-07-10,0.00,0.59,0.58,0.58,0.35,487200
1980-07-11,0.00,0.58,0.58,0.58,0.34,451200
1980-07-14,0.00,0.59,0.58,0.59,0.35,1036800
1980-07-15,0.00,0.60,0.59,0.60,0.36,398400
1980-07-16,0.00,0.65,0.60,0.63,0.37,547200
1980-07-17,0.00,0.64,0.61,0.61,0.37,434400
1980-07-18,0.00,0.66,0.61,0.64,0.38,424800
1980-07-21,0.00,0.65,0.64,0.65,0.38,355200
1980-07-22,0.00,0.67,0.64,0.66,0.39,424800
1980-07-23,0.00,0.66,0.65,0.65,0.38,312000
1980-07-24,0.00,0.66,0.65,0.66,0.39,156000
1980-07-25,0.00,0.66,0.63,0.66,0.39,386400
1980-07-28,0.00,0.66,0.62,0.62,0.37,708000
1980-07-29,0.00,0.64,0.62,0.62,0.37,492000
1980-07-30,0.00,0.72,0.62,0.72,0.43,1502400
1980-07-31,0.00,0.72,0.69,0.71,0.42,602400
1980-08-01,0.00,0.71,0.69,0.70,0.42,460800
1980-08-04,0.00,0.71,0.70,0.70,0.42,252000
1980-08-05,0.00,0.70,0.69,0.70,0.42,432000
1980-08-06,0.00,0.76,0.69,0.74,0.44,686400
1980-08-07,0.00,0.77,0.73,0.74,0.44,448800
1980-08-08,0.00,0.74,0.72,0.72,0.43,283200
1980-08-11,0.00,0.73,0.71,0.72,0.43,216000
1980-08-12,0.00,0.73,0.72,0.72,0.43,117600
1980-08-13,0.00,0.71,0.70,0.71,0.42,271200
1980-08-14,0.00,0.71,0.70,0.70,0.42,69600
1980-08-15,0.00,0.71,0.70,0.70,0.42,367200
1980-08-18,0.00,0.70,0.67,0.67,0.40,1898400
1980-08-19,0.00,0.68,0.66,0.67,0.40,148800
1980-08-20,0.00,0.69,0.67,0.68,0.41,144000
1980-08-21,0.00,0.71,0.67,0.71,0.42,199200
1980-08-22,0.00,0.73,0.71,0.71,0.42,182400
1980-08-25,0.00,0.73,0.71,0.73,0.43,153600
1980-08-26,0.00,0.74,0.71,0.71,0.42,302400
1980-08-27,0.00,0.71,0.69,0.69,0.41,129600
1980-08-28,0.00,0.70,0.69,0.70,0.42,91200
1980-08-29,0.00,0.71,0.69,0.71,0.42,72000
1980-09-02,0.00,0.72,0.70,0.71,0.42,124800
1980-09-03,0.00,0.72,0.71,0.72,0.43,134400
1980-09-04,0.00,0.73,0.71,0.72,0.43,165600
1980-09-05,0.00,0.72,0.70,0.70,0.42,160800
1980-09-08,0.00,0.71,0.70,0.71,0.42,206400
1980-09-09,0.00,0.70,0.69,0.70,0.42,93600
1980-09-10,0.00,0.71,0.69,0.70,0.42,432000
1980-09-11,0.00,0.73,0.70,0.73,0.43,1380000
1980-09-12,0.00,0.73,0.71,0.73,0.43,141600
1980-09-15,0.00,0.73,0.72,0.73,0.43,1308000
1980-09-16,0.00,0.75,0.73,0.74,0.44,4008000
1980-09-17,0.00,0.83,0.74,0.83,0.49,3134400
1980-09-18,0.00,0.83,0.80,0.81,0.48,2172000
1980-09-19,0.00,0.82,0.76,0.80,0.47,1200000
1980-09-22,0.00,0.79,0.77,0.79,0.47,804000
1980-09-23,0.00,0.79,0.76,0.76,0.45,1248000
1980-09-24,0.00,0.76,0.73,0.76,0.45,1092000
1980-09-25,0.00,0.78,0.75,0.76,0.45,1096800
1980-09-26,0.00,0.75,0.73,0.74,0.44,484800
1980-09-29,0.00,0.72,0.70,0.71,0.42,770400
1980-09-30,0.00,0.76,0.71,0.75,0.45,676800
1980-10-01,0.00,0.75,0.73,0.73,0.44,672000
1980-10-02,0.00,0.74,0.73,0.74,0.44,124800
1980-10-03,0.00,0.74,0.72,0.74,0.44,333600
1980-10-06,0.00,0.76,0.73,0.75,0.45,266400
1980-10-07,0.00,0.76,0.75,0.76,0.45,285600
1980-10-08,0.00,0.75,0.74,0.75,0.45,60000
1980-10-09,0.00,0.75,0.73,0.74,0.44,410400
1980-10-10,0.00,0.74,0.73,0.74,0.44,184800
1980-10-13,0.00,0.74,0.73,0.74,0.44,160800
1980-10-14,0.00,0.74,0.73,0.73,0.43,393600
1980-10-15,0.00,0.73,0.72,0.73,0.43,64800
1980-10-16,0.00,0.73,0.71,0.71,0.42,156000
1980-10-17,0.00,0.73,0.71,0.72,0.43,511200
1980-10-20,0.00,0.73,0.72,0.72,0.43,232800
1980-10-21,0.00,0.73,0.70,0.70,0.42,393600
1980-10-22,0.00,0.72,0.71,0.72,0.43,180000
1980-10-23,0.00,0.72,0.71,0.71,0.42,259200
1980-10-24,0.00,0.71,0.69,0.69,0.41,189600
1980-10-27,0.00,0.69,0.68,0.68,0.41,120000
1980-10-28,0.00,0.70,0.68,0.70,0.42,52800
