Date,Open,High,Low,Close,Adj Close,Volume
2016-09-21,2.88,3.04,2.78,3.01,3.01,63438000
2016-09-22,3.10,3.17,2.84,2.89,2.89,22728000
2016-09-23,2.88,2.89,2.68,2.77,2.77,10587000
2016-09-26,2.71,2.84,2.70,2.78,2.78,3061000
2016-09-27,2.83,3.08,2.73,3.00,3.00,10158000
2016-09-28,3.07,3.34,3.00,3.34,3.34,20565000
2016-09-29,3.26,3.32,2.88,2.90,2.90,17033000
2016-09-30,2.93,3.10,2.92,2.92,2.92,9490000
2016-10-03,2.91,2.93,2.62,2.64,2.64,10804000
2016-10-04,2.64,2.72,2.36,2.38,2.38,13381000
2016-10-05,2.44,2.52,2.35,2.48,2.48,9634000
2016-10-06,2.51,2.69,2.46,2.61,2.61,8553000
2016-10-07,2.53,2.65,2.50,2.63,2.63,4485000
2016-10-10,2.58,2.64,2.51,2.53,2.53,3645000
2016-10-11,2.51,2.59,2.35,2.55,2.55,5394000
2016-10-12,2.53,2.70,2.53,2.69,2.69,3318000
2016-10-13,2.64,2.67,2.55,2.60,2.60,2453000
2016-10-14,2.61,2.72,2.61,2.64,2.64,2229000
2016-10-17,2.70,2.72,2.61,2.63,2.63,3376000
2016-10-18,2.63,2.65,2.58,2.59,2.59,1716000
2016-10-19,2.58,2.62,2.53,2.55,2.55,1116000
2016-10-20,2.51,2.67,2.51,2.65,2.65,1041000
2016-10-21,2.65,2.75,2.62,2.75,2.75,2359000
2016-10-24,2.74,2.87,2.70,2.85,2.85,2728000
2016-10-25,2.86,2.95,2.86,2.88,2.88,2805000
2016-10-26,2.89,2.91,2.79,2.82,2.82,1825000
2016-10-27,2.82,2.86,2.54,2.55,2.55,3674000
2016-10-28,2.58,2.68,2.55,2.56,2.56,1685000
2016-10-31,2.60,2.60,2.42,2.52,2.52,1765000
2016-11-01,2.54,2.57,2.50,2.52,2.52,889000
2016-11-02,2.50,2.60,2.42,2.44,2.44,1825000
2016-11-03,2.43,2.45,2.20,2.29,2.29,4019000
2016-11-04,2.29,2.42,2.28,2.39,2.39,1537000
