Date,Open,High,Low,Close,Adj Close,Volume
1997-04-15,3.67,3.92,3.42,3.92,3.92,1785600
1997-04-16,3.92,4.17,3.58,3.71,3.71,443700
1997-04-17,3.75,4.08,3.75,3.83,3.83,252150
1997-04-18,3.83,4.00,3.83,4.00,4.00,165900
1997-04-21,3.92,4.00,3.92,4.00,4.00,77400
1997-04-22,4.00,4.00,3.92,3.92,3.92,81600
1997-04-23,4.00,4.50,3.92,4.50,4.50,180600
1997-04-24,4.50,5.00,4.42,4.83,4.83,281550
1997-04-25,4.92,4.92,4.42,4.50,4.50,114150
1997-04-28,4.50,4.71,4.33,4.33,4.33,76650
1997-04-29,4.33,4.92,4.33,4.92,4.92,122250
1997-04-30,4.75,5.08,4.75,5.04,5.04,78450
1997-05-01,5.00,5.17,5.00,5.12,5.12,33450
1997-05-02,5.00,5.00,4.67,5.00,5.00,70200
1997-05-05,4.83,5.00,4.83,4.83,4.83,12300
1997-05-06,4.83,4.92,4.83,4.83,4.83,64650
1997-05-07,4.83,4.92,4.67,4.92,4.92,37650
1997-05-08,4.75,4.92,4.75,4.75,4.75,63600
1997-05-09,4.92,4.92,4.75,4.83,4.83,35700
1997-05-12,4.92,5.67,4.83,5.42,5.42,289800
1997-05-13,5.42,5.67,5.42,5.67,5.67,24900
1997-05-14,5.67,5.67,5.50,5.50,5.50,207750
1997-05-15,5.50,5.50,5.33,5.33,5.33,75150
1997-05-16,5.33,5.50,5.00,5.50,5.50,158250
1997-05-19,5.33,5.50,5.25,5.42,5.42,60600
1997-05-20,5.42,5.42,5.25,5.25,5.25,31950
1997-05-21,5.25,5.33,4.75,5.17,5.17,146550
1997-05-22,5.17,5.25,5.17,5.17,5.17,26850
1997-05-23,5.17,5.25,5.08,5.12,5.12,42300
1997-05-27,5.25,5.42,5.00,5.33,5.33,156600
1997-05-28,5.42,5.42,5.17,5.33,5.33,36900
1997-05-29,5.33,5.67,5.25,5.33,5.33,105300
1997-05-30,5.33,5.33,5.00,5.25,5.25,127500
1997-06-02,5.29,5.29,5.25,5.25,5.25,25950
1997-06-03,5.25,5.58,5.25,5.50,5.50,184050
1997-06-04,5.42,5.54,5.33,5.33,5.33,47400
1997-06-05,5.33,5.50,5.33,5.46,5.46,48000
1997-06-06,5.50,5.50,5.33,5.33,5.33,29850
1997-06-09,5.33,5.50,5.33,5.33,5.33,23100
1997-06-10,5.33,5.42,5.33,5.33,5.33,14850
1997-06-11,5.33,5.42,5.33,5.42,5.42,5400
1997-06-12,5.33,6.00,5.33,5.75,5.75,213150
1997-06-13,6.00,6.00,5.75,5.75,5.75,55050
1997-06-16,5.75,5.83,5.75,5.75,5.75,8250
1997-06-17,5.83,5.83,5.58,5.67,5.67,83850
1997-06-18,5.67,5.83,5.50,5.58,5.58,67500
1997-06-19,5.75,5.75,5.42,5.50,5.50,67500
1997-06-20,5.42,5.58,5.42,5.50,5.50,19200
1997-06-23,5.42,5.50,5.42,5.42,5.42,61500
1997-06-24,5.42,5.58,5.42,5.58,5.58,87900
1997-06-25,5.42,5.42,5.08,5.33,5.33,44550
1997-06-26,5.33,5.79,5.33,5.79,5.79,107250
1997-06-27,5.83,5.83,5.58,5.71,5.71,35250
1997-06-30,5.67,5.83,5.58,5.58,5.58,42300
1997-07-01,5.67,5.75,5.58,5.58,5.58,29700
