Date,Open,High,Low,Close,Adj Close,Volume
2011-10-14,16.50,19.00,16.25,17.50,16.71,2954400
2011-10-17,17.72,18.95,17.50,18.60,17.76,354600
2011-10-18,18.80,19.00,18.21,19.00,18.14,136200
2011-10-19,19.00,19.42,17.48,17.65,16.85,145000
2011-10-20,17.60,18.30,17.58,17.88,17.07,260300
2011-10-21,18.03,19.80,17.81,19.56,18.67,644400
2011-10-24,19.57,21.50,19.57,20.23,19.31,194000
2011-10-25,19.97,20.43,19.06,19.39,18.51,125000
2011-10-26,19.77,20.20,18.71,19.04,18.18,59700
2011-10-27,19.74,20.00,18.75,19.12,18.25,60500
2011-10-28,19.44,20.39,19.01,20.39,19.47,69500
2011-10-31,20.31,21.25,19.48,20.99,20.04,123400
2011-11-01,20.27,20.94,19.76,20.46,19.53,271000
2011-11-02,20.89,21.20,19.80,20.75,19.81,56200
2011-11-03,21.05,21.15,20.12,20.17,19.26,79700
2011-11-04,19.86,20.27,19.08,19.27,18.40,97300
2011-11-07,19.01,19.75,18.85,18.86,18.00,48300
2011-11-08,19.18,19.33,18.50,18.71,17.86,55300
2011-11-09,18.50,19.00,18.50,18.72,17.87,78100
2011-11-10,18.96,19.35,18.51,18.60,17.76,40300
2011-11-11,21.40,21.50,19.33,19.46,18.58,215500
2011-11-14,19.12,20.63,19.12,19.71,18.82,59700
2011-11-15,19.51,19.95,19.41,19.85,18.95,60300
2011-11-16,19.54,20.26,19.40,20.05,19.14,30900
2011-11-17,19.86,22.26,19.86,22.01,21.01,332900
2011-11-18,22.25,23.04,22.24,22.36,21.35,223100
2011-11-21,22.13,22.31,20.20,20.47,19.54,520400
2011-11-22,20.48,20.62,19.61,20.54,19.61,67900
2011-11-23,20.71,20.98,19.32,19.67,18.78,251600
2011-11-25,19.69,20.50,19.36,19.36,18.48,54400
2011-11-28,19.88,20.32,19.30,19.37,18.49,99800
2011-11-29,19.43,19.65,18.75,18.88,18.02,99400
2011-11-30,19.69,19.83,19.06,19.76,18.86,124700
2011-12-01,19.68,20.27,19.50,19.99,19.08,110600
2011-12-02,20.27,20.40,19.55,20.25,19.33,98800
2011-12-05,20.65,20.65,19.75,19.93,19.03,75400
