Date,Open,High,Low,Close,Adj Close,Volume
1984-10-17,0.00,0.15,0.14,0.14,0.12,9868800
1984-10-18,0.00,0.16,0.15,0.15,0.12,5324800
1984-10-19,0.00,0.15,0.14,0.14,0.12,3043200
1984-10-22,0.00,0.15,0.14,0.14,0.12,2326400
1984-10-23,0.00,0.14,0.14,0.14,0.12,787200
1984-10-24,0.00,0.15,0.14,0.14,0.12,230400
1984-10-25,0.00,0.15,0.14,0.14,0.12,1587200
1984-10-26,0.00,0.14,0.14,0.14,0.12,758400
1984-10-29,0.00,0.14,0.14,0.14,0.12,614400
1984-10-30,0.00,0.15,0.14,0.14,0.12,192000
1984-10-31,0.00,0.15,0.14,0.14,0.12,297600
1984-11-01,0.00,0.14,0.14,0.14,0.12,352000
1984-11-02,0.00,0.14,0.14,0.14,0.12,1638400
1984-11-05,0.00,0.14,0.14,0.14,0.11,534400
1984-11-06,0.00,0.14,0.14,0.14,0.11,544000
1984-11-07,0.00,0.14,0.14,0.14,0.11,76800
1984-11-08,0.00,0.14,0.14,0.14,0.11,44800
1984-11-09,0.00,0.14,0.14,0.14,0.11,896000
1984-11-12,0.00,0.14,0.14,0.14,0.11,300800
1984-11-13,0.00,0.14,0.14,0.14,0.11,464000
1984-11-14,0.00,0.14,0.13,0.13,0.11,1523200
1984-11-15,0.00,0.14,0.13,0.13,0.11,156800
1984-11-16,0.00,0.14,0.12,0.12,0.10,579200
1984-11-19,0.00,0.14,0.12,0.12,0.10,358400
1984-11-20,0.00,0.13,0.12,0.12,0.10,179200
1984-11-21,0.00,0.13,0.12,0.12,0.10,905600
1984-11-23,0.00,0.13,0.12,0.12,0.10,25600
1984-11-26,0.00,0.13,0.12,0.12,0.10,166400
1984-11-27,0.00,0.13,0.13,0.13,0.11,147200
1984-11-28,0.00,0.13,0.13,0.13,0.11,492800
1984-11-29,0.00,0.13,0.13,0.13,0.11,262400
1984-11-30,0.00,0.13,0.13,0.13,0.11,556800
1984-12-03,0.00,0.13,0.12,0.12,0.10,380800
1984-12-04,0.00,0.13,0.12,0.12,0.10,217600
1984-12-05,0.00,0.13,0.12,0.12,0.10,102400
