Date,Open,High,Low,Close,Adj Close,Volume
2015-06-17,22.00,22.00,22.00,22.00,22.00,0
2015-06-18,24.10,25.76,24.05,25.40,25.40,18002100
2015-06-19,25.25,27.75,24.67,27.25,27.25,1802600
2015-06-22,27.35,27.35,26.17,26.75,26.75,672600
2015-06-23,26.48,27.40,26.16,27.00,27.00,865500
2015-06-24,27.00,27.00,26.15,26.15,26.15,529800
2015-06-25,26.00,26.48,25.59,26.33,26.33,312000
2015-06-26,26.70,26.75,25.02,26.49,26.49,193200
2015-06-29,25.79,26.50,25.67,25.99,25.99,452300
2015-06-30,25.96,26.10,25.69,26.03,26.03,175800
2015-07-01,26.50,26.75,25.84,25.96,25.96,275900
2015-07-02,25.90,26.55,25.34,25.94,25.94,609000
2015-07-06,25.47,26.05,25.05,25.31,25.31,214600
2015-07-07,25.20,25.50,24.29,25.41,25.41,245900
2015-07-08,24.70,25.28,24.57,24.86,24.86,125300
2015-07-09,25.20,25.26,24.59,24.91,24.91,111300
2015-07-10,25.00,25.22,24.63,24.90,24.90,91300
2015-07-13,24.75,25.15,24.61,25.06,25.06,363300
2015-07-14,25.28,25.52,24.69,24.91,24.91,164800
2015-07-15,24.85,25.30,24.81,24.99,24.99,304700
2015-07-16,25.43,25.45,24.68,24.91,24.91,550100
2015-07-17,24.91,26.00,24.91,25.01,25.01,433400
2015-07-20,24.87,24.89,24.27,24.54,24.54,244000
2015-07-21,24.87,24.87,24.28,24.48,24.48,118000
2015-07-22,24.27,24.52,24.26,24.50,24.50,46200
2015-07-23,24.42,24.58,24.31,24.50,24.50,142000
2015-07-24,24.41,24.50,24.25,24.36,24.36,99400
2015-07-27,24.25,24.28,23.57,23.65,23.65,398600
2015-07-28,23.60,23.72,22.69,22.84,22.84,707100
2015-07-29,22.40,22.88,21.41,22.13,22.13,2440000
2015-07-30,21.98,24.12,21.87,23.94,23.94,751300
2015-07-31,23.90,24.23,23.77,23.90,23.90,296200
2015-08-03,23.52,23.69,22.38,22.71,22.71,924500
2015-08-04,22.85,23.46,22.78,22.91,22.91,519700
2015-08-05,23.04,23.74,22.82,23.47,23.47,225500
2015-08-06,23.80,23.80,22.76,23.42,23.42,167900
2015-08-07,23.60,24.00,23.31,23.43,23.43,203500
2015-08-10,23.37,23.65,23.03,23.21,23.21,306700
2015-08-11,23.55,23.55,22.52,22.65,22.65,208100
2015-08-12,22.44,22.72,22.00,22.21,22.21,751100
2015-08-13,22.43,23.16,22.25,22.82,22.82,408900
2015-08-14,23.00,23.00,21.94,22.04,22.04,470400
2015-08-17,22.00,22.47,21.89,22.20,22.20,306900
2015-08-18,22.38,22.51,22.01,22.37,22.37,404000
2015-08-19,22.37,23.23,22.22,22.52,22.52,633300
2015-08-20,22.40,22.78,22.04,22.46,22.46,279000
2015-08-21,22.01,22.60,22.01,22.03,22.03,250200
2015-08-24,20.74,21.69,18.92,21.49,21.49,312600
2015-08-25,21.89,22.47,20.97,21.15,21.15,353800
2015-08-26,20.93,21.72,19.53,21.57,21.57,762900
2015-08-27,21.54,22.18,21.54,22.12,22.12,352800
2015-08-28,22.03,22.84,21.87,22.27,22.27,279400
2015-08-31,22.15,23.05,22.15,22.64,22.64,295600
2015-09-01,21.96,22.73,21.90,22.50,22.50,219800
2015-09-02,22.51,22.73,22.31,22.62,22.62,286300
2015-09-03,22.63,23.25,22.50,23.07,23.07,384600
2015-09-04,22.74,22.83,22.41,22.49,22.49,219000
2015-09-08,22.30,23.29,22.30,22.80,22.80,532600
2015-09-09,22.78,23.50,22.40,22.48,22.48,369200
2015-09-10,22.40,23.26,22.40,22.88,22.88,200400
2015-09-11,22.87,23.43,22.83,22.99,22.99,371200
2015-09-14,22.87,23.07,22.61,22.74,22.74,402800
2015-09-15,22.84,22.84,22.39,22.70,22.70,280400
2015-09-16,22.74,23.19,22.62,23.00,23.00,693600
2015-09-17,22.86,23.00,22.51,22.59,22.59,585800
2015-09-18,22.45,22.66,20.77,20.77,20.77,2145200
2015-09-21,21.27,22.36,20.30,20.37,20.37,818100
2015-09-22,20.29,20.64,19.71,20.38,20.38,459800
2015-09-23,20.30,20.65,19.99,20.33,20.33,385500
2015-09-24,20.13,21.00,19.84,20.65,20.65,423500
2015-09-25,20.69,20.79,20.17,20.47,20.47,428800
2015-09-28,20.27,20.46,19.07,19.09,19.09,449900
2015-09-29,19.07,19.18,18.37,19.12,19.12,666700
2015-09-30,19.30,19.58,17.75,18.15,18.15,6453600
2015-10-01,18.29,18.86,17.47,17.54,17.54,1020600
2015-10-02,17.44,17.44,16.84,17.18,17.18,561200
2015-10-05,17.30,18.07,17.04,18.03,18.03,510600
2015-10-06,18.00,18.45,17.94,18.13,18.13,408200
2015-10-07,18.22,18.30,17.75,18.14,18.14,505300
2015-10-08,18.06,18.81,17.98,18.74,18.74,478500
2015-10-09,18.75,19.57,18.63,19.38,19.38,444800
2015-10-12,19.45,19.69,18.97,19.18,19.18,207200
2015-10-13,19.10,19.25,18.82,19.02,19.02,174300
2015-10-14,18.97,19.16,18.62,18.73,18.73,152300
2015-10-15,18.76,19.08,18.46,19.07,19.07,405900
2015-10-16,19.08,19.19,18.47,18.61,18.61,171100
2015-10-19,18.53,18.67,18.19,18.45,18.45,105700
2015-10-20,18.41,18.78,18.22,18.68,18.68,219700
2015-10-21,18.69,18.69,18.13,18.40,18.40,135100
2015-10-22,18.52,18.77,18.20,18.55,18.55,200400
2015-10-23,18.61,18.73,17.95,17.99,17.99,434800
2015-10-26,17.94,18.25,17.81,17.98,17.98,158600
2015-10-27,17.83,18.07,17.58,18.00,18.00,439600
