Date,Open,High,Low,Close,Adj Close,Volume
1999-11-10,65.00,70.31,64.50,68.25,39.43,80793700
1999-11-11,68.75,76.94,68.75,75.00,43.33,28309000
1999-11-12,76.00,76.62,69.25,70.50,40.73,14768100
1999-11-15,70.50,70.88,67.31,69.00,39.86,8675100
1999-11-16,67.88,68.00,65.00,66.00,38.13,6978600
1999-11-17,65.56,68.19,65.12,67.69,39.11,5806900
1999-11-18,67.94,68.94,66.12,66.31,38.31,4718700
1999-11-19,66.31,66.31,64.25,65.00,37.55,5091100
1999-11-22,64.06,64.25,61.00,63.12,36.47,4785400
1999-11-23,63.38,67.00,63.25,66.19,38.24,2832200
1999-11-24,66.00,68.19,65.94,67.69,39.28,2179400
1999-11-26,68.44,69.44,68.19,69.12,40.12,1322500
1999-11-29,70.00,70.25,67.00,68.12,39.54,1987000
1999-11-30,67.38,67.62,66.06,66.06,38.34,1686100
1999-12-01,66.25,67.38,65.62,65.88,38.23,1405700
1999-12-02,66.00,67.06,65.88,67.06,38.92,1391000
1999-12-03,67.44,67.69,66.31,66.44,38.56,1753500
1999-12-06,66.50,66.50,65.38,66.25,38.45,1398900
1999-12-07,65.94,68.00,65.88,68.00,39.46,1793100
1999-12-08,68.00,68.38,66.75,68.38,39.68,1774000
1999-12-09,68.38,68.75,66.62,67.50,39.17,1713600
1999-12-10,66.38,67.00,65.38,66.12,38.38,1248600
1999-12-13,66.38,66.94,64.88,66.00,38.30,1417800
1999-12-14,66.00,66.00,64.75,65.00,37.72,1886600
1999-12-15,65.00,65.06,63.69,63.75,37.00,1602800
1999-12-16,63.75,64.06,63.25,64.00,37.14,1364600
1999-12-17,64.75,67.62,64.69,66.62,38.67,1980800
1999-12-20,67.69,68.50,66.94,68.50,39.76,1501300
1999-12-21,68.25,69.00,67.50,69.00,40.05,1265200
1999-12-22,68.94,68.94,66.06,67.00,38.88,1264700
1999-12-23,66.50,67.88,65.62,67.75,39.32,1180600
1999-12-27,68.50,69.69,67.50,69.69,40.44,1478800
1999-12-28,69.50,69.69,68.06,69.00,40.05,1051400
1999-12-29,69.00,69.38,67.56,68.00,39.46,904700
1999-12-30,69.25,69.50,68.00,68.00,39.46,926700
1999-12-31,68.88,69.50,68.38,69.00,40.05,649300
2000-01-03,69.69,69.75,67.00,67.06,38.92,1273200
2000-01-04,67.00,67.00,64.62,64.94,37.69,1385800
2000-01-05,64.88,68.00,64.75,68.00,39.46,1401700
2000-01-06,65.88,68.12,65.00,68.00,39.46,1959100
2000-01-07,67.62,67.62,65.75,66.38,38.52,996000
2000-01-10,66.88,67.44,66.44,67.06,38.92,1191700
2000-01-11,67.12,67.44,65.25,65.25,37.87,1020000
2000-01-12,66.12,67.50,65.44,67.38,39.10,1097700
2000-01-13,67.62,68.50,67.38,68.31,39.65,1071200
2000-01-14,68.88,69.25,68.31,69.06,40.08,1160000
2000-01-18,69.00,69.00,67.38,68.69,39.86,980500
2000-01-19,68.50,68.56,67.44,68.25,39.61,1087300
2000-01-20,68.12,69.12,68.12,68.88,39.97,1972000
2000-01-21,68.88,68.88,66.69,67.25,39.03,1270100
2000-01-24,67.88,68.25,66.00,66.00,38.30,831400
2000-01-25,65.62,66.62,64.75,65.88,38.23,1263000
2000-01-26,65.25,65.62,64.50,65.12,37.80,933400
2000-01-27,65.31,65.38,64.00,65.12,37.80,1128400
2000-01-28,65.12,65.88,64.00,64.94,37.69,1324700
2000-01-31,63.00,64.00,59.00,60.00,34.82,5745800
2000-02-01,59.69,61.50,58.31,61.38,35.62,4761000
2000-02-02,59.75,59.94,57.19,58.25,33.81,4740600
