Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,26.00,30.01,22.61,29.47,29.47,13459800
2020-12-17,28.64,39.85,28.25,35.77,35.77,7042200
2020-12-18,38.02,48.66,37.06,44.09,44.09,7266500
2020-12-21,44.00,47.99,40.00,41.10,41.10,2833800
2020-12-22,43.10,48.08,40.65,47.84,47.84,3727400
2020-12-23,47.50,51.40,43.02,46.32,46.32,3142400
2020-12-24,46.59,47.47,42.51,43.96,43.96,873100
2020-12-28,44.31,45.00,38.05,42.63,42.63,1882200
2020-12-29,42.04,42.49,39.51,40.75,40.75,646400
2020-12-30,41.20,41.50,38.11,38.87,38.87,1049500
2020-12-31,38.20,40.95,36.26,40.75,40.75,969000
2021-01-04,40.34,45.00,38.05,43.99,43.99,1347100
2021-01-05,45.10,53.63,44.20,48.37,48.37,3590700
2021-01-06,47.05,57.00,45.14,52.14,52.14,2903200
2021-01-07,55.99,61.26,55.04,55.39,55.39,1518900
2021-01-08,58.00,58.00,50.28,52.73,52.73,1407700
2021-01-11,51.00,56.00,50.53,54.71,54.71,1338200
2021-01-12,56.11,63.50,55.53,62.48,62.48,1829500
2021-01-13,60.61,69.48,57.70,57.88,57.88,1785600
2021-01-14,60.92,67.43,59.49,60.64,60.64,1288700
2021-01-15,60.64,62.60,55.60,56.00,56.00,1409500
2021-01-19,58.13,61.63,53.00,54.28,54.28,1872400
2021-01-20,54.51,56.22,53.25,55.22,55.22,935500
2021-01-21,55.05,65.29,55.05,63.77,63.77,1702400
2021-01-22,62.40,64.88,58.53,64.47,64.47,1241600
2021-01-25,65.00,72.67,64.01,67.36,67.36,1781000
2021-01-26,67.71,68.69,63.30,64.45,64.45,1506600
2021-01-27,60.07,70.80,58.00,64.70,64.70,1398400
2021-01-28,64.54,67.41,63.52,65.15,65.15,617800
2021-01-29,64.56,67.40,60.12,62.19,62.19,721700
2021-02-01,63.00,70.85,61.90,70.25,70.25,813000
2021-02-02,71.04,80.00,71.04,75.47,75.47,1061300
2021-02-03,76.93,81.91,76.51,79.75,79.75,854600
2021-02-04,80.55,81.09,74.19,75.75,75.75,718600
