Date,Open,High,Low,Close,Adj Close,Volume
2019-12-05,43.44,44.80,42.01,44.50,41.87,36500
2019-12-06,43.75,45.00,42.57,43.61,41.03,111700
2019-12-09,43.60,43.77,41.30,41.41,38.96,81500
2019-12-10,41.50,42.08,40.35,40.55,38.15,47300
2019-12-11,40.26,40.99,39.66,39.83,37.47,66100
2019-12-12,39.63,41.11,39.45,40.49,38.09,71800
2019-12-13,40.39,41.54,40.39,41.54,39.08,50800
2019-12-16,41.85,42.69,41.76,42.35,39.84,85800
2019-12-17,42.59,43.49,42.10,42.71,40.18,86000
2019-12-18,42.87,43.80,42.87,43.60,41.02,70800
2019-12-19,43.60,45.22,43.60,44.30,41.68,79400
2019-12-20,44.62,45.98,44.39,45.98,43.26,130400
2019-12-23,46.05,46.50,44.50,44.70,42.06,103800
2019-12-24,44.70,45.19,44.18,44.26,41.64,19900
2019-12-26,44.40,45.26,44.30,45.05,42.39,36300
2019-12-27,45.04,45.47,44.06,44.43,42.03,60500
2019-12-30,44.34,44.39,43.27,43.93,41.55,61400
2019-12-31,43.90,45.06,43.73,44.87,42.44,55100
2020-01-02,45.36,45.36,44.29,45.30,42.85,72200
2020-01-03,44.58,45.45,44.21,45.35,42.90,76700
2020-01-06,45.29,46.45,45.02,46.04,43.55,73300
2020-01-07,46.34,46.90,46.04,46.44,43.93,52200
2020-01-08,46.49,46.89,45.47,45.60,43.13,70100
2020-01-09,45.88,45.88,44.51,44.75,42.33,42500
2020-01-10,44.80,45.15,44.18,44.89,42.46,61800
2020-01-13,44.50,45.21,44.23,44.76,42.34,36800
2020-01-14,44.61,45.08,44.12,44.14,41.75,63700
2020-01-15,44.38,44.45,43.84,43.86,41.49,36600
2020-01-16,44.52,44.52,43.84,44.20,41.81,33900
2020-01-17,44.20,44.25,43.22,43.55,41.19,30400
2020-01-21,43.49,43.54,42.76,42.94,40.62,26900
2020-01-22,43.00,43.11,42.21,42.50,40.20,76200
2020-01-23,42.35,42.35,40.60,40.70,38.50,49400
2020-01-24,41.23,41.23,39.00,39.47,37.33,72400
2020-01-27,39.40,39.79,38.95,39.46,37.32,82400
2020-01-28,39.94,40.33,39.44,39.81,37.66,40300
2020-01-29,40.11,40.11,38.85,39.11,36.99,56700
2020-01-30,38.79,38.79,37.72,38.36,36.28,91000
2020-01-31,38.09,38.67,37.59,37.98,35.92,71000
2020-02-03,37.94,38.04,36.25,36.74,34.75,103700
2020-02-04,37.13,37.67,36.68,37.22,35.21,88300
2020-02-05,37.53,38.75,37.53,38.60,36.51,79800
2020-02-06,39.25,39.25,38.12,38.40,36.32,43700
2020-02-07,38.50,39.12,38.20,38.79,36.69,51300
2020-02-10,38.67,38.74,37.65,37.93,35.88,95300
2020-02-11,37.85,39.18,37.67,39.16,37.04,61600
2020-02-12,39.45,39.65,38.62,39.24,37.12,57800
2020-02-13,38.99,39.24,38.62,38.69,36.60,31300
2020-02-14,38.75,38.98,38.13,38.98,36.87,48700
2020-02-18,38.90,39.62,38.86,39.07,36.96,35300
2020-02-19,38.60,39.86,38.60,39.49,37.35,58600
2020-02-20,38.45,38.45,33.02,33.70,31.88,318200
2020-02-21,32.87,33.49,32.52,32.80,31.03,134800
2020-02-24,32.00,32.00,30.83,31.23,29.54,176900
2020-02-25,31.54,31.59,29.22,29.88,28.26,161500
2020-02-26,30.04,30.55,28.86,29.19,27.61,160400
2020-02-27,28.56,29.68,27.65,28.30,26.77,131200
2020-02-28,27.64,30.09,27.64,30.00,28.38,227800
2020-03-02,29.95,29.95,28.18,29.18,27.60,149300
2020-03-03,29.31,29.51,27.94,28.32,26.79,185500
2020-03-04,28.83,28.83,27.81,28.78,27.22,114600
2020-03-05,28.15,28.15,26.42,26.50,25.07,262000
2020-03-06,25.90,27.04,25.46,26.21,24.79,184400
2020-03-09,24.19,26.00,23.51,23.68,22.40,161300
2020-03-10,24.67,24.71,23.23,24.67,23.34,137300
2020-03-11,24.01,24.41,23.23,23.88,22.59,223100
2020-03-12,22.42,22.45,20.08,20.51,19.40,173700
2020-03-13,21.63,21.92,19.23,20.45,19.57,142300
2020-03-16,18.75,18.78,17.34,18.04,17.27,194700
2020-03-17,18.20,18.21,16.07,16.89,16.17,205200
2020-03-18,16.00,16.32,13.12,14.80,14.16,192300
2020-03-19,14.83,17.56,14.01,17.43,16.68,241200
2020-03-20,17.65,17.99,15.94,16.33,15.63,328200
2020-03-23,16.41,16.91,14.16,14.96,14.32,169400
2020-03-24,16.01,17.35,15.27,17.15,16.41,224400
2020-03-25,17.45,18.89,16.67,17.90,17.13,232500
2020-03-26,18.15,18.31,16.27,17.51,16.76,166800
2020-03-27,16.64,16.64,15.33,15.81,15.13,124600
2020-03-30,15.93,17.37,15.32,17.18,16.44,170100
2020-03-31,17.24,18.67,17.24,17.83,17.06,212800
2020-04-01,17.22,17.52,15.89,16.24,15.54,117700
2020-04-02,16.25,17.27,16.03,16.86,16.14,201000
2020-04-03,17.07,17.14,15.61,16.16,15.47,73800
2020-04-06,16.81,17.91,16.74,17.86,17.09,154700
2020-04-07,19.01,20.31,17.69,17.88,17.11,228100
2020-04-08,18.50,19.40,17.88,19.16,18.34,86300
2020-04-09,19.97,20.52,18.93,19.56,18.72,204500
2020-04-13,19.74,19.74,18.33,18.95,18.14,144300
2020-04-14,19.23,19.55,18.10,18.76,17.95,323700
2020-04-15,18.01,18.07,17.19,17.59,16.84,138600
2020-04-16,17.50,17.50,16.61,16.83,16.11,121500
2020-04-17,16.86,18.14,16.86,18.12,17.34,157100
