Date,Open,High,Low,Close,Adj Close,Volume
1982-01-04,5.48,5.54,5.40,5.51,1.76,321198
1982-01-05,5.40,5.51,5.26,5.43,1.73,442414
1982-01-06,5.17,5.34,4.97,5.11,1.63,565817
1982-01-07,5.03,5.11,4.91,5.00,1.60,508929
1982-01-08,5.03,5.08,4.97,5.03,1.61,340453
1982-01-11,4.86,5.08,4.63,4.71,1.51,521182
1982-01-12,4.74,4.83,4.66,4.83,1.54,473483
1982-01-13,4.71,4.86,4.57,4.63,1.48,313322
1982-01-14,4.71,4.86,4.57,4.77,1.52,260810
1982-01-15,4.86,4.91,4.80,4.91,1.57,185980
1982-01-18,4.86,4.91,4.80,4.88,1.56,208735
1982-01-19,4.63,4.86,4.40,4.48,1.43,1352184
1982-01-20,4.54,4.63,4.46,4.63,1.48,477422
1982-01-21,4.63,4.66,4.57,4.60,1.47,393402
1982-01-22,4.60,4.66,4.54,4.60,1.47,238054
1982-01-25,4.60,4.66,4.54,4.57,1.46,223614
1982-01-26,4.51,4.63,4.40,4.46,1.42,329513
1982-01-27,4.54,4.63,4.46,4.63,1.48,160162
1982-01-28,4.74,4.80,4.66,4.74,1.51,301944
1982-01-29,4.86,4.91,4.80,4.80,1.53,326012
1982-02-01,4.68,4.74,4.63,4.66,1.49,123841
1982-02-02,4.63,4.66,4.57,4.57,1.46,227990
1982-02-03,4.54,4.63,4.46,4.51,1.44,197358
1982-02-04,4.54,4.57,4.48,4.54,1.45,176353
1982-02-05,4.51,4.57,4.46,4.48,1.44,123841
1982-02-08,4.40,4.48,4.28,4.28,1.37,328638
1982-02-09,4.28,4.34,4.20,4.26,1.37,207860
1982-02-10,4.17,4.31,4.00,4.06,1.30,397778
1982-02-11,4.08,4.17,3.97,4.03,1.29,400842
1982-02-12,4.17,4.23,4.08,4.11,1.32,541311
1982-02-16,4.06,4.11,3.97,4.08,1.31,231053
1982-02-17,4.14,4.17,4.08,4.08,1.31,408281
1982-02-18,4.20,4.26,4.14,4.23,1.36,163225
1982-02-19,4.20,4.23,4.14,4.20,1.35,138282
1982-02-22,4.20,4.34,4.06,4.06,1.30,187293
1982-02-23,4.00,4.08,3.88,4.08,1.31,267374
1982-02-24,4.14,4.23,4.03,4.14,1.33,301944
1982-02-25,4.17,4.26,4.08,4.23,1.36,497551
1982-02-26,4.28,4.31,4.23,4.28,1.37,250307
1982-03-01,4.23,4.31,4.14,4.26,1.37,213111
1982-03-02,4.23,4.31,4.11,4.11,1.32,136094
1982-03-03,4.03,4.11,3.91,4.03,1.29,514180
1982-03-04,3.80,3.91,3.66,3.74,1.20,267374
1982-03-05,3.71,3.86,3.54,3.66,1.17,344829
1982-03-08,3.63,3.80,3.43,3.43,1.10,262560
1982-03-09,3.48,3.60,3.37,3.51,1.13,392090
1982-03-10,3.66,3.83,3.48,3.66,1.17,238930
1982-03-11,3.74,3.80,3.68,3.68,1.18,140907
1982-03-12,3.68,3.74,3.63,3.68,1.18,143533
1982-03-15,3.80,3.86,3.74,3.80,1.22,99773
1982-03-16,3.86,3.94,3.74,3.83,1.23,128217
1982-03-17,3.88,3.91,3.86,3.88,1.25,59076
1982-03-18,4.03,4.11,3.91,4.11,1.32,208298
1982-03-19,4.17,4.23,4.08,4.11,1.32,141782
1982-03-22,4.11,4.17,4.06,4.11,1.32,111150
1982-03-23,4.14,4.23,4.03,4.14,1.33,195170
1982-03-24,4.00,4.14,3.83,3.91,1.26,215299
1982-03-25,3.91,4.00,3.83,3.97,1.27,217925
1982-03-26,3.91,3.97,3.86,3.91,1.26,152722
1982-03-29,3.83,3.88,3.77,3.80,1.22,192982
1982-03-30,3.86,3.91,3.77,3.88,1.25,141782
1982-03-31,3.97,4.06,3.88,4.03,1.29,168914
1982-04-01,4.03,4.06,3.97,4.03,1.29,132155
1982-04-02,4.14,4.23,4.06,4.17,1.34,391652
1982-04-05,4.23,4.28,4.14,4.17,1.34,227552
1982-04-06,4.20,4.23,4.14,4.17,1.34,261247
1982-04-07,4.23,4.28,4.14,4.17,1.34,227552
1982-04-08,4.17,4.23,4.11,4.14,1.33,862947
1982-04-12,4.03,4.17,3.86,3.97,1.27,202171
1982-04-13,3.88,3.97,3.77,3.88,1.25,326450
1982-04-14,3.86,3.94,3.77,3.83,1.23,198233
1982-04-15,3.77,3.83,3.71,3.80,1.22,581570
