Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.85,0.78,0.78,0.16,319901
1980-03-18,0.00,0.81,0.72,0.78,0.16,643957
1980-03-19,0.00,0.87,0.78,0.85,0.17,405070
1980-03-20,0.00,0.84,0.83,0.84,0.17,153719
1980-03-21,0.00,0.87,0.84,0.85,0.17,415456
1980-03-24,0.00,0.88,0.83,0.84,0.17,184878
1980-03-25,0.00,0.82,0.78,0.78,0.16,270047
1980-03-26,0.00,0.79,0.76,0.76,0.16,203574
1980-03-27,0.00,0.75,0.57,0.66,0.13,675116
1980-03-28,0.00,0.73,0.69,0.73,0.15,604489
1980-03-31,0.00,0.83,0.74,0.79,0.16,500625
1980-04-01,0.00,0.81,0.77,0.81,0.16,251351
1980-04-02,0.00,0.85,0.81,0.82,0.17,232655
1980-04-03,0.00,0.82,0.81,0.81,0.17,195264
1980-04-07,0.00,0.83,0.80,0.80,0.16,216037
1980-04-08,0.00,0.80,0.76,0.79,0.16,216037
1980-04-09,0.00,0.82,0.78,0.82,0.17,249274
1980-04-10,0.00,0.87,0.83,0.87,0.18,317824
1980-04-11,0.00,0.87,0.83,0.84,0.17,182801
1980-04-14,0.00,0.84,0.81,0.82,0.17,135023
1980-04-15,0.00,0.84,0.82,0.82,0.17,141255
1980-04-16,0.00,0.83,0.79,0.79,0.16,135023
1980-04-17,0.00,0.81,0.76,0.77,0.16,112173
1980-04-18,0.00,0.78,0.76,0.77,0.16,24927
1980-04-21,0.00,0.78,0.76,0.76,0.15,43623
1980-04-22,0.00,0.82,0.77,0.81,0.17,282510
1980-04-23,0.00,0.84,0.80,0.81,0.17,178646
1980-04-24,0.00,0.83,0.79,0.82,0.17,130869
1980-04-25,0.00,0.82,0.80,0.82,0.17,70628
1980-04-28,0.00,0.83,0.80,0.80,0.16,294974
1980-04-29,0.00,0.83,0.81,0.83,0.17,232655
1980-04-30,0.00,0.96,0.82,0.95,0.19,675116
1980-05-01,0.00,1.00,0.93,0.96,0.20,712507
1980-05-02,0.00,1.02,0.95,1.01,0.21,344829
1980-05-05,0.00,1.04,0.97,0.99,0.20,257583
1980-05-06,0.00,1.00,0.97,0.97,0.20,286665
1980-05-07,0.00,0.99,0.94,0.94,0.19,114250
1980-05-08,0.00,0.99,0.94,0.94,0.19,130869
1980-05-09,0.00,0.93,0.92,0.93,0.19,99709
1980-05-12,0.00,0.98,0.91,0.96,0.20,504779
1980-05-13,0.00,1.02,1.00,1.00,0.20,301206
1980-05-14,0.00,1.00,0.95,0.97,0.20,170337
1980-05-15,0.00,0.99,0.96,0.96,0.20,166182
1980-05-16,0.00,0.97,0.96,0.97,0.20,64396
1980-05-19,0.00,0.99,0.95,0.96,0.20,186955
1980-05-20,0.00,0.97,0.95,0.97,0.20,153719
1980-05-21,0.00,0.97,0.94,0.95,0.19,168260
1980-05-22,0.00,0.97,0.96,0.96,0.20,120482
1980-05-23,0.00,0.99,0.96,0.98,0.20,297051
1980-05-27,0.00,0.98,0.95,0.95,0.19,137101
1980-05-28,0.00,0.96,0.91,0.92,0.19,261737
1980-05-29,0.00,0.94,0.90,0.94,0.19,170337
1980-05-30,0.00,0.93,0.90,0.91,0.19,137101
1980-06-02,0.00,0.91,0.90,0.90,0.18,182801
1980-06-03,0.00,0.93,0.89,0.89,0.18,222269
1980-06-04,0.00,0.91,0.89,0.91,0.19,168260
1980-06-05,0.00,0.93,0.90,0.91,0.19,147487
1980-06-06,0.00,0.94,0.90,0.94,0.19,265892
1980-06-09,0.00,0.94,0.91,0.91,0.19,162028
1980-06-10,0.00,0.93,0.91,0.91,0.19,47777
1980-06-11,0.00,0.94,0.91,0.93,0.19,81014
1980-06-12,0.00,0.93,0.90,0.91,0.19,110096
1980-06-13,0.00,0.94,0.91,0.93,0.19,170337
1980-06-16,0.00,0.93,0.90,0.91,0.19,101787
1980-06-17,0.00,0.92,0.90,0.90,0.18,164105
1980-06-18,0.00,0.92,0.89,0.92,0.19,554634
