Date,Open,High,Low,Close,Adj Close,Volume
1991-07-24,4.56,4.62,4.50,4.50,4.50,2001000
1991-07-25,4.50,4.62,4.50,4.56,4.56,314600
1991-07-26,4.62,4.62,4.50,4.50,4.50,2001000
1991-07-29,4.62,4.62,4.50,4.62,4.62,75400
1991-07-30,4.62,4.62,4.50,4.50,4.50,354400
1991-07-31,4.62,4.62,4.50,4.50,4.50,372000
1991-08-01,4.50,4.56,4.50,4.50,4.50,157000
1991-08-02,4.62,4.62,4.56,4.56,4.56,220800
1991-08-05,4.62,4.62,4.50,4.62,4.62,103800
1991-08-06,4.56,4.62,4.56,4.62,4.62,124600
1991-08-07,4.62,4.62,4.50,4.50,4.50,222400
1991-08-08,4.62,4.62,4.50,4.56,4.56,97000
1991-08-09,4.50,4.62,4.50,4.50,4.50,172000
1991-08-12,4.50,4.62,4.50,4.50,4.50,41600
1991-08-13,4.62,4.62,4.50,4.50,4.50,63000
1991-08-14,4.62,4.62,4.56,4.62,4.62,102200
1991-08-15,4.50,4.62,4.50,4.50,4.50,31800
1991-08-16,4.62,4.62,4.50,4.50,4.50,69800
1991-08-19,4.44,4.50,4.19,4.38,4.38,75400
1991-08-20,4.38,4.44,4.25,4.38,4.38,57800
1991-08-21,4.44,4.44,4.31,4.44,4.44,14000
1991-08-22,4.44,4.50,4.31,4.38,4.38,41400
1991-08-23,4.50,4.50,4.31,4.31,4.31,17000
1991-08-26,4.50,4.56,4.31,4.56,4.56,77600
1991-08-27,4.56,4.69,4.50,4.62,4.62,72600
1991-08-28,4.62,4.69,4.50,4.69,4.69,73400
1991-08-29,4.69,4.94,4.56,4.94,4.94,178000
1991-08-30,4.94,5.19,4.81,5.19,5.19,145800
1991-09-03,5.19,5.50,5.12,5.12,5.12,326200
1991-09-04,5.12,5.25,5.00,5.00,5.00,139000
1991-09-05,5.00,5.19,5.00,5.00,5.00,145000
1991-09-06,5.12,5.12,5.00,5.00,5.00,35800
1991-09-09,5.00,5.12,4.88,4.88,4.88,33800
1991-09-10,5.06,5.06,4.88,5.06,5.06,30200
1991-09-11,4.88,5.12,4.88,5.00,5.00,167400
1991-09-12,5.25,5.31,5.06,5.19,5.19,729400
1991-09-13,5.38,5.56,5.38,5.56,5.56,110600
1991-09-16,5.38,5.56,5.38,5.56,5.56,230800
1991-09-17,5.56,5.56,5.44,5.50,5.50,90200
1991-09-18,5.56,5.69,5.50,5.69,5.69,82800
1991-09-19,5.56,6.25,5.56,6.19,6.19,443200
1991-09-20,6.25,6.88,6.19,6.62,6.62,290400
1991-09-23,6.56,6.69,6.38,6.56,6.56,492200
1991-09-24,6.38,6.56,6.38,6.56,6.56,28400
1991-09-25,6.56,7.00,6.38,7.00,7.00,106400
1991-09-26,7.00,7.62,6.88,7.62,7.62,230400
1991-09-27,7.62,7.62,7.38,7.38,7.38,277000
1991-09-30,7.50,7.50,7.19,7.38,7.38,117600
1991-10-01,7.38,7.88,7.25,7.81,7.81,87800
1991-10-02,7.81,7.81,7.69,7.81,7.81,144400
1991-10-03,7.81,7.81,7.38,7.38,7.38,532000
1991-10-04,7.50,7.50,7.25,7.50,7.50,86600
1991-10-07,7.50,7.50,6.62,6.62,6.62,237800
1991-10-08,6.62,6.88,6.62,6.81,6.81,157000
1991-10-09,6.69,6.88,6.69,6.88,6.88,41200
1991-10-10,6.88,6.88,6.69,6.88,6.88,35000
1991-10-11,6.88,6.88,6.75,6.81,6.81,12800
1991-10-14,6.88,6.88,6.75,6.88,6.88,11400
1991-10-15,6.88,7.38,6.88,7.25,7.25,97600
1991-10-16,7.44,8.00,7.44,7.81,7.81,164800
1991-10-17,7.50,7.62,7.44,7.50,7.50,120200
1991-10-18,7.44,7.62,7.44,7.62,7.62,44200
1991-10-21,7.62,7.62,7.00,7.25,7.25,57000
1991-10-22,7.25,7.25,6.75,6.75,6.75,64800
1991-10-23,6.94,7.50,6.81,7.50,7.50,503400
1991-10-24,7.62,7.88,7.25,7.56,7.56,140200
1991-10-25,7.56,7.56,7.25,7.25,7.25,127600
1991-10-28,7.25,7.50,7.25,7.25,7.25,25400
1991-10-29,7.44,7.44,7.25,7.25,7.25,9400
1991-10-30,7.25,7.44,7.25,7.44,7.44,53200
1991-10-31,7.44,7.44,7.25,7.25,7.25,34200
1991-11-01,7.38,7.56,7.31,7.56,7.56,167400
1991-11-04,7.69,7.69,7.44,7.69,7.69,81000
1991-11-05,7.69,7.69,7.44,7.69,7.69,248400
1991-11-06,7.69,7.75,7.44,7.75,7.75,51400
1991-11-07,7.75,7.81,7.56,7.62,7.62,40400
1991-11-08,7.81,7.81,7.56,7.75,7.75,86000
1991-11-11,7.75,7.75,7.56,7.56,7.56,8200
1991-11-12,7.50,7.69,7.06,7.25,7.25,218000
1991-11-13,7.19,7.19,7.00,7.19,7.19,96800
1991-11-14,7.19,7.19,7.00,7.19,7.19,82400
1991-11-15,6.94,7.06,6.44,6.44,6.44,93400
1991-11-18,6.38,6.44,5.75,6.00,6.00,124400
1991-11-19,6.00,6.00,5.62,5.75,5.75,150200
1991-11-20,5.62,5.81,5.62,5.75,5.75,126800
1991-11-21,5.62,5.75,5.62,5.69,5.69,43800
1991-11-22,5.75,5.75,5.62,5.62,5.62,19800
1991-11-25,5.75,5.75,5.56,5.56,5.56,35600
1991-11-26,5.75,5.75,5.62,5.75,5.75,155000
1991-11-27,5.62,5.88,5.62,5.81,5.81,98800
1991-11-29,5.81,5.81,5.62,5.69,5.69,15600
1991-12-02,5.75,5.75,5.56,5.75,5.75,9600
1991-12-03,5.75,5.81,5.62,5.75,5.75,239400
1991-12-04,5.81,6.25,5.75,6.25,6.25,255200
1991-12-05,6.25,6.81,6.25,6.62,6.62,139600
1991-12-06,6.75,7.38,6.50,7.00,7.00,269200
1991-12-09,7.12,7.25,6.88,6.88,6.88,487000
1991-12-10,7.12,7.12,6.88,6.94,6.94,120400
1991-12-11,6.88,7.00,6.88,7.00,7.00,1600600
1991-12-12,7.00,7.00,6.75,6.88,6.88,372800
1991-12-13,7.00,7.00,6.75,6.75,6.75,36400
1991-12-16,6.75,7.00,6.62,6.69,6.69,90200
1991-12-17,7.00,7.00,6.69,6.81,6.81,150000
1991-12-18,6.88,7.00,6.75,7.00,7.00,228800
1991-12-19,6.75,7.00,6.75,7.00,7.00,108200
1991-12-20,7.00,7.00,6.75,6.75,6.75,29400
1991-12-23,6.75,6.75,6.38,6.56,6.56,62800
1991-12-24,6.62,6.75,6.50,6.75,6.75,35400
1991-12-26,6.75,6.88,6.62,6.75,6.75,43000
1991-12-27,6.62,7.50,6.62,7.50,7.50,179400
1991-12-30,7.62,8.00,7.38,7.50,7.50,268200
1991-12-31,7.50,7.75,7.25,7.38,7.38,76400
1992-01-02,7.25,7.50,7.25,7.50,7.50,18600
1992-01-03,7.38,8.38,7.25,8.12,8.12,331800
1992-01-06,8.25,8.75,8.00,8.62,8.62,236800
