Date,Open,High,Low,Close,Adj Close,Volume
1997-05-05,24.19,24.62,24.12,24.48,6.64,907050
1997-05-06,24.55,24.69,24.41,24.55,6.66,536629
1997-05-07,22.84,23.27,22.48,22.77,6.17,747322
1997-05-08,22.55,22.98,21.13,21.55,5.84,2761432
1997-05-09,21.41,21.98,21.41,21.55,5.84,880954
1997-05-12,21.55,21.98,21.41,21.55,5.84,501601
1997-05-13,21.41,21.70,21.41,21.41,5.80,420686
1997-05-14,21.70,21.98,21.70,21.84,5.92,391963
1997-05-15,21.84,22.41,21.84,22.41,6.08,580064
1997-05-16,22.27,22.55,22.13,22.13,6.00,189852
1997-05-19,22.13,22.41,22.13,22.41,6.08,728407
1997-05-20,22.27,22.70,22.27,22.70,6.15,201061
1997-05-21,22.70,22.84,22.55,22.84,6.19,322082
1997-05-22,22.98,22.98,22.62,22.84,6.19,625425
1997-05-23,22.91,23.27,22.84,22.98,6.23,216473
1997-05-27,23.12,23.27,22.98,23.12,6.27,212095
1997-05-28,23.12,23.27,23.12,23.20,6.29,183547
1997-05-29,23.12,23.27,22.98,23.12,6.27,192129
1997-05-30,22.70,23.27,22.55,23.27,6.31,188976
1997-06-02,23.41,23.98,23.27,23.98,6.50,260783
1997-06-03,23.98,24.41,23.84,24.27,6.58,590047
1997-06-04,24.27,24.27,23.98,23.98,6.50,350981
1997-06-05,23.98,24.41,23.98,24.41,6.62,338370
1997-06-06,24.34,24.77,24.34,24.62,6.68,482686
1997-06-09,24.55,24.98,24.55,24.98,6.77,149394
1997-06-10,24.98,25.27,24.84,24.98,6.77,475330
1997-06-11,24.98,24.98,24.27,24.27,6.58,287930
1997-06-12,24.12,24.27,23.84,23.98,6.50,380579
1997-06-13,24.27,24.41,23.98,24.12,6.54,508782
1997-06-16,24.27,24.27,23.84,23.84,6.46,285128
1997-06-17,23.62,23.84,23.55,23.84,6.46,708091
1997-06-18,23.91,24.19,23.77,23.91,6.48,418760
1997-06-19,23.98,25.12,23.98,24.98,6.77,223128
1997-06-20,25.41,25.41,24.84,24.98,6.77,632431
1997-06-23,25.12,25.69,24.98,25.27,6.85,315427
1997-06-24,25.27,25.55,24.77,24.77,6.71,487415
1997-06-25,24.77,24.84,24.23,24.55,6.66,232936
1997-06-26,24.69,24.77,24.27,24.48,6.64,141513
1997-06-27,24.41,24.48,24.12,24.12,6.54,97728
1997-06-30,24.05,24.84,24.05,24.12,6.54,275670
1997-07-01,24.27,25.19,24.27,24.98,6.77,174965
1997-07-02,24.12,24.55,24.12,24.55,6.66,275320
1997-07-03,24.55,24.55,24.27,24.34,6.60,212970
1997-07-07,24.41,24.55,24.27,24.41,6.62,419110
1997-07-08,24.41,24.41,23.98,23.98,6.50,222078
1997-07-09,24.55,24.55,23.70,23.70,6.42,340647
1997-07-10,23.91,24.34,23.62,24.34,6.60,513335
1997-07-11,24.34,24.41,24.12,24.27,6.58,306320
1997-07-14,24.27,24.34,24.09,24.16,6.55,206315
1997-07-15,24.09,24.41,24.09,24.27,6.58,188451
1997-07-16,23.98,24.55,23.98,24.09,6.53,189852
1997-07-17,24.09,24.12,23.48,23.87,6.47,322783
1997-07-18,23.98,24.05,22.98,23.45,6.36,228207
1997-07-21,23.41,23.41,22.55,22.70,6.15,623498
1997-07-22,22.70,22.98,22.62,22.98,6.23,777972
1997-07-23,23.12,24.69,23.12,24.55,6.66,958541
1997-07-24,24.55,24.55,23.48,24.05,6.52,373574
1997-07-25,23.98,24.19,23.77,24.05,6.52,178818
