Date,Open,High,Low,Close,Adj Close,Volume
2016-09-23,24.10,24.51,23.10,23.10,21.16,35297100
2016-09-26,23.09,24.01,23.07,23.98,21.97,3002900
2016-09-27,24.00,24.48,23.65,23.68,21.69,3980500
2016-09-28,23.60,24.08,23.41,23.85,21.85,1805500
2016-09-29,23.85,23.99,23.00,23.50,21.53,2887200
2016-09-30,23.74,23.85,23.47,23.49,21.52,1686500
2016-10-03,23.55,23.68,23.00,23.21,21.26,1265200
2016-10-04,23.19,23.54,23.06,23.13,21.19,740500
2016-10-05,23.25,23.29,23.00,23.00,21.07,852700
2016-10-06,22.62,23.20,22.62,23.07,21.13,2167300
2016-10-07,22.85,23.05,22.60,22.75,20.84,2351500
2016-10-10,22.90,23.20,22.77,23.09,21.15,966300
2016-10-11,22.95,23.13,22.69,22.98,21.05,1364100
2016-10-12,22.86,23.32,22.79,23.20,21.25,841800
2016-10-13,23.16,23.35,23.00,23.15,21.21,736800
2016-10-14,23.40,23.57,23.00,23.28,21.33,429900
2016-10-17,23.13,23.39,23.00,23.11,21.17,222800
2016-10-18,23.17,23.18,22.73,22.78,20.87,1200600
2016-10-19,22.98,23.18,22.14,22.30,20.43,1730700
2016-10-20,22.31,22.31,21.91,22.10,20.25,1171200
2016-10-21,22.00,22.00,21.42,21.57,19.76,1839800
2016-10-24,21.47,21.61,21.10,21.35,19.56,1446800
2016-10-25,21.28,21.29,20.61,21.07,19.30,2001400
2016-10-26,20.90,21.05,20.54,20.71,18.97,1743100
2016-10-27,20.75,20.80,20.12,20.40,18.69,1279200
2016-10-28,20.30,20.94,19.92,20.59,18.86,1206600
2016-10-31,20.46,20.69,20.17,20.40,18.69,604100
2016-11-01,20.29,20.56,19.80,20.06,18.38,912500
2016-11-02,19.95,20.45,19.90,20.10,18.41,830100
2016-11-03,20.18,20.40,20.10,20.33,18.62,501300
2016-11-04,20.18,21.18,20.18,20.68,18.94,460000
2016-11-07,20.78,21.12,20.72,20.79,19.05,277300
2016-11-08,20.86,21.14,20.52,21.03,19.27,674100
2016-11-09,20.61,20.75,18.30,19.80,18.14,4751100
2016-11-10,19.83,20.02,18.65,18.93,17.34,2410700
2016-11-11,18.91,19.61,18.31,18.90,17.31,1634000
2016-11-14,19.01,19.66,18.72,19.61,17.96,1934700
2016-11-15,19.77,20.09,19.31,19.84,18.18,759500
2016-11-16,19.92,20.30,19.50,20.28,18.58,1379600
2016-11-17,20.31,21.25,20.30,20.93,19.17,957700
2016-11-18,20.90,21.59,20.90,21.49,19.69,791700
2016-11-21,21.40,21.71,21.35,21.50,19.70,684600
2016-11-22,21.46,21.50,20.80,21.00,19.24,506700
2016-11-23,20.99,21.13,20.60,21.00,19.24,500000
2016-11-25,20.96,21.24,20.86,21.09,19.32,102700
2016-11-28,21.05,21.36,20.98,21.14,19.37,551800
2016-11-29,21.20,21.43,20.83,21.22,19.44,781800
2016-11-30,21.10,21.44,20.73,20.99,19.23,1039000
2016-12-01,20.86,20.91,20.00,20.28,18.62,1218000
2016-12-02,20.84,21.09,19.64,19.98,18.35,1572400
