Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,325.67,325.67,325.67,325.67,325.67,1
2010-01-05,328.56,328.56,328.56,328.56,328.56,1
2010-01-06,331.51,331.51,331.51,331.51,331.51,1
2010-01-07,334.36,334.36,334.36,334.36,334.36,1
2010-01-08,337.00,337.00,337.00,337.00,337.00,1
2010-01-11,339.31,339.31,339.31,339.31,339.31,1
2010-01-12,341.18,341.18,341.18,341.18,341.18,1
2010-01-13,342.54,342.54,342.54,342.54,342.54,1
2010-01-14,343.32,343.32,343.32,343.32,343.32,1
2010-01-15,343.49,343.49,343.49,343.49,343.49,1
2010-01-19,343.04,343.04,343.04,343.04,343.04,1
2010-01-20,341.99,341.99,341.99,341.99,341.99,1
2010-01-21,340.40,340.40,340.40,340.40,340.40,1
2010-01-22,338.31,338.31,338.31,338.31,338.31,1
2010-01-25,335.84,335.84,335.84,335.84,335.84,1
2010-01-26,333.09,333.09,333.09,333.09,333.09,1
2010-01-27,330.18,330.18,330.18,330.18,330.18,1
2010-01-28,327.25,327.25,327.25,327.25,327.25,1
2010-01-29,324.41,324.41,324.41,324.41,324.41,1
2010-02-01,321.80,321.80,321.80,321.80,321.80,1
2010-02-02,319.53,319.53,319.53,319.53,319.53,1
2010-02-03,317.70,317.70,317.70,317.70,317.70,1
2010-02-04,316.40,316.40,316.40,316.40,316.40,1
2010-02-05,315.68,315.68,315.68,315.68,315.68,1
2010-02-08,315.57,315.57,315.57,315.57,315.57,1
2010-02-09,316.08,316.08,316.08,316.08,316.08,1
2010-02-10,317.19,317.19,317.19,317.19,317.19,1
2010-02-11,318.84,318.84,318.84,318.84,318.84,1
2010-02-12,320.96,320.96,320.96,320.96,320.96,1
2010-02-16,323.46,323.46,323.46,323.46,323.46,1
2010-02-17,326.24,326.24,326.24,326.24,326.24,1
2010-02-18,329.15,329.15,329.15,329.15,329.15,1
2010-02-19,332.09,332.09,332.09,332.09,332.09,1
2010-02-22,334.91,334.91,334.91,334.91,334.91,1
2010-02-23,337.49,337.49,337.49,337.49,337.49,1
2010-02-24,339.72,339.72,339.72,339.72,339.72,1
2010-02-25,341.50,341.50,341.50,341.50,341.50,1
2010-02-26,342.74,342.74,342.74,342.74,342.74,1
2010-03-01,343.40,343.40,343.40,343.40,343.40,1
2010-03-02,343.45,343.45,343.45,343.45,343.45,1
2010-03-03,342.88,342.88,342.88,342.88,342.88,1
2010-03-04,341.72,341.72,341.72,341.72,341.72,1
2010-03-05,340.01,340.01,340.01,340.01,340.01,1
2010-03-08,337.85,337.85,337.85,337.85,337.85,1
2010-03-09,335.31,335.31,335.31,335.31,335.31,1
2010-03-10,332.52,332.52,332.52,332.52,332.52,1
2010-03-11,329.59,329.59,329.59,329.59,329.59,1
2010-03-12,326.67,326.67,326.67,326.67,326.67,1
2010-03-15,323.86,323.86,323.86,323.86,323.86,1
