Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.21,0.21,0.21,0.12,448000
1980-03-18,0.00,0.21,0.21,0.21,0.12,422400
1980-03-19,0.00,0.21,0.21,0.21,0.12,396800
1980-03-20,0.00,0.21,0.21,0.21,0.12,25600
1980-03-21,0.00,0.21,0.21,0.21,0.12,294400
1980-03-24,0.00,0.21,0.21,0.21,0.12,806400
1980-03-25,0.00,0.21,0.21,0.21,0.12,4172800
1980-03-26,0.00,0.22,0.21,0.21,0.12,819200
1980-03-27,0.00,0.21,0.21,0.21,0.12,1753600
1980-03-28,0.00,0.21,0.21,0.21,0.12,960000
1980-03-31,0.00,0.22,0.21,0.22,0.12,640000
1980-04-01,0.00,0.22,0.22,0.22,0.12,1830400
1980-04-02,0.00,0.22,0.21,0.22,0.12,1856000
1980-04-03,0.00,0.22,0.21,0.21,0.12,396800
1980-04-07,0.00,0.21,0.21,0.21,0.12,1190400
1980-04-08,0.00,0.21,0.21,0.21,0.12,51200
1980-04-09,0.00,0.21,0.21,0.21,0.12,716800
1980-04-10,0.00,0.21,0.21,0.21,0.12,2112000
1980-04-11,0.00,0.21,0.21,0.21,0.12,742400
1980-04-14,0.00,0.21,0.21,0.21,0.12,934400
1980-04-15,0.00,0.21,0.21,0.21,0.12,3558400
1980-04-16,0.00,0.22,0.21,0.21,0.12,1651200
1980-04-17,0.00,0.21,0.21,0.21,0.12,89600
1980-04-18,0.00,0.21,0.21,0.21,0.12,755200
1980-04-21,0.00,0.21,0.21,0.21,0.12,3494400
1980-04-22,0.00,0.21,0.21,0.21,0.12,204800
1980-04-23,0.00,0.21,0.21,0.21,0.12,4454400
1980-04-24,0.00,0.22,0.21,0.22,0.12,332800
1980-04-25,0.00,0.22,0.21,0.22,0.12,345600
1980-04-28,0.00,0.22,0.21,0.22,0.12,793600
1980-04-29,0.00,0.22,0.22,0.22,0.12,115200
1980-04-30,0.00,0.22,0.22,0.22,0.12,332800
1980-05-01,0.00,0.22,0.22,0.22,0.12,2816000
1980-05-02,0.00,0.22,0.22,0.22,0.12,256000
1980-05-05,0.00,0.22,0.22,0.22,0.12,204800
1980-05-06,0.00,0.22,0.22,0.22,0.13,704000
1980-05-07,0.00,0.23,0.22,0.23,0.13,1024000
1980-05-08,0.00,0.24,0.23,0.23,0.13,2508800
1980-05-09,0.00,0.24,0.24,0.24,0.13,332800
1980-05-12,0.00,0.23,0.23,0.23,0.13,294400
1980-05-13,0.00,0.24,0.23,0.24,0.13,486400
1980-05-14,0.00,0.25,0.24,0.25,0.14,2432000
1980-05-15,0.00,0.25,0.25,0.25,0.14,755200
1980-05-16,0.00,0.25,0.25,0.25,0.14,332800
1980-05-19,0.00,0.25,0.25,0.25,0.14,371200
1980-05-20,0.00,0.25,0.25,0.25,0.14,371200
