Date,Open,High,Low,Close,Adj Close,Volume
2012-10-12,48.05,51.37,45.05,48.69,48.69,18132800
2012-10-15,48.74,53.00,48.60,51.94,51.94,3091900
2012-10-16,53.49,53.50,51.91,52.16,52.16,805200
2012-10-17,52.02,57.21,52.00,55.41,55.41,1386400
2012-10-18,55.08,55.10,50.87,53.42,53.42,1523300
2012-10-19,52.33,55.58,51.53,55.25,55.25,1442200
2012-10-22,55.58,56.22,54.11,55.40,55.40,478200
2012-10-23,55.37,55.51,54.14,54.38,54.38,386300
2012-10-24,54.01,54.25,51.86,52.12,52.12,469600
2012-10-25,53.33,53.33,48.60,49.24,49.24,800600
2012-10-26,49.65,50.50,48.20,50.00,50.00,484600
2012-10-31,51.00,51.03,48.09,48.50,48.50,400900
2012-11-01,49.10,49.66,48.18,48.92,48.92,305900
2012-11-02,50.74,50.74,48.30,48.52,48.52,178900
2012-11-05,49.98,50.00,48.74,49.88,49.88,310200
2012-11-06,48.53,50.33,48.25,48.54,48.54,509900
2012-11-07,48.43,48.71,46.82,48.07,48.07,284100
2012-11-08,49.25,49.68,47.69,49.05,49.05,278600
2012-11-09,49.60,49.60,47.60,48.00,48.00,120400
2012-11-12,47.47,47.68,46.38,46.99,46.99,274800
2012-11-13,46.21,47.27,46.00,46.99,46.99,279200
2012-11-14,46.77,48.50,46.75,47.38,47.38,267200
2012-11-15,48.11,48.62,47.07,47.94,47.94,371800
2012-11-16,47.50,48.95,47.40,48.85,48.85,194200
2012-11-19,49.95,49.95,48.92,49.61,49.61,216200
2012-11-20,49.86,51.00,49.62,50.71,50.71,314900
2012-11-21,51.05,52.10,51.05,51.95,51.95,441300
2012-11-23,52.46,52.46,50.43,50.79,50.79,148800
2012-11-26,50.80,51.75,50.00,50.82,50.82,341700
2012-11-27,51.00,53.19,50.73,51.85,51.85,852500
2012-11-28,51.05,53.22,49.02,53.19,53.19,1223800
2012-11-29,53.14,53.68,49.62,51.70,51.70,1467500
2012-11-30,51.97,51.99,49.60,50.10,50.10,584200
2012-12-03,50.10,51.33,49.26,50.10,50.10,621800
2012-12-04,49.59,49.89,48.70,49.70,49.70,346100
2012-12-05,49.75,49.90,48.24,48.30,48.30,370400
2012-12-06,48.99,48.99,47.74,48.40,48.40,163500
2012-12-07,48.85,51.33,48.50,51.20,51.20,680600
2012-12-10,51.88,52.50,49.78,51.50,51.50,612400
2012-12-11,51.78,52.84,50.40,51.69,51.69,445500
2012-12-12,52.00,53.02,51.34,51.40,51.40,326600
2012-12-13,51.60,51.60,50.20,50.27,50.27,156200
2012-12-14,50.00,50.97,49.94,50.48,50.48,158500
2012-12-17,50.39,51.05,50.10,50.94,50.94,148700
2012-12-18,51.12,53.41,50.02,53.39,53.39,517200
2012-12-19,53.50,57.10,52.65,55.13,55.13,1444500
2012-12-20,55.00,56.90,52.74,56.16,56.16,799800
2012-12-21,54.94,56.26,54.00,55.95,55.95,1955300
2012-12-24,55.69,56.25,54.13,56.17,56.17,109300
2012-12-26,55.96,56.50,54.17,54.53,54.53,307700
2012-12-27,54.80,55.10,53.05,54.00,54.00,356500
2012-12-28,53.90,54.10,53.08,53.54,53.54,161200
2012-12-31,53.23,54.98,52.99,54.50,54.50,446500
2013-01-02,54.98,56.47,52.51,52.91,52.91,1103500
2013-01-03,52.74,53.61,52.02,52.30,52.30,433800
2013-01-04,52.25,53.11,51.80,52.19,52.19,547800
2013-01-07,51.95,52.35,51.61,52.17,52.17,348700
2013-01-08,52.09,52.19,51.23,51.87,51.87,400100
2013-01-09,52.06,53.44,51.50,52.75,52.75,319000
2013-01-10,53.29,53.40,51.79,53.20,53.20,404800
2013-01-11,53.18,53.31,52.07,52.79,52.79,405000
2013-01-14,52.57,52.86,50.79,51.26,51.26,521900
2013-01-15,51.20,51.48,50.53,51.04,51.04,283800
2013-01-16,50.98,51.94,50.78,51.55,51.55,197200
2013-01-17,51.91,52.12,50.94,50.95,50.95,421200
2013-01-18,50.74,51.34,50.33,50.39,50.39,163400
2013-01-22,50.38,51.49,50.04,50.63,50.63,312400
2013-01-23,50.19,52.14,50.19,51.93,51.93,744200
2013-01-24,52.00,54.13,51.69,53.16,53.16,462400
2013-01-25,53.03,54.44,52.39,54.39,54.39,315500
2013-01-28,54.39,56.90,53.73,56.50,56.50,386000
2013-01-29,54.60,56.45,54.01,55.93,55.93,389800
2013-01-30,55.03,55.88,53.16,53.24,53.24,384300
