Date,Open,High,Low,Close,Adj Close,Volume
1978-10-31,0.00,1.38,1.12,1.12,0.90,13600
1978-11-01,0.00,1.44,1.19,1.19,0.95,27600
1978-11-02,0.00,1.56,1.31,1.31,1.05,23000
1978-11-03,0.00,1.56,1.31,1.31,1.05,7400
1978-11-06,0.00,1.81,1.56,1.56,1.25,10800
1978-11-07,0.00,1.75,1.50,1.50,1.20,1800
1978-11-08,0.00,1.81,1.56,1.56,1.25,800
1978-11-09,0.00,1.81,1.56,1.56,1.25,5000
1978-11-10,0.00,1.81,1.56,1.56,1.25,2000
1978-11-13,0.00,1.75,1.50,1.50,1.20,10000
1978-11-14,0.00,1.62,1.38,1.38,1.10,1800
1978-11-15,0.00,1.44,1.19,1.19,0.95,16000
1978-11-16,0.00,1.44,1.19,1.19,0.95,8400
1978-11-17,0.00,1.38,1.12,1.12,0.90,15600
1978-11-20,0.00,1.56,1.31,1.31,1.05,64200
1978-11-21,0.00,1.44,1.19,1.19,0.95,15400
1978-11-22,0.00,1.44,1.19,1.19,0.95,3800
1978-11-24,0.00,1.38,1.12,1.12,0.90,2400
1978-11-27,0.00,1.38,1.12,1.12,0.90,1000
1978-11-28,0.00,1.38,1.12,1.12,0.90,4600
1978-11-29,0.00,1.31,1.06,1.06,0.85,12600
1978-11-30,0.00,1.31,1.06,1.06,0.85,5600
1978-12-01,0.00,1.31,1.06,1.06,0.85,3800
1978-12-04,0.00,1.31,1.06,1.06,0.85,3000
1978-12-05,0.00,1.31,1.06,1.06,0.85,3000
1978-12-06,0.00,1.25,1.00,1.00,0.80,20000
1978-12-07,0.00,1.25,1.00,1.00,0.80,7200
1978-12-08,0.00,1.25,1.00,1.00,0.80,3200
1978-12-11,0.00,1.25,1.00,1.00,0.80,600
1978-12-12,0.00,1.25,1.00,1.00,0.80,5800
1978-12-13,0.00,1.19,0.94,0.94,0.75,43200
1978-12-14,0.00,1.12,0.88,0.88,0.70,22600
1978-12-15,0.00,1.00,0.75,0.75,0.60,39600
1978-12-18,0.00,0.94,0.69,0.69,0.55,17600
1978-12-19,0.00,1.00,0.75,0.75,0.60,8000
1978-12-20,0.75,0.75,0.75,0.75,0.60,0
1978-12-21,0.00,1.06,0.81,0.81,0.65,8800
1978-12-22,0.00,1.25,1.00,1.00,0.80,7800
1978-12-26,0.00,1.25,1.00,1.00,0.80,5200
1978-12-27,0.00,1.19,0.94,0.94,0.75,7400
1978-12-28,0.00,1.19,0.94,0.94,0.75,2400
1978-12-29,0.00,1.19,0.94,0.94,0.75,10200
1979-01-02,0.00,1.19,0.94,0.94,0.75,2600
1979-01-03,0.00,1.19,0.94,0.94,0.75,2800
1979-01-04,0.00,1.25,1.00,1.00,0.80,11400
1979-01-05,0.00,1.19,0.94,0.94,0.75,7800
1979-01-08,0.00,1.19,0.94,0.94,0.75,30200
1979-01-09,0.00,1.19,0.94,0.94,0.75,16400
1979-01-10,0.00,1.19,0.94,0.94,0.75,13600
1979-01-11,0.00,1.19,0.94,0.94,0.75,23200
1979-01-12,0.00,1.38,1.12,1.12,0.90,43400
1979-01-15,0.00,1.38,1.12,1.12,0.90,12600
1979-01-16,0.00,1.31,1.06,1.06,0.85,14200
1979-01-17,0.00,1.25,1.00,1.00,0.80,6000
1979-01-18,0.00,1.25,1.00,1.00,0.80,3000
1979-01-19,0.00,1.31,1.06,1.06,0.85,13800
1979-01-22,0.00,1.38,1.12,1.12,0.90,13600
1979-01-23,0.00,1.50,1.25,1.25,1.00,24000
1979-01-24,0.00,1.62,1.38,1.38,1.10,52800
1979-01-25,0.00,1.81,1.56,1.56,1.25,24000
1979-01-26,0.00,1.69,1.44,1.44,1.15,53800
1979-01-29,0.00,1.75,1.50,1.50,1.20,41000
1979-01-30,0.00,1.69,1.44,1.44,1.15,18400
1979-01-31,0.00,1.69,1.44,1.44,1.15,12800
1979-02-01,0.00,1.69,1.44,1.44,1.15,15400
1979-02-02,0.00,1.69,1.44,1.44,1.15,35400
1979-02-05,0.00,1.56,1.31,1.31,1.05,51000
1979-02-06,0.00,1.62,1.38,1.38,1.10,6600
1979-02-07,0.00,1.62,1.38,1.38,1.10,11800
1979-02-08,0.00,1.62,1.38,1.38,1.10,7800
1979-02-09,0.00,1.62,1.38,1.38,1.10,19200
1979-02-12,0.00,1.62,1.38,1.38,1.10,2200
1979-02-13,0.00,1.56,1.31,1.31,1.05,12800
1979-02-14,0.00,1.56,1.31,1.31,1.05,5200
1979-02-15,0.00,1.56,1.31,1.31,1.05,80000
1979-02-16,0.00,1.56,1.31,1.31,1.05,33600
1979-02-20,0.00,1.50,1.25,1.25,1.00,14200
1979-02-21,0.00,1.50,1.25,1.25,1.00,34600
1979-02-22,0.00,1.44,1.19,1.19,0.95,19600
1979-02-23,0.00,1.50,1.25,1.25,1.00,21600
1979-02-26,0.00,1.44,1.19,1.19,0.95,17800
1979-02-27,0.00,1.38,1.12,1.12,0.90,14000
1979-02-28,0.00,1.38,1.12,1.12,0.90,3600
1979-03-01,0.00,1.31,1.06,1.06,0.85,16000
1979-03-02,0.00,1.50,1.25,1.25,1.00,62400
1979-03-05,0.00,1.50,1.25,1.25,1.00,31600
1979-03-06,0.00,1.44,1.19,1.19,0.95,12000
1979-03-07,0.00,1.38,1.12,1.12,0.90,17600
1979-03-08,0.00,1.38,1.12,1.12,0.90,10000
1979-03-09,0.00,1.38,1.12,1.12,0.90,12200
1979-03-12,0.00,1.44,1.19,1.19,0.95,14200
1979-03-13,0.00,1.38,1.12,1.12,0.90,15200
1979-03-14,0.00,1.38,1.12,1.12,0.90,7800
1979-03-15,0.00,1.31,1.06,1.06,0.85,10000
1979-03-16,0.00,1.31,1.06,1.06,0.85,7600
1979-03-19,0.00,1.31,1.06,1.06,0.85,9200
1979-03-20,0.00,1.38,1.12,1.12,0.90,8200
1979-03-21,0.00,1.50,1.25,1.25,1.00,22600
1979-03-22,0.00,1.50,1.25,1.25,1.00,36400
1979-03-23,0.00,1.62,1.38,1.38,1.10,58800
1979-03-26,0.00,1.81,1.56,1.56,1.25,29400
1979-03-27,0.00,2.00,1.75,1.75,1.40,67400
1979-03-28,0.00,1.75,1.50,1.50,1.20,31800
1979-03-29,0.00,1.88,1.62,1.62,1.30,27600
1979-03-30,0.00,1.94,1.69,1.69,1.35,12400
1979-04-02,0.00,1.88,1.62,1.62,1.30,27000
1979-04-03,0.00,1.94,1.69,1.69,1.35,21200
1979-04-04,0.00,2.00,1.75,1.75,1.40,14600
1979-04-05,0.00,1.88,1.62,1.62,1.30,10000
1979-04-06,0.00,1.94,1.69,1.69,1.35,8000
1979-04-09,0.00,1.88,1.62,1.62,1.30,9000
1979-04-10,0.00,1.88,1.62,1.62,1.30,16600
1979-04-11,0.00,1.81,1.56,1.56,1.25,21600
1979-04-12,0.00,1.75,1.50,1.50,1.20,12400
1979-04-16,0.00,1.69,1.44,1.44,1.15,15200
1979-04-17,0.00,1.62,1.38,1.38,1.10,19400
1979-04-18,0.00,1.62,1.38,1.38,1.10,4800
1979-04-19,0.00,1.69,1.44,1.44,1.15,9000
1979-04-20,0.00,1.75,1.50,1.50,1.20,5600
1979-04-23,0.00,1.75,1.50,1.50,1.20,27200
1979-04-24,0.00,1.75,1.50,1.50,1.20,47200
1979-04-25,0.00,1.81,1.56,1.56,1.25,8800
1979-04-26,0.00,1.81,1.56,1.56,1.25,8600
1979-04-27,0.00,1.81,1.56,1.56,1.25,10800
1979-04-30,0.00,1.81,1.56,1.56,1.25,8800
1979-05-01,0.00,1.75,1.50,1.50,1.20,6000
1979-05-02,0.00,1.75,1.50,1.50,1.20,6600
1979-05-03,0.00,1.75,1.50,1.50,1.20,11600
1979-05-04,0.00,1.75,1.50,1.50,1.20,19200
1979-05-07,0.00,1.69,1.44,1.44,1.15,9800
1979-05-08,0.00,1.69,1.44,1.44,1.15,8200
1979-05-09,0.00,1.75,1.50,1.50,1.20,10800
1979-05-10,0.00,1.69,1.44,1.44,1.15,11600
1979-05-11,0.00,1.75,1.50,1.50,1.20,9600
1979-05-14,0.00,1.69,1.44,1.44,1.15,20200
1979-05-15,0.00,1.69,1.44,1.44,1.15,9400
1979-05-16,0.00,1.69,1.44,1.44,1.15,19600
1979-05-17,0.00,1.69,1.44,1.44,1.15,52000
1979-05-18,0.00,1.69,1.44,1.44,1.15,7400
1979-05-21,0.00,1.69,1.44,1.44,1.15,8800
1979-05-22,0.00,1.69,1.44,1.44,1.15,4200
1979-05-23,0.00,1.69,1.44,1.44,1.15,3800
1979-05-24,0.00,1.69,1.44,1.44,1.15,10400
1979-05-25,0.00,1.75,1.50,1.50,1.20,28800
1979-05-29,0.00,1.75,1.50,1.50,1.20,6200
1979-05-30,0.00,1.75,1.50,1.50,1.20,10600
1979-05-31,0.00,1.75,1.50,1.50,1.20,5000
1979-06-01,0.00,1.75,1.50,1.50,1.20,9600
1979-06-04,0.00,1.75,1.50,1.50,1.20,21200
1979-06-05,0.00,1.69,1.44,1.44,1.15,23000
1979-06-06,0.00,1.62,1.38,1.38,1.10,3200
1979-06-07,0.00,1.62,1.38,1.38,1.10,13600
1979-06-08,0.00,1.62,1.38,1.38,1.10,4800
1979-06-11,0.00,1.69,1.44,1.44,1.15,6400
1979-06-12,0.00,1.69,1.44,1.44,1.15,21000
1979-06-13,0.00,1.56,1.31,1.31,1.05,15400
1979-06-14,0.00,1.56,1.31,1.31,1.05,8600
1979-06-15,0.00,1.56,1.31,1.31,1.05,4000
1979-06-18,0.00,1.56,1.31,1.31,1.05,9600
1979-06-19,0.00,1.56,1.31,1.31,1.05,4800
1979-06-20,0.00,1.56,1.31,1.31,1.05,13600
1979-06-21,0.00,1.50,1.25,1.25,1.00,5000
1979-06-22,0.00,1.56,1.31,1.31,1.05,17800
1979-06-25,0.00,1.56,1.31,1.31,1.05,22400
1979-06-26,0.00,1.56,1.31,1.31,1.05,2200
1979-06-27,0.00,1.56,1.31,1.31,1.05,200
1979-06-28,0.00,1.56,1.31,1.31,1.05,3600
1979-06-29,0.00,1.56,1.31,1.31,1.05,2800
1979-07-02,0.00,1.56,1.31,1.31,1.05,9000
1979-07-03,0.00,1.50,1.25,1.25,1.00,7600
1979-07-05,0.00,1.50,1.25,1.25,1.00,3000
1979-07-06,0.00,1.56,1.31,1.31,1.05,3000
1979-07-09,0.00,1.56,1.31,1.31,1.05,4000
1979-07-10,0.00,1.56,1.31,1.31,1.05,5800
1979-07-11,0.00,1.56,1.31,1.31,1.05,6200
1979-07-12,0.00,1.56,1.31,1.31,1.05,2200
1979-07-13,0.00,1.50,1.25,1.25,1.00,3800
1979-07-16,0.00,1.50,1.25,1.25,1.00,10200
1979-07-17,0.00,1.44,1.19,1.19,0.95,32000
1979-07-18,0.00,1.38,1.12,1.12,0.90,20400
1979-07-19,0.00,1.38,1.12,1.12,0.90,6000
1979-07-20,0.00,1.38,1.12,1.12,0.90,2200
1979-07-23,1.12,1.12,1.12,1.12,0.90,0
1979-07-24,0.00,1.38,1.12,1.12,0.90,5800
1979-07-25,0.00,1.38,1.12,1.12,0.90,6400
