Date,Open,High,Low,Close,Adj Close,Volume
1980-03-19,0.00,7.17,6.50,6.50,0.45,1200
1980-03-20,0.00,7.17,6.50,6.50,0.45,300
1980-03-21,0.00,7.17,6.50,6.50,0.45,1050
1980-03-24,6.50,6.50,6.50,6.50,0.45,0
1980-03-25,6.50,6.50,6.50,6.50,0.45,0
1980-03-26,0.00,7.00,6.33,6.33,0.44,1800
1980-03-27,6.33,6.33,6.33,6.33,0.44,0
1980-03-28,0.00,7.00,6.33,6.33,0.44,300
1980-03-31,6.33,6.33,6.33,6.33,0.44,0
1980-04-01,0.00,7.00,6.33,6.33,0.44,300
1980-04-02,6.33,6.33,6.33,6.33,0.44,0
1980-04-03,0.00,7.00,6.33,6.33,0.44,5550
1980-04-07,0.00,7.00,6.33,6.33,0.44,1950
1980-04-08,0.00,6.83,6.17,6.17,0.43,300
1980-04-09,0.00,6.83,6.17,6.17,0.43,900
1980-04-10,0.00,6.83,6.17,6.17,0.43,150
1980-04-11,0.00,6.83,6.17,6.17,0.43,750
1980-04-14,0.00,6.83,6.17,6.17,0.43,450
1980-04-15,6.17,6.17,6.17,6.17,0.43,0
1980-04-16,0.00,6.83,6.17,6.17,0.43,1500
1980-04-17,6.17,6.17,6.17,6.17,0.43,0
1980-04-18,6.17,6.17,6.17,6.17,0.43,0
1980-04-21,0.00,6.83,6.17,6.17,0.43,4500
1980-04-22,0.00,7.17,6.50,6.50,0.45,3600
1980-04-23,0.00,7.17,6.50,6.50,0.45,300
1980-04-24,6.50,6.50,6.50,6.50,0.45,0
1980-04-25,6.50,6.50,6.50,6.50,0.45,0
1980-04-28,0.00,7.17,6.50,6.50,0.45,300
1980-04-29,0.00,7.33,6.67,6.67,0.46,150
1980-04-30,0.00,7.33,6.67,6.67,0.46,150
1980-05-01,0.00,7.67,7.00,7.00,0.48,1200
1980-05-02,0.00,7.67,7.00,7.00,0.48,1650
1980-05-05,0.00,7.67,7.00,7.00,0.48,750
1980-05-06,0.00,7.67,7.00,7.00,0.48,150
1980-05-07,0.00,7.83,7.17,7.17,0.50,1500
1980-05-08,0.00,7.83,7.17,7.17,0.50,600
1980-05-09,7.17,7.17,7.17,7.17,0.50,0
1980-05-12,0.00,7.83,7.17,7.17,0.50,150
1980-05-13,7.17,7.17,7.17,7.17,0.50,0
1980-05-14,0.00,8.00,7.33,7.33,0.51,5250
1980-05-15,7.33,7.33,7.33,7.33,0.51,0
1980-05-16,7.33,7.33,7.33,7.33,0.51,0
1980-05-19,7.33,7.33,7.33,7.33,0.51,0
1980-05-20,0.00,7.83,7.17,7.17,0.50,300
1980-05-21,0.00,7.83,7.17,7.17,0.50,450
1980-05-22,0.00,8.00,7.33,7.33,0.51,600
1980-05-23,0.00,8.17,7.50,7.50,0.52,750
1980-05-27,7.50,7.50,7.50,7.50,0.52,0
1980-05-28,0.00,8.50,7.83,7.83,0.54,1500
1980-05-29,0.00,8.50,7.83,7.83,0.54,750
1980-05-30,7.83,7.83,7.83,7.83,0.54,0
1980-06-02,7.83,7.83,7.83,7.83,0.54,0
1980-06-03,7.83,7.83,7.83,7.83,0.54,0
1980-06-04,0.00,8.50,7.83,7.83,0.54,2250
1980-06-05,0.00,8.50,7.83,7.83,0.54,4050
1980-06-06,0.00,8.67,8.00,8.00,0.55,750
1980-06-09,0.00,8.67,8.00,8.00,0.55,750
1980-06-10,0.00,8.67,8.00,8.00,0.55,600
1980-06-11,8.00,8.00,8.00,8.00,0.55,0
1980-06-12,0.00,8.67,8.00,8.00,0.55,150
1980-06-13,8.00,8.00,8.00,8.00,0.55,0
1980-06-16,0.00,8.83,8.17,8.17,0.56,1350
1980-06-17,0.00,8.67,8.00,8.00,0.55,2700
1980-06-18,0.00,8.50,7.83,7.83,0.54,600
1980-06-19,7.83,7.83,7.83,7.83,0.54,0
1980-06-20,0.00,8.50,7.83,7.83,0.54,300
1980-06-23,0.00,8.50,7.83,7.83,0.54,750
1980-06-24,7.83,7.83,7.83,7.83,0.54,0
1980-06-25,0.00,8.50,7.83,7.83,0.54,600
1980-06-26,0.00,8.50,7.83,7.83,0.54,150
1980-06-27,0.00,8.50,7.83,7.83,0.54,1050
1980-06-30,7.83,7.83,7.83,7.83,0.54,0
1980-07-01,0.00,8.83,8.17,8.17,0.56,300
1980-07-02,0.00,9.17,8.50,8.50,0.59,10050
1980-07-03,8.50,8.50,8.50,8.50,0.59,0
