Date,Open,High,Low,Close,Adj Close,Volume
1980-05-06,0.00,2.25,2.12,2.12,0.45,300
1980-05-07,0.00,2.38,2.25,2.25,0.48,2000
1980-05-08,0.00,2.38,2.25,2.38,0.50,1700
1980-05-09,0.00,2.38,2.25,2.38,0.50,700
1980-05-12,0.00,2.38,2.25,2.25,0.48,1800
1980-05-13,0.00,2.38,2.25,2.38,0.50,3800
1980-05-14,0.00,2.50,2.38,2.50,0.53,3300
1980-05-15,0.00,2.50,2.38,2.38,0.50,1900
1980-05-16,0.00,2.50,2.50,2.50,0.53,4500
1980-05-19,0.00,2.50,2.38,2.50,0.53,3100
1980-05-20,0.00,2.75,2.50,2.50,0.53,8500
1980-05-21,0.00,2.62,2.50,2.62,0.56,1600
1980-05-22,0.00,2.62,2.62,2.62,0.56,2900
1980-05-23,0.00,2.62,2.62,2.62,0.56,1400
1980-05-27,0.00,2.75,2.62,2.75,0.58,700
1980-05-28,0.00,2.75,2.62,2.62,0.56,3200
1980-05-29,0.00,2.75,2.62,2.62,0.56,2200
1980-05-30,0.00,2.62,2.50,2.62,0.56,4700
1980-06-02,0.00,2.75,2.50,2.75,0.58,7300
1980-06-03,0.00,2.75,2.75,2.75,0.58,400
1980-06-04,0.00,2.88,2.62,2.88,0.61,14100
1980-06-05,0.00,3.00,2.88,2.88,0.61,12500
1980-06-06,0.00,2.88,2.75,2.88,0.61,900
1980-06-09,0.00,2.88,2.75,2.88,0.61,3800
1980-06-10,0.00,2.75,2.62,2.62,0.56,3100
1980-06-11,0.00,2.75,2.62,2.75,0.58,2700
1980-06-12,0.00,2.62,2.62,2.62,0.56,2000
1980-06-13,0.00,2.62,2.62,2.62,0.56,2400
1980-06-16,0.00,2.75,2.62,2.75,0.58,1500
1980-06-17,0.00,2.62,2.50,2.62,0.56,6600
1980-06-18,0.00,2.50,2.38,2.50,0.53,3300
1980-06-19,0.00,2.75,2.50,2.62,0.56,4200
1980-06-20,0.00,2.62,2.62,2.62,0.56,3500
1980-06-23,0.00,2.62,2.50,2.50,0.53,1000
1980-06-24,0.00,2.62,2.50,2.50,0.53,1900
1980-06-25,0.00,2.62,2.50,2.50,0.53,2200
1980-06-26,0.00,2.62,2.50,2.50,0.53,8100
1980-06-27,0.00,2.50,2.38,2.38,0.50,3300
1980-06-30,0.00,2.50,2.38,2.50,0.53,2300
1980-07-01,0.00,2.50,2.38,2.38,0.50,4400
1980-07-02,0.00,2.50,2.38,2.38,0.50,4600
1980-07-03,0.00,2.38,2.38,2.38,0.50,4000
1980-07-07,0.00,2.50,2.38,2.50,0.53,3100
1980-07-08,0.00,2.50,2.38,2.38,0.50,4600
1980-07-09,0.00,2.50,2.38,2.50,0.53,1900
1980-07-10,0.00,2.50,2.38,2.50,0.53,1800
1980-07-11,0.00,2.50,2.38,2.50,0.53,1000
1980-07-14,0.00,2.50,2.50,2.50,0.53,1600
1980-07-15,0.00,2.50,2.38,2.50,0.53,2700
1980-07-16,0.00,2.50,2.38,2.50,0.53,8200
1980-07-17,0.00,2.50,2.38,2.38,0.50,4100
1980-07-18,0.00,2.62,2.50,2.50,0.53,8900
1980-07-21,0.00,2.62,2.50,2.62,0.56,11100
1980-07-22,0.00,2.62,2.50,2.50,0.53,9500
1980-07-23,0.00,2.62,2.38,2.62,0.56,2600
1980-07-24,0.00,2.62,2.50,2.50,0.53,4900
1980-07-25,0.00,2.62,2.50,2.50,0.53,3200
1980-07-28,0.00,2.50,2.38,2.50,0.53,1500
1980-07-29,0.00,2.62,2.50,2.62,0.56,7500
1980-07-30,0.00,2.75,2.50,2.75,0.58,18300
1980-07-31,0.00,2.75,2.62,2.75,0.58,9600
1980-08-01,0.00,2.75,2.62,2.62,0.56,6900
1980-08-04,0.00,2.75,2.62,2.75,0.58,13000
1980-08-05,0.00,2.75,2.75,2.75,0.58,7700
1980-08-06,0.00,2.75,2.62,2.62,0.56,6100
1980-08-07,0.00,2.88,2.62,2.88,0.61,10900
1980-08-08,0.00,2.88,2.75,2.75,0.58,5100
1980-08-11,0.00,3.00,2.75,3.00,0.64,38900
1980-08-12,0.00,3.25,2.88,3.00,0.64,26900
1980-08-13,0.00,3.00,2.75,2.75,0.58,10500
1980-08-14,0.00,3.00,2.88,3.00,0.64,8200
1980-08-15,0.00,3.00,2.88,3.00,0.64,3400
1980-08-18,0.00,3.00,2.88,2.88,0.61,2700
1980-08-19,0.00,2.88,2.75,2.88,0.61,9900
1980-08-20,0.00,2.88,2.75,2.88,0.61,3000
1980-08-21,0.00,3.00,2.88,3.00,0.64,3000
1980-08-22,0.00,2.88,2.88,2.88,0.61,7300
1980-08-25,0.00,2.88,2.75,2.88,0.61,2400
1980-08-26,0.00,3.00,2.88,2.88,0.61,9800
1980-08-27,0.00,3.00,2.88,3.00,0.64,4000
1980-08-28,0.00,3.00,2.88,3.00,0.64,4600
1980-08-29,0.00,2.75,2.62,2.62,0.56,9200
1980-09-02,0.00,3.00,2.88,3.00,0.64,16300
1980-09-03,0.00,3.00,2.88,3.00,0.64,7100
1980-09-04,0.00,3.00,2.88,2.88,0.61,6100
