Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,65.00,65.00,61.64,61.64,58.08,400
2018-05-22,61.64,61.64,61.64,61.64,58.08,0
2018-05-23,59.40,59.52,57.50,58.25,54.88,91200
2018-05-24,59.13,59.30,57.60,58.25,54.88,230800
2018-05-25,58.00,58.10,57.50,57.65,54.32,21300
2018-05-29,57.29,61.99,57.29,58.49,55.11,46300
2018-05-30,59.80,62.32,59.50,59.84,56.38,27500
2018-05-31,65.00,65.00,59.11,59.50,56.06,414200
2018-06-01,59.55,63.15,58.55,61.40,57.85,5185500
2018-06-04,61.70,65.69,61.49,63.16,59.51,3044800
2018-06-05,64.41,66.95,63.55,66.43,62.59,2916300
2018-06-06,66.00,66.45,62.40,62.47,58.86,3606700
2018-06-07,61.90,62.46,60.30,61.89,58.31,3075900
2018-06-08,61.27,63.21,60.65,62.88,59.25,1922800
2018-06-11,62.46,62.86,61.26,61.32,57.78,1701100
2018-06-12,60.07,61.99,60.05,60.52,57.02,1810100
2018-06-13,60.65,60.96,59.49,59.66,56.21,2651400
2018-06-14,60.15,60.79,59.35,60.55,57.29,1200800
2018-06-15,60.05,62.33,59.84,61.84,58.51,3198600
2018-06-18,60.75,62.18,60.75,61.45,58.14,1343400
2018-06-19,61.37,61.66,60.81,61.50,58.19,1419400
2018-06-20,61.52,62.84,61.50,61.90,58.57,1335700
2018-06-21,61.70,62.50,60.92,62.09,58.75,1389000
2018-06-22,62.45,63.95,62.09,63.38,59.97,2364100
2018-06-25,62.43,63.00,60.84,61.90,58.57,1452700
2018-06-26,62.83,62.94,60.62,61.16,57.87,1871100
2018-06-27,60.90,61.61,59.57,59.93,56.70,1082700
2018-06-28,59.64,59.72,57.96,58.73,55.57,2183600
2018-06-29,58.85,60.15,58.54,58.83,55.66,2352300
2018-07-02,58.60,58.85,57.16,57.68,54.58,1040700
2018-07-03,57.67,58.54,57.40,57.55,54.45,318300
2018-07-05,57.77,59.39,57.31,59.05,55.87,1089000
2018-07-06,59.27,60.10,59.06,59.46,56.26,629300
2018-07-09,59.81,60.49,58.74,58.97,55.80,681400
2018-07-10,58.10,59.45,58.07,58.50,55.35,1602900
2018-07-11,58.07,59.08,57.77,58.66,55.50,939500
2018-07-12,59.21,59.24,58.18,58.71,55.55,564000
2018-07-13,58.76,59.25,58.26,58.71,55.55,524500
2018-07-16,58.75,59.30,58.00,58.50,55.35,616200
2018-07-17,58.27,59.23,57.58,57.75,54.64,782600
2018-07-18,57.87,59.24,57.76,59.01,55.83,693600
2018-07-19,58.74,59.26,58.00,58.30,55.16,602900
2018-07-20,58.30,58.88,57.50,58.34,55.20,318600
