Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.00,16.50,15.94,16.00,5.41,69200
1973-02-22,0.00,16.00,15.81,15.81,5.35,79600
1973-02-23,0.00,15.94,15.06,15.25,5.16,158000
1973-02-26,0.00,15.25,15.00,15.25,5.16,50200
1973-02-27,0.00,15.38,14.88,14.88,5.03,17800
1973-02-28,0.00,15.38,15.00,15.12,5.11,103800
1973-03-01,0.00,15.25,15.00,15.19,5.13,81000
1973-03-02,0.00,15.19,14.88,15.19,5.13,16600
1973-03-05,0.00,15.44,15.12,15.25,5.16,10200
1973-03-06,0.00,16.12,15.38,15.88,5.37,47000
1973-03-07,0.00,16.19,15.62,16.19,5.47,43200
1973-03-08,0.00,16.31,16.12,16.31,5.51,12600
1973-03-09,0.00,16.31,16.19,16.19,5.47,10800
1973-03-12,0.00,16.31,16.00,16.31,5.51,8400
1973-03-13,0.00,16.69,16.38,16.69,5.64,18600
1973-03-14,0.00,17.00,16.81,17.00,5.75,43400
1973-03-15,0.00,17.00,16.69,16.81,5.68,11800
1973-03-16,0.00,16.75,16.19,16.38,5.54,69200
1973-03-19,0.00,16.25,15.62,15.62,5.28,8200
1973-03-20,0.00,15.50,15.12,15.50,5.24,76400
1973-03-21,0.00,15.62,15.25,15.25,5.16,11000
1973-03-22,0.00,15.38,15.12,15.12,5.11,13400
1973-03-23,0.00,15.19,15.00,15.06,5.09,30400
1973-03-26,0.00,15.19,15.00,15.19,5.13,26400
1973-03-27,0.00,16.38,15.25,16.12,5.45,30200
1973-03-28,0.00,16.50,16.00,16.50,5.58,33800
1973-03-29,0.00,16.50,16.31,16.31,5.51,38800
1973-03-30,0.00,16.06,15.75,15.81,5.35,24400
1973-04-02,0.00,15.50,15.44,15.44,5.22,20800
1973-04-03,0.00,15.38,15.00,15.06,5.09,33200
1973-04-04,0.00,15.12,14.75,15.00,5.07,16800
1973-04-05,0.00,15.06,14.62,15.00,5.07,27200
1973-04-06,0.00,15.50,14.75,15.00,5.07,29600
1973-04-09,0.00,15.06,14.88,14.88,5.03,46200
1973-04-10,0.00,15.38,15.00,15.25,5.16,34600
1973-04-11,0.00,15.75,15.38,15.75,5.32,18200
1973-04-12,0.00,16.50,15.81,16.12,5.45,20200
1973-04-13,0.00,16.62,16.00,16.56,5.60,14800
1973-04-16,0.00,16.69,16.12,16.12,5.45,18200
1973-04-17,0.00,16.50,16.25,16.50,5.58,16000
1973-04-18,0.00,16.50,16.38,16.38,5.54,16600
1973-04-19,0.00,16.75,16.50,16.50,5.58,19800
1973-04-23,0.00,16.00,15.88,15.88,5.37,59200
1973-04-24,0.00,15.94,15.75,15.75,5.32,6200
1973-04-25,0.00,15.75,15.00,15.00,5.07,57000
1973-04-26,0.00,15.12,14.75,14.81,5.01,65400
1973-04-27,0.00,14.81,14.25,14.25,4.82,64000
1973-04-30,0.00,14.00,13.50,13.75,4.65,92800
1973-05-01,0.00,13.88,13.00,13.00,4.39,62600
