Date,Open,High,Low,Close,Adj Close,Volume
2021-01-14,26.00,31.08,26.00,29.40,29.40,52099200
2021-01-15,29.14,30.39,27.12,27.71,27.71,13726000
2021-01-19,27.89,28.10,25.51,26.85,26.85,8406200
2021-01-20,26.77,26.80,25.56,26.04,26.04,4246000
2021-01-21,25.70,27.37,25.70,27.24,27.24,7565900
2021-01-22,26.65,27.00,25.82,26.07,26.07,2528500
2021-01-25,26.28,27.54,26.00,27.00,27.00,3604300
2021-01-26,26.67,28.00,26.55,27.60,27.60,3533900
2021-01-27,26.50,28.40,26.01,26.99,26.99,3816400
2021-01-28,26.56,27.16,26.02,26.18,26.18,1286800
2021-01-29,26.18,26.73,25.81,26.03,26.03,1581300
2021-02-01,26.03,26.16,25.05,25.46,25.46,3284300
2021-02-02,25.88,27.10,25.60,25.61,25.61,2974900
2021-02-03,26.04,26.39,25.80,26.01,26.01,1619300
2021-02-04,26.10,26.50,25.70,26.44,26.44,1686300
2021-02-05,26.15,26.59,25.65,26.35,26.35,1720100
2021-02-08,26.90,27.68,26.63,26.74,26.74,3197500
2021-02-09,26.60,27.60,26.50,26.66,26.66,1373600
2021-02-10,26.71,26.80,25.82,26.18,26.18,1934900
2021-02-11,26.13,26.47,25.58,25.75,25.75,1929000
2021-02-12,25.75,25.98,25.39,25.73,25.73,1593900
2021-02-16,25.81,26.24,24.29,24.87,24.87,4525100
2021-02-17,24.60,24.75,23.67,23.96,23.96,3089900
2021-02-18,23.96,24.30,23.40,23.50,23.50,2087300
2021-02-19,23.84,23.90,23.29,23.59,23.59,2356000
2021-02-22,23.49,23.87,23.11,23.16,23.16,2029000
2021-02-23,22.49,22.92,20.73,22.68,22.68,4444400
2021-02-24,22.51,22.84,21.70,21.81,21.81,1736700
2021-02-25,21.85,22.16,20.60,21.03,21.03,2349100
2021-02-26,20.83,21.13,19.81,19.93,19.93,2092300
2021-03-01,20.47,21.10,20.28,20.99,20.99,1555800
2021-03-02,20.84,21.35,20.66,20.80,20.80,1088800
2021-03-03,20.98,21.00,20.00,20.65,20.65,1675200
2021-03-04,20.26,20.59,18.54,19.08,19.08,2431100
2021-03-05,19.20,19.49,17.86,19.46,19.46,2365600
2021-03-08,19.74,21.11,19.51,20.72,20.72,1892100
2021-03-09,21.33,21.69,20.91,21.08,21.08,1547400
2021-03-10,21.33,22.14,21.17,21.49,21.49,1446000
2021-03-11,21.66,22.67,21.53,22.16,22.16,1221600
2021-03-12,22.00,23.56,21.71,22.71,22.71,1660500
2021-03-15,23.34,24.27,23.24,23.91,23.91,2854200
2021-03-16,23.85,23.94,22.96,22.98,22.98,1465600
2021-03-17,22.55,23.72,22.30,23.43,23.43,1588600
2021-03-18,24.48,24.86,22.31,22.53,22.53,6585800
2021-03-19,23.64,24.44,22.92,23.22,23.22,10179400
2021-03-22,23.50,23.52,22.23,22.40,22.40,1999300
2021-03-23,22.54,22.54,21.70,22.00,22.00,1949800
2021-03-24,22.03,22.65,21.61,21.71,21.71,1969400
2021-03-25,21.15,21.66,20.63,21.27,21.27,2097100
2021-03-26,21.40,21.92,20.70,20.99,20.99,2030700
2021-03-29,21.42,22.87,21.33,22.15,22.15,3364600
2021-03-30,22.04,22.26,21.25,21.88,21.88,1315700
2021-03-31,22.36,23.20,21.99,22.16,22.16,2322400
2021-04-01,22.58,22.61,21.57,21.67,21.67,1639600
2021-04-05,22.00,22.04,20.94,21.30,21.30,1472600
2021-04-06,21.41,21.59,21.30,21.37,21.37,1360500
2021-04-07,21.27,21.74,21.09,21.16,21.16,797700
2021-04-08,21.12,21.44,20.77,21.41,21.41,1027900
2021-04-09,21.31,21.94,21.08,21.75,21.75,1103900
2021-04-12,22.12,22.51,21.78,22.32,22.32,1896100
2021-04-13,22.32,22.35,21.70,22.07,22.07,954400
2021-04-14,21.98,22.40,21.90,21.94,21.94,685000
2021-04-15,22.09,22.73,21.99,22.25,22.25,1221200
2021-04-16,22.36,22.95,22.26,22.71,22.71,1204000
2021-04-19,22.75,24.08,22.69,23.64,23.64,3184200
2021-04-20,23.50,24.20,23.26,24.03,24.03,1918000
2021-04-21,24.00,25.06,23.51,23.74,23.74,2293400
2021-04-22,23.91,24.98,23.68,24.59,24.59,1981300
2021-04-23,24.68,24.80,24.07,24.28,24.28,1770900
2021-04-26,24.62,25.34,24.45,24.68,24.68,1674600
2021-04-27,24.95,25.75,24.78,25.08,25.08,1804300
2021-04-28,25.02,25.11,24.41,24.69,24.69,774000
2021-04-29,24.95,25.38,24.63,24.76,24.76,1283900
2021-04-30,24.55,24.70,23.49,23.62,23.62,1771300
2021-05-03,23.74,24.08,22.86,24.00,24.00,1379800
2021-05-04,23.80,24.17,23.03,24.17,24.17,1251200
2021-05-05,23.71,24.31,23.65,24.15,24.15,971400
2021-05-06,23.99,24.24,23.57,23.85,23.85,857500
2021-05-07,23.88,24.47,23.67,23.82,23.82,671800
2021-05-10,23.96,25.21,23.89,24.63,24.63,1719800
2021-05-11,23.54,24.44,23.41,24.41,24.41,1563400
2021-05-12,24.26,24.39,23.17,23.43,23.43,1230500
2021-05-13,23.27,23.78,22.19,22.67,22.67,1181100
2021-05-14,22.88,24.68,22.88,24.66,24.66,1188700
2021-05-17,24.70,25.60,24.40,25.59,25.59,1416300
2021-05-18,25.78,26.00,25.05,25.13,25.13,938000
2021-05-19,24.89,25.80,24.62,25.74,25.74,1547500
2021-05-20,25.05,26.75,23.76,25.47,25.47,7060900
2021-05-21,25.67,25.76,24.15,24.70,24.70,2332400
2021-05-24,24.77,25.16,24.32,24.58,24.58,2434100
2021-05-25,24.00,24.44,23.60,24.03,24.03,3499600
2021-05-26,23.87,24.70,23.67,24.50,24.50,1801900
2021-05-27,24.34,24.44,22.62,22.80,22.80,15838900
2021-05-28,22.92,23.24,22.50,22.65,22.65,6220300
2021-06-01,22.80,23.04,22.50,22.79,22.79,3012600
2021-06-02,22.97,23.17,22.46,22.90,22.90,4617500
2021-06-03,22.66,22.82,21.86,21.89,21.89,3534400
2021-06-04,22.02,22.60,21.75,22.09,22.09,3819400
2021-06-07,22.15,22.17,21.75,22.03,22.03,3029300
2021-06-08,22.11,23.79,22.03,23.66,23.66,3989800
2021-06-09,23.80,24.50,23.24,24.09,24.09,5175400
2021-06-10,24.59,25.20,23.28,23.37,23.37,4913100
2021-06-11,23.46,23.86,23.19,23.80,23.80,2033700
2021-06-14,23.85,28.73,22.75,28.05,28.05,42491000
2021-06-15,25.65,27.29,24.81,25.41,25.41,26420400
2021-06-16,24.94,25.09,22.81,22.85,22.85,10222800
2021-06-17,23.01,23.61,22.56,23.08,23.08,4178800
2021-06-18,22.71,22.95,22.21,22.27,22.27,5765200
