Date,Open,High,Low,Close,Adj Close,Volume
1998-01-21,21.50,22.88,21.50,22.12,4.44,363000
1998-01-22,22.12,22.12,21.12,21.75,4.36,194700
1998-01-23,21.94,21.94,21.00,21.62,4.34,155600
1998-01-26,21.88,21.88,21.00,21.19,4.25,119500
1998-01-27,20.94,21.00,20.44,21.00,4.21,175300
1998-01-28,21.00,22.00,20.56,22.00,4.41,159800
1998-01-29,21.88,22.38,21.62,22.12,4.44,72600
1998-01-30,22.12,22.12,21.50,21.75,4.36,57300
1998-02-02,21.94,21.94,20.88,21.75,4.36,74700
1998-02-03,21.75,21.75,21.00,21.38,4.29,94800
1998-02-04,21.06,21.69,20.88,21.25,4.26,76600
1998-02-05,21.44,21.94,21.25,21.69,4.35,77200
1998-02-06,21.94,21.94,21.38,21.38,4.29,61500
1998-02-09,21.12,21.62,21.00,21.00,4.21,72200
1998-02-10,21.25,21.62,21.25,21.50,4.31,77800
1998-02-11,21.50,21.62,21.06,21.31,4.27,65800
1998-02-12,21.44,21.50,21.25,21.44,4.30,26400
1998-02-13,21.50,21.62,21.31,21.44,4.30,51200
1998-02-17,21.50,21.62,21.19,21.56,4.32,82700
1998-02-18,21.69,21.69,21.12,21.50,4.31,64000
1998-02-19,21.56,21.75,21.25,21.56,4.32,47900
1998-02-20,21.38,21.62,21.25,21.56,4.32,38500
1998-02-23,21.31,21.56,21.25,21.50,4.31,46400
1998-02-24,21.44,21.50,21.19,21.50,4.31,71000
1998-02-25,21.50,21.56,21.25,21.25,4.26,37700
1998-02-26,21.44,21.50,21.25,21.50,4.31,33800
1998-02-27,21.50,21.56,21.31,21.50,4.31,27700
1998-03-02,21.44,21.56,21.31,21.56,4.32,53700
1998-03-03,21.50,21.56,21.25,21.25,4.26,43900
1998-03-04,21.50,21.50,21.19,21.25,4.26,43300
1998-03-05,21.19,21.44,21.00,21.25,4.26,71200
1998-03-06,21.38,21.38,21.00,21.19,4.25,37500
1998-03-09,20.81,21.12,20.81,20.94,4.20,80200
1998-03-10,20.94,21.00,20.75,20.88,4.19,79800
1998-03-11,20.81,21.44,20.75,21.12,4.24,41800
1998-03-12,21.38,21.38,21.06,21.06,4.22,46900
1998-03-13,21.19,21.19,21.00,21.06,4.22,53300
1998-03-16,21.06,21.06,20.81,20.88,4.19,47900
1998-03-17,20.75,20.88,20.56,20.62,4.14,64100
1998-03-18,20.50,20.69,20.50,20.50,4.11,60600
1998-03-19,20.50,20.69,20.38,20.50,4.11,76800
1998-03-20,20.69,21.06,20.69,20.88,4.19,102800
1998-03-23,21.06,21.06,20.75,20.75,4.16,77500
1998-03-24,20.81,20.88,20.44,20.50,4.11,92300
1998-03-25,20.44,20.69,20.44,20.56,4.12,56500
1998-03-26,20.62,20.81,20.56,20.81,4.17,72600
1998-03-27,20.31,20.69,20.31,20.62,4.22,45300
1998-03-30,20.50,20.62,20.12,20.25,4.14,47500
1998-03-31,20.50,20.56,20.12,20.12,4.12,45000
1998-04-01,20.38,20.88,20.38,20.81,4.26,81400
1998-04-02,20.75,20.88,20.62,20.88,4.27,53700
1998-04-03,20.94,21.00,20.81,20.94,4.28,61100
1998-04-06,21.06,21.19,20.62,20.75,4.24,56000
1998-04-07,20.62,20.94,20.62,20.75,4.24,44000
1998-04-08,20.88,21.00,20.62,20.81,4.26,23700
1998-04-09,20.81,20.94,20.62,20.81,4.26,27000
1998-04-13,20.56,20.75,20.50,20.50,4.19,24700
1998-04-14,20.62,20.62,20.25,20.44,4.18,35200
1998-04-15,20.25,20.56,20.25,20.56,4.21,32800
1998-04-16,20.31,20.69,20.19,20.38,4.17,41600
1998-04-17,20.25,21.00,20.19,20.69,4.23,67800
1998-04-20,20.69,21.06,20.69,20.88,4.27,58600
1998-04-21,20.75,20.81,20.50,20.75,4.24,40900
1998-04-22,20.69,20.75,20.25,20.75,4.24,22800
1998-04-23,20.75,20.94,20.62,20.88,4.27,68600
1998-04-24,20.94,21.12,20.81,21.00,4.30,64400
1998-04-27,20.75,21.00,20.50,20.94,4.28,38500
1998-04-28,21.00,21.25,20.62,20.94,4.28,72700
1998-04-29,21.00,21.62,21.00,21.56,4.41,63400
1998-04-30,21.81,22.25,21.75,22.19,4.54,73500
1998-05-01,22.00,22.19,21.81,22.06,4.51,43900
1998-05-04,22.19,22.19,21.50,21.75,4.45,41600
1998-05-05,21.50,22.06,21.38,21.81,4.46,58100
1998-05-06,21.88,21.88,21.50,21.56,4.41,44900
1998-05-07,21.62,21.62,21.00,21.44,4.39,24300
1998-05-08,21.56,21.56,21.00,21.25,4.35,31200
1998-05-11,21.50,21.88,21.44,21.62,4.42,77500
1998-05-12,21.81,21.81,21.25,21.81,4.46,37800
1998-05-13,21.81,21.81,21.44,21.56,4.41,16900
1998-05-14,21.69,21.81,21.19,21.38,4.37,47500
1998-05-15,21.12,21.44,21.06,21.25,4.35,20700
1998-05-18,21.38,21.38,20.88,21.00,4.30,25700
1998-05-19,21.12,21.12,20.69,21.00,4.30,35100
1998-05-20,20.75,20.94,20.44,20.50,4.19,37500
