Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.83,0.78,0.78,0.44,48000
1980-03-18,0.00,0.81,0.77,0.77,0.43,28800
1980-03-19,0.00,0.83,0.78,0.78,0.44,22400
1980-03-20,0.00,0.81,0.77,0.77,0.43,14400
1980-03-21,0.00,0.81,0.77,0.77,0.43,17600
1980-03-24,0.00,0.81,0.77,0.77,0.43,41600
1980-03-25,0.00,0.80,0.75,0.75,0.42,16000
1980-03-26,0.00,0.80,0.75,0.75,0.42,38400
1980-03-27,0.00,0.73,0.69,0.69,0.38,65600
1980-03-28,0.00,0.75,0.70,0.70,0.39,46400
1980-03-31,0.00,0.78,0.73,0.73,0.41,22400
1980-04-01,0.00,0.77,0.72,0.72,0.40,33600
1980-04-02,0.00,0.77,0.72,0.72,0.40,16000
1980-04-03,0.00,0.77,0.72,0.72,0.40,9600
1980-04-07,0.00,0.77,0.72,0.72,0.40,11200
1980-04-08,0.00,0.75,0.70,0.70,0.39,72000
1980-04-09,0.00,0.78,0.73,0.73,0.41,27200
1980-04-10,0.00,0.83,0.78,0.78,0.44,115200
1980-04-11,0.00,0.84,0.80,0.80,0.44,83200
1980-04-14,0.00,0.83,0.78,0.78,0.44,38400
1980-04-15,0.00,0.81,0.77,0.77,0.43,94400
1980-04-16,0.00,0.81,0.77,0.77,0.43,51200
1980-04-17,0.00,0.81,0.77,0.77,0.43,46400
1980-04-18,0.00,0.81,0.77,0.77,0.43,64000
1980-04-21,0.00,0.81,0.77,0.77,0.43,36800
1980-04-22,0.00,0.83,0.78,0.78,0.44,12800
1980-04-23,0.00,0.81,0.77,0.77,0.43,20800
1980-04-24,0.00,0.81,0.77,0.77,0.43,3200
1980-04-25,0.00,0.80,0.75,0.75,0.42,62400
1980-04-28,0.00,0.83,0.78,0.78,0.44,27200
1980-04-29,0.00,0.81,0.77,0.77,0.43,60800
1980-04-30,0.00,0.81,0.77,0.77,0.43,60800
