Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.29,0.27,0.27,0.07,1590166
1980-03-18,0.00,0.29,0.27,0.29,0.08,1286699
1980-03-19,0.00,0.30,0.29,0.29,0.08,1735830
1980-03-20,0.00,0.29,0.29,0.29,0.08,667627
1980-03-21,0.00,0.29,0.28,0.28,0.08,667627
1980-03-24,0.00,0.28,0.25,0.25,0.07,1845078
1980-03-25,0.00,0.26,0.25,0.25,0.07,1772246
1980-03-26,0.00,0.25,0.25,0.25,0.07,1141035
1980-03-27,0.00,0.25,0.22,0.24,0.07,2148545
1980-03-28,0.00,0.25,0.24,0.25,0.07,2779756
1980-03-31,0.00,0.25,0.24,0.25,0.07,1165312
1980-04-01,0.00,0.26,0.25,0.25,0.07,4515586
1980-04-02,0.00,0.27,0.26,0.27,0.08,1141035
1980-04-03,0.00,0.29,0.28,0.28,0.08,1371670
1980-04-07,0.00,0.28,0.28,0.28,0.08,1614443
1980-04-08,0.00,0.28,0.27,0.28,0.08,813291
1980-04-09,0.00,0.29,0.28,0.29,0.08,1432363
1980-04-10,0.00,0.30,0.29,0.30,0.08,679766
1980-04-11,0.00,0.30,0.29,0.29,0.08,2342764
1980-04-14,0.00,0.29,0.28,0.28,0.08,752598
1980-04-15,0.00,0.28,0.28,0.28,0.08,182080
1980-04-16,0.00,0.28,0.27,0.27,0.08,1189590
1980-04-17,0.00,0.27,0.27,0.27,0.07,1480918
1980-04-18,0.00,0.27,0.27,0.27,0.07,242773
1980-04-21,0.00,0.27,0.27,0.27,0.07,473408
1980-04-22,0.00,0.29,0.27,0.29,0.08,2294209
1980-04-23,0.00,0.28,0.27,0.27,0.07,2464150
1980-04-24,0.00,0.28,0.27,0.28,0.08,473408
1980-04-25,0.00,0.28,0.28,0.28,0.08,582656
1980-04-28,0.00,0.28,0.28,0.28,0.08,303467
1980-04-29,0.00,0.28,0.28,0.28,0.08,315605
1980-04-30,0.00,0.29,0.28,0.29,0.08,534102
1980-05-01,0.00,0.29,0.29,0.29,0.08,364160
1980-05-02,0.00,0.28,0.27,0.27,0.07,813291
1980-05-05,0.00,0.28,0.27,0.28,0.08,2184961
1980-05-06,0.00,0.28,0.27,0.28,0.08,1383809
1980-05-07,0.00,0.28,0.28,0.28,0.08,971094
1980-05-08,0.00,0.29,0.27,0.28,0.08,934678
1980-05-09,0.00,0.28,0.27,0.27,0.08,279189
1980-05-12,0.00,0.27,0.27,0.27,0.07,1068203
1980-05-13,0.00,0.27,0.27,0.27,0.07,1056064
1980-05-14,0.00,0.28,0.27,0.28,0.08,728320
1980-05-15,0.00,0.28,0.27,0.27,0.08,303467
1980-05-16,0.00,0.27,0.27,0.27,0.07,3896514
1980-05-19,0.00,0.27,0.27,0.27,0.07,704043
1980-05-20,0.00,0.27,0.26,0.26,0.07,1128896
1980-05-21,0.00,0.26,0.26,0.26,0.07,691904
1980-05-22,0.00,0.26,0.26,0.26,0.07,716182
1980-05-23,0.00,0.26,0.25,0.26,0.07,5644482
1980-05-27,0.00,0.26,0.25,0.25,0.07,5013271
1980-05-28,0.00,0.27,0.25,0.27,0.07,5899395
1980-05-29,0.00,0.29,0.26,0.26,0.07,15464668
1980-05-30,0.00,0.27,0.26,0.26,0.07,1395947
1980-06-02,0.00,0.27,0.26,0.27,0.07,5049687
1980-06-03,0.00,0.27,0.27,0.27,0.07,2330625
1980-06-04,0.00,0.27,0.26,0.27,0.07,1480918
1980-06-05,0.00,0.27,0.27,0.27,0.08,3750850
1980-06-06,0.00,0.27,0.27,0.27,0.08,2706924
1980-06-09,0.00,0.27,0.27,0.27,0.08,1104619
1980-06-10,0.00,0.27,0.27,0.27,0.08,1153174
1980-06-11,0.00,0.28,0.27,0.28,0.08,971094
1980-06-12,0.00,0.28,0.28,0.28,0.08,1262422
1980-06-13,0.00,0.29,0.28,0.29,0.08,2112129
1980-06-16,0.00,0.30,0.29,0.29,0.08,1881494
1980-06-17,0.00,0.30,0.30,0.30,0.08,6651992
1980-06-18,0.00,0.31,0.30,0.31,0.08,1250283
1980-06-19,0.00,0.31,0.30,0.30,0.08,2099990
1980-06-20,0.00,0.30,0.30,0.30,0.08,801152
1980-06-23,0.00,0.30,0.29,0.30,0.08,789014
1980-06-24,0.00,0.29,0.29,0.29,0.08,813291
1980-06-25,0.00,0.30,0.29,0.30,0.08,1189590
1980-06-26,0.00,0.31,0.30,0.31,0.08,1590166
1980-06-27,0.00,0.30,0.30,0.30,0.08,376299
1980-06-30,0.00,0.30,0.30,0.30,0.08,1954326
1980-07-01,0.00,0.30,0.30,0.30,0.08,376299
1980-07-02,0.00,0.30,0.29,0.30,0.08,728320
1980-07-03,0.00,0.31,0.30,0.31,0.09,449131
1980-07-07,0.00,0.32,0.31,0.31,0.09,691904
1980-07-08,0.00,0.32,0.31,0.31,0.09,922539
1980-07-09,0.00,0.32,0.31,0.32,0.09,2306348
1980-07-10,0.00,0.32,0.32,0.32,0.09,582656
1980-07-11,0.00,0.32,0.31,0.32,0.09,1056064
1980-07-14,0.00,0.32,0.31,0.32,0.09,910400
1980-07-15,0.00,0.32,0.32,0.32,0.09,2002881
1980-07-16,0.00,0.32,0.32,0.32,0.09,1383809
1980-07-17,0.00,0.32,0.31,0.32,0.09,364160
1980-07-18,0.00,0.33,0.32,0.32,0.09,6639854
1980-07-21,0.00,0.33,0.32,0.33,0.09,1905771
1980-07-22,0.00,0.34,0.34,0.34,0.09,4819053
1980-07-23,0.00,0.35,0.33,0.35,0.10,4321367
1980-07-24,0.00,0.35,0.34,0.35,0.10,2112129
1980-07-25,0.00,0.34,0.33,0.34,0.09,1578027
1980-07-28,0.00,0.34,0.33,0.34,0.09,1650859
1980-07-29,0.00,0.34,0.34,0.34,0.09,813291
1980-07-30,0.00,0.35,0.34,0.35,0.10,3265303
1980-07-31,0.00,0.35,0.35,0.35,0.10,1493057
1980-08-01,0.00,0.35,0.34,0.34,0.09,230635
1980-08-04,0.00,0.34,0.34,0.34,0.09,1602305
1980-08-05,0.00,0.36,0.34,0.35,0.10,1905771
1980-08-06,0.00,0.35,0.35,0.35,0.10,1553750
1980-08-07,0.00,0.36,0.35,0.35,0.10,1565889
1980-08-08,0.00,0.36,0.36,0.36,0.10,1760107
1980-08-11,0.00,0.36,0.36,0.36,0.10,1189590
1980-08-12,0.00,0.37,0.36,0.37,0.10,8654873
1980-08-13,0.00,0.37,0.36,0.36,0.10,1274561
1980-08-14,0.00,0.37,0.36,0.37,0.10,1116758
1980-08-15,0.00,0.39,0.38,0.38,0.10,1626582
1980-08-18,0.00,0.38,0.38,0.38,0.10,2099990
1980-08-19,0.00,0.38,0.37,0.37,0.10,1444502
1980-08-20,0.00,0.37,0.37,0.37,0.10,1286699
1980-08-21,0.00,0.38,0.37,0.38,0.10,776875
1980-08-22,0.00,0.38,0.38,0.38,0.11,1201729
1980-08-25,0.00,0.38,0.38,0.38,0.10,218496
1980-08-26,0.00,0.39,0.38,0.38,0.11,449131
1980-08-27,0.00,0.38,0.37,0.37,0.10,1942187
1980-08-28,0.00,0.37,0.36,0.36,0.10,716182
1980-08-29,0.00,0.36,0.35,0.35,0.10,631211
1980-09-02,0.00,0.36,0.36,0.36,0.10,412715
1980-09-03,0.00,0.38,0.36,0.37,0.10,1905771
1980-09-04,0.00,0.39,0.37,0.38,0.10,2294209
1980-09-05,0.00,0.38,0.37,0.38,0.10,461270
1980-09-08,0.00,0.38,0.37,0.37,0.10,631211
1980-09-09,0.00,0.37,0.37,0.37,0.10,473408
1980-09-10,0.00,0.37,0.37,0.37,0.10,2682646
1980-09-11,0.00,0.38,0.37,0.38,0.10,861846
1980-09-12,0.00,0.39,0.38,0.39,0.11,327744
1980-09-15,0.00,0.39,0.39,0.39,0.11,521963
1980-09-16,0.00,0.40,0.39,0.40,0.11,2354902
1980-09-17,0.00,0.41,0.40,0.41,0.11,606934
1980-09-18,0.00,0.42,0.41,0.42,0.11,3107500
1980-09-19,0.00,0.43,0.42,0.43,0.12,1298838
1980-09-22,0.00,0.44,0.43,0.43,0.12,2051436
1980-09-23,0.00,0.44,0.42,0.42,0.12,3665879
1980-09-24,0.00,0.42,0.41,0.41,0.11,1031787
1980-09-25,0.00,0.41,0.41,0.41,0.11,655488
1980-09-26,0.00,0.40,0.39,0.39,0.11,1784385
1980-09-29,0.00,0.39,0.38,0.38,0.10,3180332
1980-09-30,0.00,0.40,0.38,0.40,0.11,2561260
1980-10-01,0.00,0.41,0.40,0.40,0.11,582656
1980-10-02,0.00,0.40,0.40,0.40,0.11,643350
1980-10-03,0.00,0.41,0.40,0.40,0.11,449131
1980-10-06,0.00,0.41,0.40,0.40,0.11,254912
1980-10-07,0.00,0.41,0.40,0.40,0.11,509824
1980-10-08,0.00,0.40,0.40,0.40,0.11,206357
1980-10-09,0.00,0.40,0.40,0.40,0.11,497686
1980-10-10,0.00,0.40,0.40,0.40,0.11,230635
1980-10-13,0.00,0.41,0.40,0.41,0.11,218496
1980-10-14,0.00,0.42,0.41,0.42,0.11,1602305
1980-10-15,0.00,0.42,0.41,0.42,0.11,497686
1980-10-16,0.00,0.43,0.41,0.41,0.11,1056064
1980-10-17,0.00,0.42,0.41,0.41,0.11,436992
1980-10-20,0.00,0.41,0.40,0.40,0.11,1165312
1980-10-21,0.00,0.41,0.40,0.41,0.11,1226006
