Date,Open,High,Low,Close,Adj Close,Volume
1999-10-19,30.50,34.00,24.12,25.25,11.24,22356000
1999-10-20,26.75,27.81,22.56,23.94,10.66,5330900
1999-10-21,23.19,23.19,21.00,21.50,9.57,2329900
1999-10-22,21.50,24.50,20.31,24.00,10.68,1627400
1999-10-25,24.50,25.12,23.25,23.88,10.63,583700
1999-10-26,23.50,24.25,23.50,24.12,10.74,645900
1999-10-27,24.19,24.25,23.69,24.00,10.68,587100
1999-10-28,23.88,25.81,23.88,25.19,11.21,532500
1999-10-29,25.75,26.00,23.56,24.12,10.74,540700
1999-11-01,24.44,25.67,24.12,25.00,11.13,362000
1999-11-02,25.44,25.81,23.44,23.88,10.63,705400
1999-11-03,24.69,25.00,22.88,23.06,10.27,756200
1999-11-04,23.44,23.44,22.62,22.69,10.10,370800
1999-11-05,22.69,23.12,20.06,20.75,9.24,877000
1999-11-08,20.75,23.12,20.50,23.00,10.24,696900
1999-11-09,22.94,23.75,22.38,23.38,10.41,236700
1999-11-10,22.94,24.62,22.44,24.06,10.71,371400
1999-11-11,23.31,24.88,22.88,23.06,10.27,305400
1999-11-12,22.94,24.44,22.94,24.44,10.88,263800
1999-11-15,24.50,24.88,22.44,23.06,10.27,325200
1999-11-16,23.19,23.38,22.38,22.50,10.02,350500
1999-11-17,22.50,22.50,21.50,22.38,9.96,229500
1999-11-18,22.38,22.50,20.62,21.31,9.49,553900
1999-11-19,21.38,21.44,20.50,21.38,9.52,283100
1999-11-22,21.31,22.88,21.31,22.81,10.16,264800
1999-11-23,22.94,23.25,22.44,22.88,10.18,223300
1999-11-24,22.81,22.94,21.62,22.12,9.85,236100
1999-11-26,21.31,21.81,20.50,20.56,9.15,356700
1999-11-29,20.62,21.25,20.50,20.94,9.32,551600
1999-11-30,20.62,20.69,19.44,20.12,8.96,487000
1999-12-01,20.50,20.62,19.44,19.94,8.88,528600
1999-12-02,19.81,20.00,18.12,18.50,8.24,527600
1999-12-03,18.38,18.62,16.25,17.12,7.62,1442600
1999-12-06,17.12,17.62,16.62,16.62,7.40,320000
1999-12-07,16.62,19.50,14.81,19.50,8.68,1158200
1999-12-08,18.81,18.94,16.62,17.56,7.82,767800
1999-12-09,17.75,17.88,16.75,16.94,7.54,177900
1999-12-10,16.88,17.25,16.81,17.12,7.62,321700
1999-12-13,17.25,17.31,16.25,16.50,7.35,160100
1999-12-14,16.50,16.75,15.88,16.62,7.40,173300
1999-12-15,16.25,16.75,16.25,16.56,7.37,155900
1999-12-16,16.31,17.06,16.25,16.38,7.29,217900
1999-12-17,16.50,16.75,15.50,15.62,6.96,112200
1999-12-20,15.50,15.88,14.06,14.19,6.32,479900
1999-12-21,14.50,15.25,14.50,14.94,6.65,350000
1999-12-22,15.19,15.50,14.94,15.50,6.90,143900
1999-12-23,15.44,15.56,14.50,15.19,6.76,98200
1999-12-27,15.00,15.19,14.81,15.00,6.68,183700
1999-12-28,14.81,15.00,14.12,14.81,6.59,244200
1999-12-29,14.88,15.25,14.25,14.56,6.48,172900
1999-12-30,14.56,15.00,14.25,14.38,6.40,368500
1999-12-31,14.47,17.50,14.38,17.25,7.68,411300
2000-01-03,17.12,17.19,15.94,16.12,7.18,141400
2000-01-04,16.00,16.19,14.94,15.44,6.87,166600
2000-01-05,15.31,16.00,15.12,16.00,7.12,183600
2000-01-06,16.00,16.06,14.75,15.00,6.68,73700
2000-01-07,15.06,15.81,14.62,15.06,6.71,80700
2000-01-10,15.00,15.75,15.00,15.02,6.69,54500
2000-01-11,15.06,15.38,14.62,14.81,6.59,69000
2000-01-12,14.94,15.06,14.50,14.56,6.48,117600
2000-01-13,15.03,15.06,14.62,14.75,6.57,147600
2000-01-14,14.78,14.88,14.69,14.81,6.59,45600
2000-01-18,14.75,14.81,14.25,14.25,6.34,59500
2000-01-19,14.19,14.94,14.19,14.25,6.34,61700
2000-01-20,14.75,15.50,14.38,14.88,6.62,98200
2000-01-21,14.94,15.12,14.75,15.00,6.68,81900
2000-01-24,14.81,16.81,14.75,16.00,7.12,448900
2000-01-25,16.00,16.00,15.50,15.50,6.90,325400
2000-01-26,15.50,16.62,15.31,16.50,7.35,64700
2000-01-27,16.06,16.75,15.75,16.38,7.29,87800
2000-01-28,16.75,16.88,15.25,15.75,7.01,75300
2000-01-31,15.66,16.00,14.88,15.44,6.87,73700
2000-02-01,15.62,16.00,15.25,15.25,6.79,107900
2000-02-02,15.53,16.75,15.00,16.50,7.35,218700
2000-02-03,16.94,17.88,12.00,12.31,5.48,6307100
2000-02-04,12.75,12.88,11.25,11.50,5.12,1780300
2000-02-07,12.12,12.12,11.25,11.62,5.18,1403500
2000-02-08,12.06,12.12,11.12,11.38,5.06,948900
