Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,27.65,28.82,25.72,27.74,27.74,144700
2015-08-04,27.00,27.03,24.61,25.80,25.80,129100
2015-08-05,27.11,27.47,24.56,25.24,25.24,107700
2015-08-06,24.81,26.95,22.99,26.95,26.95,73100
2015-08-07,27.50,27.50,24.20,26.50,26.50,52200
2015-08-10,25.76,26.50,25.46,26.14,26.14,51400
2015-08-11,25.44,26.02,24.56,25.38,25.38,141000
2015-08-12,25.00,26.21,25.00,25.99,25.99,172600
2015-08-13,26.00,26.60,25.76,26.20,26.20,229600
2015-08-14,26.13,26.21,24.66,25.19,25.19,103300
2015-08-17,26.58,26.72,24.35,24.80,24.80,2090200
2015-08-18,24.65,26.95,24.50,26.06,26.06,3140300
2015-08-19,25.60,27.09,25.49,26.77,26.77,1750200
2015-08-20,26.40,26.50,25.03,25.17,25.17,1584900
2015-08-21,24.89,26.85,24.50,25.18,25.18,3243600
2015-08-24,23.93,25.18,23.00,24.37,24.37,3408200
2015-08-25,25.49,25.54,24.29,24.60,24.60,2027500
2015-08-26,25.05,26.25,24.21,25.00,25.00,2088700
2015-08-27,25.29,25.45,24.64,25.16,25.16,1641500
2015-08-28,25.12,25.72,24.71,24.86,24.86,829300
2015-08-31,24.66,24.92,24.24,24.66,24.66,1157600
2015-09-01,24.05,24.89,24.01,24.43,24.43,915200
2015-09-02,24.83,26.20,24.83,25.32,25.32,1687300
2015-09-03,25.26,25.73,24.63,25.51,25.51,903600
2015-09-04,25.17,25.49,24.84,25.07,25.07,733000
2015-09-08,25.48,25.85,25.23,25.24,25.24,712300
2015-09-09,25.49,26.10,24.87,25.07,25.07,1404700
2015-09-10,24.98,26.06,24.90,25.45,25.45,1082900
2015-09-11,25.33,26.00,24.70,25.87,25.87,1554500
2015-09-14,25.90,26.50,25.75,26.12,26.12,602600
2015-09-15,26.33,27.79,26.12,27.65,27.65,1745000
2015-09-16,27.62,27.95,27.35,27.45,27.45,1229900
2015-09-17,27.61,28.06,27.27,27.91,27.91,1120000
2015-09-18,27.50,28.54,26.76,28.07,28.07,2974100
2015-09-21,28.15,28.35,27.27,27.36,27.36,1082900
2015-09-22,27.08,27.67,26.88,27.26,27.26,1014400
2015-09-23,27.35,27.61,27.00,27.49,27.49,490000
2015-09-24,27.41,27.51,27.05,27.26,27.26,678000
2015-09-25,27.58,28.51,27.57,27.90,27.90,1277500
2015-09-28,27.63,28.33,26.79,27.58,27.58,1530600
2015-09-29,27.56,28.01,27.18,27.50,27.50,987000
2015-09-30,27.70,27.87,26.53,27.00,27.00,1524800
2015-10-01,27.03,27.12,25.67,26.11,26.11,1632900
2015-10-02,25.84,26.90,25.70,26.56,26.56,1114400
2015-10-05,26.55,27.47,26.42,27.12,27.12,515600
2015-10-06,26.89,28.96,26.89,28.55,28.55,1141900
2015-10-07,28.72,30.13,28.12,29.99,29.99,976700
2015-10-08,29.78,31.75,29.66,31.60,31.60,2383400
2015-10-09,31.61,33.52,31.51,33.45,33.45,2462900
2015-10-12,33.37,33.62,31.11,32.00,32.00,1386500
2015-10-13,31.54,32.97,31.36,31.65,31.65,1066000
2015-10-14,31.75,32.35,31.38,31.87,31.87,790000
2015-10-15,31.99,32.63,30.81,31.15,31.15,1157500
2015-10-16,31.35,31.59,30.13,30.45,30.45,1237700
2015-10-19,30.47,31.12,30.32,30.66,30.66,852000
2015-10-20,30.62,31.58,30.62,31.16,31.16,613300
2015-10-21,30.90,31.70,29.11,29.89,29.89,1368700
2015-10-22,30.07,30.85,29.87,29.95,29.95,991200
2015-10-23,30.58,30.80,29.90,29.99,29.99,539700
2015-10-26,30.03,30.24,29.40,29.43,29.43,1001400
2015-10-27,29.37,29.67,27.85,28.46,28.46,1659600
2015-10-28,28.62,28.70,27.83,28.23,28.23,1211000
2015-10-29,28.57,28.93,27.40,27.57,27.57,960900
2015-10-30,27.49,28.03,26.39,27.69,27.69,1850200
2015-11-02,27.75,29.43,27.75,28.46,28.46,2002400
2015-11-03,28.29,30.25,28.22,29.50,29.50,3770200
2015-11-04,27.80,28.33,26.51,27.65,27.65,6257700
2015-11-05,27.64,27.64,25.31,25.79,25.79,2527000
2015-11-06,26.05,26.25,24.83,25.48,25.48,1946000
2015-11-09,25.53,25.92,25.25,25.30,25.30,792000
2015-11-10,25.31,25.31,24.20,24.40,24.40,1747500
2015-11-11,24.57,24.75,24.07,24.36,24.36,840200
2015-11-12,24.33,24.39,23.64,23.79,23.79,1118700
2015-11-13,23.66,23.87,23.11,23.27,23.27,1078500
2015-11-16,23.18,24.11,23.16,23.73,23.73,766900
2015-11-17,23.67,24.86,23.38,24.71,24.71,1362100
2015-11-18,24.71,25.46,24.59,25.28,25.28,758400
2015-11-19,25.18,25.56,25.05,25.23,25.23,654700
2015-11-20,25.20,25.80,25.01,25.29,25.29,625500
2015-11-23,25.04,25.33,24.23,24.48,24.48,929000
2015-11-24,23.99,24.85,23.85,24.81,24.81,508100
2015-11-25,24.74,25.06,24.38,24.94,24.94,604700
2015-11-27,24.77,24.93,24.25,24.55,24.55,272400
2015-11-30,24.82,25.25,24.16,24.65,24.65,1432200
2015-12-01,24.51,24.83,24.09,24.10,24.10,1206700
2015-12-02,24.20,24.87,24.18,24.65,24.65,675800
2015-12-03,24.76,25.00,23.59,24.50,24.50,789700
2015-12-04,24.58,24.80,23.91,24.66,24.66,663200
2015-12-07,24.50,25.19,24.25,24.95,24.95,841200
2015-12-08,24.42,25.06,24.25,24.71,24.71,1155000
2015-12-09,24.63,24.89,23.26,23.57,23.57,1805800
2015-12-10,23.55,23.74,23.00,23.46,23.46,1114200
2015-12-11,23.35,24.39,23.14,23.28,23.28,1495300
2015-12-14,23.15,24.05,22.80,23.55,23.55,1106400
2015-12-15,23.72,24.87,23.49,24.56,24.56,1739500
2015-12-16,24.80,25.59,24.63,25.46,25.46,1390900
2015-12-17,25.46,25.46,24.03,24.43,24.43,1360000
2015-12-18,24.39,24.93,24.09,24.61,24.61,1107900
2015-12-21,24.86,25.06,24.05,24.09,24.09,915900
2015-12-22,24.05,24.49,23.36,23.95,23.95,847100
2015-12-23,23.92,24.23,23.62,24.08,24.08,978200
2015-12-24,24.00,24.60,23.93,24.41,24.41,297500
2015-12-28,24.27,24.46,23.82,23.95,23.95,344500
2015-12-29,23.93,24.51,23.88,24.17,24.17,526600
2015-12-30,24.18,24.82,24.17,24.24,24.24,538000
2015-12-31,24.21,24.24,23.48,23.48,23.48,1046100
2016-01-04,23.08,23.33,22.07,22.11,22.11,1504400
2016-01-05,22.21,22.87,21.35,21.99,21.99,1252600
2016-01-06,21.72,22.33,21.50,21.96,21.96,1089100
2016-01-07,21.49,22.02,21.43,21.50,21.50,1178900
2016-01-08,21.66,22.40,21.59,22.10,22.10,1056500
2016-01-11,22.28,22.35,21.89,22.16,22.16,1214600
2016-01-12,22.17,22.51,21.73,22.34,22.34,1226000
2016-01-13,22.33,23.00,21.31,21.45,21.45,2379400
2016-01-14,21.40,21.49,19.83,20.77,20.77,2615800
2016-01-15,20.40,21.20,20.16,20.83,20.83,3363000
2016-01-19,20.93,21.06,20.19,20.67,20.67,3169000
2016-01-20,20.59,20.72,19.08,19.53,19.53,2846200
2016-01-21,19.69,19.73,18.85,18.94,18.94,2047800
2016-01-22,19.12,20.31,19.12,20.18,20.18,1688900
2016-01-25,20.08,20.74,19.66,19.75,19.75,1191200
2016-01-26,19.65,20.17,19.15,20.12,20.12,2062800
2016-01-27,20.01,20.55,19.58,19.65,19.65,990000
2016-01-28,19.99,20.32,19.48,19.50,19.50,1376300
2016-01-29,19.52,20.52,19.52,20.50,20.50,1329100
2016-02-01,20.47,20.51,19.06,19.25,19.25,2040500
2016-02-02,19.06,19.37,17.67,17.92,17.92,1385900
2016-02-03,18.00,18.64,17.28,17.65,17.65,1603000
2016-02-04,17.62,18.46,17.16,18.43,18.43,1819800
2016-02-05,18.34,18.34,16.71,16.92,16.92,3164700
