Date,Open,High,Low,Close,Adj Close,Volume
2014-05-15,11.40,13.92,11.06,13.43,13.43,8421300
2014-05-16,13.60,15.75,13.44,15.25,15.25,1867700
2014-05-19,16.00,17.94,15.99,16.50,16.50,1529200
2014-05-20,16.75,18.17,15.67,16.95,16.95,877700
2014-05-21,17.20,17.33,16.30,17.19,17.19,386800
2014-05-22,17.30,17.30,15.95,16.15,16.15,1321100
2014-05-23,16.46,16.46,14.80,16.36,16.36,942200
2014-05-27,16.50,16.70,15.92,16.10,16.10,115700
2014-05-28,16.29,18.45,16.17,17.38,17.38,501200
2014-05-29,17.50,18.06,17.29,17.49,17.49,272100
2014-05-30,17.85,17.90,15.83,15.98,15.98,219200
2014-06-02,15.95,15.96,14.17,15.00,15.00,346100
2014-06-03,15.06,16.00,14.77,15.06,15.06,293800
2014-06-04,15.09,15.51,14.31,15.30,15.30,180100
2014-06-05,15.30,15.62,14.73,15.22,15.22,174400
2014-06-06,15.35,15.59,15.00,15.39,15.39,223100
2014-06-09,15.24,17.57,14.76,17.32,17.32,438400
2014-06-10,17.44,18.12,16.50,16.50,16.50,244300
2014-06-11,16.39,18.75,16.23,18.49,18.49,419000
2014-06-12,18.44,18.44,17.34,17.89,17.89,231600
2014-06-13,18.05,18.09,16.00,16.75,16.75,426200
2014-06-16,16.69,18.25,16.19,17.24,17.24,271600
2014-06-17,17.37,18.00,17.24,17.70,17.70,88600
2014-06-18,17.74,18.11,17.31,17.61,17.61,142600
2014-06-19,17.53,18.01,17.52,18.00,18.00,221900
2014-06-20,18.10,18.29,16.97,17.56,17.56,324900
2014-06-23,17.49,18.40,17.21,17.99,17.99,135300
2014-06-24,17.81,18.02,17.53,17.81,17.81,106300
2014-06-25,17.93,18.02,17.50,17.94,17.94,99800
2014-06-26,17.90,18.00,17.57,17.68,17.68,77100
2014-06-27,17.67,18.40,17.16,17.16,17.16,1136800
2014-06-30,17.27,17.60,16.34,17.38,17.38,284000
2014-07-01,17.40,17.50,17.00,17.30,17.30,152800
2014-07-02,17.37,17.37,16.31,16.43,16.43,193600
2014-07-03,16.43,16.71,16.16,16.51,16.51,88100
2014-07-07,16.51,16.51,15.50,15.79,15.79,235600
2014-07-08,15.85,16.47,15.55,16.38,16.38,202600
2014-07-09,16.48,16.48,15.71,16.05,16.05,157400
2014-07-10,15.81,16.34,15.50,16.08,16.08,232300
2014-07-11,16.05,16.08,15.65,15.94,15.94,184900
2014-07-14,16.04,16.59,16.04,16.48,16.48,106200
2014-07-15,16.51,17.19,16.33,17.06,17.06,168400
2014-07-16,17.01,17.39,16.82,17.15,17.15,227700
2014-07-17,17.16,17.74,17.05,17.14,17.14,249500
2014-07-18,17.14,17.77,17.14,17.64,17.64,253100
2014-07-21,17.62,17.88,17.19,17.32,17.32,164900
2014-07-22,17.33,17.88,17.00,17.26,17.26,133200
2014-07-23,17.36,17.64,17.20,17.40,17.40,79800
2014-07-24,17.40,17.74,17.26,17.49,17.49,164200
2014-07-25,17.35,17.69,16.85,17.05,17.05,281100
2014-07-28,17.00,17.45,16.80,17.25,17.25,324500
2014-07-29,17.39,17.53,17.09,17.25,17.25,167400
2014-07-30,17.39,18.00,17.30,17.77,17.77,136500
2014-07-31,17.63,17.88,17.04,17.39,17.39,102600
2014-08-01,17.36,17.63,17.30,17.55,17.55,128600
2014-08-04,17.58,17.74,17.31,17.50,17.50,142600
2014-08-05,17.71,18.33,17.52,17.97,17.97,397600
2014-08-06,19.20,20.50,18.84,19.18,19.18,1180700
2014-08-07,19.42,19.78,19.11,19.42,19.42,199600
2014-08-08,19.49,21.45,19.37,21.29,21.29,277000
2014-08-11,21.39,23.58,21.35,22.92,22.92,331800
2014-08-12,23.04,23.44,22.21,22.70,22.70,200800
2014-08-13,22.90,23.46,22.81,23.32,23.32,127600
2014-08-14,23.27,24.44,23.23,23.34,23.34,237500
2014-08-15,23.33,24.01,22.63,23.98,23.98,209400
2014-08-18,24.25,24.33,23.77,24.25,24.25,115900
2014-08-19,24.61,25.44,24.30,25.20,25.20,192700
2014-08-20,25.08,25.22,24.53,25.01,25.01,145500
2014-08-21,24.90,25.09,24.72,24.98,24.98,46700
2014-08-22,24.89,25.07,24.52,24.94,24.94,108200
2014-08-25,24.97,25.28,24.76,25.21,25.21,48900
2014-08-26,25.29,27.30,25.29,26.28,26.28,320000
2014-08-27,26.66,27.96,26.41,26.72,26.72,142300
2014-08-28,26.72,27.16,26.03,27.07,27.07,116700
